date,Avocado,Banana,Beans,Broccoli,Corn,Cranberries,Cucumber,Dates,Garlic,Greens,Guava,Kale,Oranges,Passion Fruit,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Raisins,Squash,Tomato,Yams
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
2010-10-01,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,83,65,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,26,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,100,0,25,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,100,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,22,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,5,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,67,0,0,0
2012-11-01,0,0,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2013-05-01,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,0
2013-06-01,0,12,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,7,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,33,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2014-05-01,8,11,0,0,100,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,8,0
2014-07-01,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0
2014-08-01,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
2014-09-01,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0
2014-10-01,7,6,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,8,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,61,0,100,8,0
2015-01-01,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,71,2,0,32,0,0,0
2015-02-01,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
2015-03-01,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
2015-04-01,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,7,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
2015-06-01,0,7,0,0,0,0,0,0,0,0,33,0,0,0,100,0,0,0,0,54,32,0,7,0
2015-07-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,85,0,0
2015-08-01,0,7,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,6,0
2015-10-01,7,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,30,0,0,0
2015-11-01,0,7,0,0,0,0,0,0,0,0,0,0,8,6,0,87,0,0,0,54,31,0,0,0
2015-12-01,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,92,100,0,0,0,0,0,0,0
2016-01-01,0,6,0,0,0,48,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,6,7,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,2,0,0,0,0,0
2016-03-01,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,6,6,6,0,0,43,0,0,0,0,27,0,0,0,0,0,0,29,0,0,0,73,0,0
2016-05-01,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0
2016-06-01,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,27,0,0,0,0,0,0
2016-07-01,6,11,0,0,0,0,0,0,0,100,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,10,0,0,0,0,0,0,0,0,24,73,6,0,0,66,0,0,0,0,0,0,0,0
2016-09-01,0,14,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,11,0
2016-10-01,0,5,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
2016-11-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,90,0,0,0,5,0,0,0,25,0,0,23,0,5,100
2017-01-01,5,10,0,0,0,0,0,0,0,0,0,64,0,6,0,0,0,0,0,0,0,0,4,0
2017-02-01,0,15,5,0,0,0,0,0,0,0,23,69,0,0,0,0,0,0,0,0,22,0,5,0
2017-03-01,5,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,22,0,0,0,0,0,0
2017-04-01,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2017-05-01,0,5,5,0,0,0,0,0,4,0,22,0,0,4,0,0,0,0,1,0,0,0,0,0
2017-06-01,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,66,0,0,0,0,0,0,5,0
2017-07-01,0,5,0,0,0,0,0,0,0,0,24,0,0,19,0,0,0,0,0,0,24,0,0,0
2017-08-01,0,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,24,0,0,0,0,0,0
2017-09-01,6,0,6,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,1,0,0,0,0,0
2017-10-01,0,14,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,5,5,0,0,65,0,93,0,0,0,0,0,11,0,0,0,0,0,0,0,21,0,0,0
2017-12-01,0,12,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2018-01-01,0,4,5,0,0,0,0,0,0,0,20,0,5,6,0,54,0,0,1,0,0,0,0,0
2018-02-01,0,7,0,0,63,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
2018-04-01,0,7,0,0,0,0,93,0,4,0,22,0,6,4,0,0,0,0,0,37,0,0,0,0
2018-05-01,0,9,0,0,0,0,92,0,0,0,22,0,0,4,0,0,0,23,1,0,0,0,5,0
2018-06-01,0,9,5,0,0,0,0,0,0,0,0,0,0,9,0,0,63,23,0,0,0,0,0,0
2018-07-01,0,4,5,0,0,0,0,0,0,0,21,0,5,4,0,0,0,22,0,0,0,0,4,0
2018-08-01,5,4,5,0,0,34,0,0,0,0,0,0,0,4,0,0,0,22,1,0,0,0,0,0
2018-09-01,0,9,5,64,0,0,0,0,0,0,0,0,5,9,0,0,0,0,1,36,0,0,5,0
2018-10-01,0,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
2018-11-01,5,4,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,0,0,0
2018-12-01,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,21,0,0,0
