date,Apple,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Corn,Cranberries,Cucumber,Garlic,Kale,Mushrooms,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2008-08-01,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,74,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,100,0,0,0,0
2009-06-01,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,59,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
2010-03-01,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,100
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,45,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
2011-05-01,36,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,11,0,0,0,0,0,0,0,57,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,52,0,0
2011-12-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,48,0,0,29,0
2012-01-01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,43,44,38,0,0,0,0,0,0
2012-05-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
2012-06-01,33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,27,0
2012-07-01,0,89,0,11,0,0,0,0,0,79,0,0,49,0,0,0,0,0,0,0,0,0,36,0,0,37,46,0,0
2012-08-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2012-09-01,28,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,45,0,0,0,35,31,39,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2012-12-01,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,74,0,51,0,0,0,0,0,0,0,0
2013-01-01,23,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,29,36,19,0
2013-02-01,27,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,14,0,0,0,0,0,0,0,0,0
2013-03-01,24,73,0,9,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,31,0,20,0
2013-04-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2013-05-01,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
2013-06-01,0,0,25,0,0,0,0,0,26,0,0,0,43,0,0,0,100,0,0,0,35,0,0,0,0,0,0,0,0
2013-07-01,73,0,0,12,0,0,0,0,0,0,0,0,0,100,0,0,0,0,63,0,0,0,0,0,0,0,38,0,0
2013-08-01,25,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,29,0,0,0,0,40,0
2013-09-01,0,0,0,9,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,35,0,0,0,0,0,20,0
2013-10-01,0,0,0,0,0,14,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,37,0,43
2013-11-01,0,0,24,9,0,14,0,0,0,0,0,0,0,0,0,73,0,0,0,0,33,0,0,0,0,0,39,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2014-01-01,0,0,21,0,7,0,0,51,0,57,0,0,0,0,0,0,0,0,0,11,28,0,26,33,30,27,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,13,0,0,60,0,0,0,38,20,0
2014-03-01,23,68,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,27,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,58,0,0,0,0,40,0,0,0,0,0,62,0,0,34,29,0,0,0,0,0,0
2014-05-01,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,61,13,32,0,0,0,0,0,0,19,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,39,0,47
2014-07-01,0,73,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,29,0,0,0,0,20,46
2014-08-01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,47
2014-09-01,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,32,0,29,0,0,0,0,0,0
2014-10-01,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,67,0,0,58,0,0,0,27,0,0,0,36,0,0
2014-11-01,24,0,0,0,0,0,0,57,0,66,0,0,0,0,0,71,0,0,0,0,32,0,0,0,0,0,38,0,0
2014-12-01,0,0,0,0,0,15,0,63,0,0,0,0,43,0,0,0,0,0,0,0,35,0,0,0,0,0,41,0,0
2015-01-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,0,0,0,0,0,0
2015-02-01,25,0,0,9,8,0,0,0,0,0,0,0,41,0,0,72,0,0,0,0,33,0,29,0,34,0,38,0,0
2015-03-01,0,0,22,8,0,0,0,0,0,0,0,0,0,0,71,0,0,0,58,0,30,0,0,0,0,28,0,37,0
2015-04-01,0,0,0,9,7,0,100,0,0,0,0,0,0,0,0,0,0,39,0,0,31,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,28,0,33,0,0,19,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,12,31,0,0,36,0,0,0,19,0
2015-07-01,23,0,0,8,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
2015-08-01,0,0,0,8,0,0,0,0,22,60,0,0,0,0,0,0,0,0,0,0,59,32,0,0,0,0,0,18,42
2015-09-01,21,0,0,8,0,0,0,51,0,0,0,0,0,0,66,0,0,0,0,0,29,0,26,0,0,0,33,0,0
2015-10-01,61,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,32,0,38
2015-11-01,21,0,21,8,0,12,0,0,0,0,0,0,36,0,0,0,0,0,56,12,29,0,26,0,30,0,50,0,0
2015-12-01,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0,0,36,0,0,73,0,0
2016-01-01,21,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,28,0,0,0,0,0,32,0,0
2016-02-01,22,0,0,0,0,0,0,51,0,0,0,0,36,0,0,64,0,38,0,0,44,0,0,0,31,0,34,35,0
2016-03-01,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,38,0,0,29,0,53,0,30,0,34,18,0
2016-04-01,43,0,21,16,0,0,0,0,21,0,0,0,36,0,0,0,0,0,0,0,0,0,26,0,0,0,34,17,41
2016-05-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,25,0,0,0,33,0,0
2016-06-01,0,0,21,8,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,11,29,0,26,0,0,0,33,0,0
2016-07-01,0,69,22,8,15,0,0,0,0,0,0,99,38,0,0,0,0,0,0,12,31,0,28,0,32,0,36,0,0
2016-08-01,0,0,22,13,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,30,32,27,0,0,0,0,37,43
2016-09-01,22,67,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,53,0,31,0,69,0,0
2016-10-01,0,67,0,0,0,13,0,53,0,0,0,0,0,0,0,0,0,0,0,12,29,62,26,0,0,0,35,0,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,12,29,0,0,0,0,0,33,17,0
2016-12-01,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,92,0,27,36,0,0,0,0,0
2017-01-01,0,0,0,0,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,13,0,0,0,0,0,0,37,0,0,0,0,0,57,0,29,0,0,0,0,0,0,0,0
2017-03-01,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,27,0,0,0,0,0,32,0,0
2017-04-01,0,64,0,8,0,0,0,0,21,0,0,0,0,0,0,0,0,37,0,11,0,30,0,0,0,0,100,0,0
2017-05-01,0,67,32,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,27,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,76,0,90
2017-07-01,24,72,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,60,13,0,0,0,0,0,0,0,19,46
2017-08-01,0,0,20,8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,34,17,0
2017-09-01,0,67,0,8,0,26,0,54,0,0,0,0,0,90,0,65,0,0,0,12,29,0,27,0,0,0,0,0,43
2017-10-01,20,0,20,7,0,0,0,48,0,54,0,0,0,0,0,60,0,0,52,11,27,0,0,31,28,0,32,16,39
2017-11-01,0,60,0,0,7,11,0,0,41,0,0,0,35,0,0,0,0,0,0,11,0,0,0,0,28,0,31,16,0
2017-12-01,22,0,0,8,0,0,0,53,0,0,100,0,0,0,0,0,0,38,58,12,40,0,26,0,0,0,0,0,0
2018-01-01,0,0,18,7,6,11,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,23,29,26,0,29,0,0
2018-02-01,20,0,30,0,13,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,25,0,29,0,33,0,0
2018-03-01,18,0,0,0,0,0,0,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,29,15,0
2018-04-01,19,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,47,0,0,0,30,16,0
2018-05-01,19,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,25,0,23,0,26,0,0,0,0
2018-06-01,0,59,0,7,6,0,85,0,19,0,0,0,0,0,0,57,0,0,0,0,0,27,24,0,0,0,31,0,37
2018-07-01,0,0,19,7,0,0,0,0,0,0,0,0,33,0,62,0,0,0,0,0,27,0,24,31,0,0,31,16,0
2018-08-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,57,0,33,0,0,26,0,0,0,27,0,0,16,36
2018-09-01,40,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,31,0,37
2018-10-01,0,0,0,0,0,11,0,0,18,100,0,0,31,0,0,0,0,0,48,0,25,26,34,0,0,0,58,15,0
2018-11-01,20,59,19,7,0,11,0,47,0,0,0,0,0,0,0,0,0,0,0,0,40,0,24,0,0,0,63,16,0
2018-12-01,0,0,22,8,7,0,0,0,0,0,0,0,37,0,0,67,0,0,0,12,61,0,55,35,0,0,0,0,0
