date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Corn,Cucumber,Garlic,Grapefruit,Grapes,Green Beans,Guava,Lemons,Lettuce,Mushrooms,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Spinach,Squash,Sweet Potato,Tomato,Watermelon
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,100,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,38,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2012-06-01,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,100,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,88,0
2013-03-01,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,30,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2013-08-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2013-09-01,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
2013-10-01,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2013-11-01,0,9,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,9,21,0,3,0,7,11,0,0,0,0,0
2013-12-01,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,11,0,92,0,87
2014-02-01,0,0,4,9,0,0,0,0,79,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,11,11,0,0,27,0
2014-03-01,0,0,0,0,0,0,0,23,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0
2014-04-01,3,0,12,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
2014-05-01,3,0,4,0,66,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0
2014-07-01,3,0,3,0,0,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0
2014-08-01,3,0,3,8,0,100,0,0,0,0,100,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2014-09-01,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
2014-10-01,0,0,3,0,0,0,6,0,0,0,0,0,0,0,70,0,8,0,0,3,0,0,100,0,0,0,0,9,0,73,0,0
2014-11-01,0,7,7,8,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,6,0,14,0,0,0,0
2014-12-01,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
2015-01-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,0
2015-02-01,0,0,0,23,58,0,6,0,0,0,0,0,0,25,0,0,9,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0
2015-03-01,3,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,0,0,0,5,0,25,0,0,0,0
2015-04-01,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,9,0,0,0,71
2015-05-01,0,0,6,0,100,0,0,0,0,0,0,0,70,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2015-06-01,0,6,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,30,0,0,0,14,0,0,0,5,0,0,0,67,0,0
2015-07-01,0,6,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,18,0
2015-08-01,0,0,0,0,0,0,0,17,0,0,77,0,0,0,0,0,0,13,89,0,0,13,0,0,0,0,0,0,0,0,18,0
2015-09-01,0,0,0,0,40,0,9,0,0,0,69,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,6,11,0,16,0
2015-10-01,0,0,2,10,0,0,0,0,0,59,0,0,0,16,47,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0
2015-11-01,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,2,0,8,0,6,0,0,0,52
2015-12-01,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,64,0,0
2016-01-01,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,21,100,15,0
2016-02-01,0,0,2,5,0,0,0,0,0,0,61,0,0,0,0,0,6,0,0,0,0,0,0,1,0,4,0,6,0,48,0,0
2016-03-01,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,6,0,0,0,0,14,0
2016-04-01,2,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,49,0,92
2016-05-01,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,49,0,0
2016-06-01,0,0,2,0,0,61,0,0,0,0,0,0,100,0,0,0,6,0,0,2,0,0,0,0,0,4,0,0,0,0,14,46
2016-07-01,0,5,2,5,38,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,72
2016-08-01,2,0,0,0,0,65,4,14,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,1,0,0,0,6,11,49,14,0
2016-09-01,0,0,2,9,0,0,4,0,0,0,58,0,47,0,44,0,5,10,67,3,0,0,0,0,0,3,0,0,0,0,13,0
2016-10-01,0,0,0,4,0,0,4,0,0,0,0,0,0,15,43,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,13,43
2016-11-01,2,0,2,5,0,0,4,0,0,55,0,0,0,0,45,0,0,0,0,2,4,0,0,1,0,4,0,6,0,0,0,44
2016-12-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,47,0,6,11,0,0,0,0,0,0,0,0,6,6,0,0,14,47
2017-01-01,0,0,0,4,0,0,0,0,0,52,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,5,0,0,26,0
2017-02-01,2,0,0,0,0,0,0,0,0,0,0,0,96,0,88,0,5,10,0,0,0,0,0,0,0,4,0,11,0,0,0,45
2017-03-01,0,0,2,0,0,0,0,0,0,0,52,0,0,0,0,0,5,9,60,0,4,0,0,0,0,5,0,0,0,0,0,0
2017-04-01,0,0,2,4,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,1,0,3,0,5,0,44,0,0
2017-05-01,2,0,4,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,20,0,42,12,40
2017-06-01,2,4,2,5,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,14,0
2017-07-01,5,4,2,0,34,0,4,12,0,52,0,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2017-08-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,5,10,0,0,0,0,0,0,0,3,5,10,0,0,0,0
2017-09-01,2,4,0,4,0,52,3,0,0,0,0,0,42,0,39,0,5,9,0,0,0,0,0,0,0,5,0,12,0,0,12,39
2017-10-01,0,3,2,0,0,0,6,0,0,0,0,0,39,12,0,0,4,0,55,2,0,0,0,0,0,3,0,9,8,0,11,0
2017-11-01,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,5,0,39,11,0
2017-12-01,0,4,2,0,0,0,0,0,0,0,57,0,0,14,42,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,84
2018-01-01,1,4,2,0,0,0,3,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,10,0,0,5,0,0,0,36
2018-02-01,1,0,3,8,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,6,5,9,0,0,12,76
2018-03-01,0,0,2,4,0,0,3,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,51,0,0,3,0,0,0,0,0,36
2018-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,4,0,4,0,35,0,35
2018-05-01,0,4,0,4,0,49,3,0,0,0,0,0,0,13,36,2,9,0,0,2,0,8,0,1,0,6,0,12,0,0,11,0
2018-06-01,0,0,2,4,0,53,0,0,36,0,0,0,0,0,100,0,5,0,0,0,0,0,0,1,0,3,0,5,9,0,12,0
2018-07-01,3,0,2,0,0,52,0,0,0,0,52,0,0,13,38,2,5,9,0,2,0,0,0,0,0,3,5,5,0,0,12,0
2018-08-01,1,3,2,0,0,0,0,0,0,0,0,0,0,0,70,0,4,8,0,2,3,8,0,1,0,0,0,9,0,36,0,35
2018-09-01,0,6,0,3,0,0,3,9,0,0,0,0,35,0,98,0,8,0,0,0,6,0,0,0,0,3,4,7,7,0,10,0
2018-10-01,1,3,1,3,0,40,0,0,0,0,41,1,0,11,92,1,6,7,0,0,0,0,0,0,0,2,0,11,0,0,18,31
2018-11-01,1,6,0,0,26,0,0,0,0,0,0,0,0,11,33,0,4,0,50,0,0,0,0,0,0,0,0,12,7,0,10,33
2018-12-01,1,0,0,11,0,0,0,10,0,0,47,0,0,0,71,0,4,0,0,0,0,0,0,1,0,3,4,0,0,0,0,35
