date,Apple,Banana,Broccoli,Corn,Cranberries,Dates,Guava,Kale,Malanga,Onion,Oranges,Passion Fruit,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Raisins,Rutabaga,Squash,Tomato,Yams
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,0,0,10,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2011-05-01,8,20,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,21,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,10,25,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,10,0,0,0,0,0,0,0,0,0,0,17,0,61,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,21,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2012-06-01,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,9,26,0,45,0,0,0,0,0,0,0,0
2012-12-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
2013-03-01,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,100,0
2013-04-01,6,0,0,0,92,0,0,0,0,0,0,0,0,36,0,7,0,0,0,0,0,0
2013-05-01,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,6,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2013-09-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2013-10-01,0,13,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2013-11-01,0,14,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2013-12-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0
2014-01-01,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2014-02-01,6,27,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,13,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,26,0,0,0,0,100,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0
2014-05-01,6,0,37,0,0,0,0,99,0,0,0,0,0,0,96,8,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,7,0,7,11,0,0,91,0,0,0,0,0,0,0
2014-07-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2014-08-01,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,5,13,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,0,12,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0
2015-02-01,0,12,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0
2015-03-01,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,74,0
2015-04-01,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2015-05-01,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,6,0,0,75,0
2015-06-01,0,11,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,13,0,0,0,0,65,0,0,0,0,10,0,0,0,0,92,0,0,0,0,0
2015-08-01,5,13,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0
2015-09-01,0,26,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2015-10-01,0,13,0,0,0,100,0,87,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2015-11-01,6,14,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
2016-01-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,6,0,0,0,0
2016-04-01,0,17,0,0,87,0,0,0,0,0,7,10,100,34,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,86,0,0,7,10,0,0,0,0,0,6,100,0,0,0
2016-06-01,5,0,0,0,0,0,0,0,0,0,0,10,0,0,83,7,0,6,0,0,0,0
2016-07-01,6,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,77,0,0,0,0,0,0,40,0,0,0,13,0,38,0,0
2016-10-01,9,15,0,0,0,0,0,0,8,0,8,11,0,0,0,0,0,0,0,0,0,0
2016-11-01,6,29,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,14,0,0,0,0,74,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,33,0,0,0,69,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,15,0,0,0,0,75,0,0,0,0,0,0,0,93,0,0,13,0,0,0,0
2017-03-01,0,24,30,0,0,0,0,0,0,0,0,0,0,0,78,0,0,5,0,0,0,0
2017-04-01,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,7,97,0,0,0,0,0
2017-05-01,0,0,35,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,100,8,0,8,11,0,0,0,0,0,7,0,0,0,0
2017-07-01,6,30,0,0,100,0,0,0,0,0,8,11,0,0,0,0,0,13,0,37,0,0
2017-08-01,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,6,0,0,0,0
2017-11-01,0,18,0,0,0,0,0,0,0,0,11,10,0,0,0,7,0,0,0,34,0,0
2017-12-01,0,14,0,0,0,0,0,93,0,0,0,11,0,0,90,0,0,0,0,0,0,0
2018-01-01,5,13,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,6,0,0,0,0
2018-02-01,0,21,0,0,0,0,0,0,0,0,0,15,0,0,0,7,0,12,0,0,0,0
2018-03-01,5,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0
2018-04-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,95,0
2018-05-01,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,93,0
2018-06-01,11,0,0,0,0,0,68,88,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2018-08-01,0,19,0,0,0,0,0,86,0,0,0,10,0,0,0,0,0,6,0,0,0,0
2018-09-01,0,26,0,0,88,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0
2018-10-01,6,14,0,0,0,0,0,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0
2018-11-01,0,0,0,0,90,0,0,0,0,100,0,0,0,0,0,0,0,6,0,0,0,0
2018-12-01,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0
