date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carambola,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Guava,Kale,Lettuce,Malanga,Onion,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Raisins,Squash,Tomato,Watermelon,Yams
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,25,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2010-11-01,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2011-04-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2011-05-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,5,0,0,0,36,0
2011-09-01,58,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,44,0,0,0
2011-12-01,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,50,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,89,33,0,0,0,0,0,0
2012-04-01,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,43,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,35,0,0,0,0
2012-06-01,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2012-08-01,40,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
2012-10-01,0,15,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
2013-02-01,0,0,5,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,63,0,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,34,0,0,0,0,15,0
2013-04-01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2013-06-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,14,100
2013-07-01,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
2013-09-01,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
2013-10-01,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,26,0,0,0,0
2013-12-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2014-01-01,23,0,3,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
2014-02-01,0,0,3,0,70,0,0,0,0,0,100,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,3,0,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,74
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,0,0
2014-05-01,22,0,3,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,54,0,0,23,0,22,0,11,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,24,0,0,0,0,11,0
2014-08-01,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,0,9,3,1,0,6,0,0,0,0,0,0,0,50,0,0,0,51,0,0,0,22,0,21,19,11,0,0
2014-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
2014-11-01,0,0,2,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,6,56,21,0,0,18,0,9,0
2014-12-01,0,0,3,0,56,0,0,0,0,0,0,0,7,0,94,0,0,0,0,0,0,21,0,0,19,0,0,0
2015-01-01,18,0,0,0,52,0,0,0,0,0,0,0,0,44,0,36,0,0,0,0,52,0,0,0,0,0,0,63
2015-02-01,21,0,0,0,0,0,97,0,0,0,0,0,0,0,100,0,0,0,0,6,0,46,0,0,20,0,0,0
2015-03-01,0,8,10,1,0,0,0,0,0,0,0,0,0,0,91,38,0,0,0,6,0,0,0,0,0,0,0,0
2015-04-01,20,0,0,1,0,0,93,0,0,0,0,10,0,0,0,0,0,100,0,0,0,22,1,0,0,10,10,0
2015-05-01,20,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,21,0,0,0,0,10,0
2015-06-01,21,0,3,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2015-07-01,41,9,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2015-08-01,0,0,3,0,0,0,0,0,0,0,0,10,0,0,96,40,0,0,0,0,86,0,0,0,0,0,0,0
2015-09-01,19,8,2,0,0,0,0,0,0,0,0,10,7,47,0,38,0,0,0,0,55,0,0,0,0,10,0,0
2015-10-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0
2015-11-01,39,0,0,1,55,0,0,0,0,0,0,10,0,47,92,0,0,0,0,6,0,21,0,0,0,0,9,0
2015-12-01,0,0,5,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0
2016-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,53
2016-02-01,16,0,2,0,0,0,72,0,0,52,0,0,0,0,0,0,0,39,0,5,0,17,0,0,0,0,0,0
2016-03-01,15,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0
2016-04-01,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0
2016-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0
2016-06-01,0,0,4,0,0,4,70,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,7,0
2016-07-01,17,7,2,0,0,0,0,0,0,0,0,8,0,0,0,33,0,0,0,0,48,0,0,0,16,0,0,0
2016-08-01,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,17,0,0,15,8,0,0
2016-09-01,16,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,16,15,0,0,55
2016-11-01,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
2016-12-01,0,7,0,0,0,5,76,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,16,0,8,0
2017-01-01,15,0,2,0,85,0,0,0,0,100,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2017-02-01,0,0,2,0,0,0,0,0,0,51,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
2017-03-01,13,0,2,0,37,0,0,34,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,30,0,2,0,41,0,0,0,0,0,0,0,0,0,70,29,0,0,0,0,0,0,0,0,14,0,0,0
2017-05-01,0,7,2,0,44,0,0,0,0,0,0,16,0,0,0,31,0,0,0,0,0,17,0,0,15,0,0,0
2017-06-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,5,0,0,0,0,17,0,9,0
2017-07-01,19,0,5,0,53,0,86,0,0,0,0,9,0,0,0,37,0,0,0,0,0,0,0,0,0,10,9,0
2017-08-01,17,7,2,0,0,0,0,0,0,0,0,0,6,0,81,33,0,0,0,0,49,18,0,0,16,0,8,0
2017-09-01,18,0,2,1,0,0,0,0,0,60,0,0,0,44,86,0,0,45,0,0,0,19,0,0,0,0,0,0
2017-10-01,16,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0,0,0,0
2017-11-01,16,0,0,0,0,0,75,0,0,0,0,0,5,40,0,0,0,0,0,0,0,18,0,0,0,8,0,0
2017-12-01,17,7,2,0,0,0,75,0,0,55,0,0,0,0,0,0,0,0,0,5,47,0,0,17,0,0,8,0
2018-01-01,15,0,2,0,0,4,70,0,0,51,0,0,0,0,73,0,100,0,0,0,0,16,1,15,14,0,0,0
2018-02-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,8,8,0
2018-03-01,29,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,14,7,0,0
2018-04-01,0,0,2,0,45,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,16,0,8,0,0
2018-05-01,16,0,3,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0,0,0,0
2018-06-01,0,0,2,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,9,8,0
2018-07-01,0,7,4,0,0,0,79,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,16,0,8,59
2018-08-01,17,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,17,7,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,49,18,1,17,0,0,0,0
2018-10-01,0,0,0,0,46,0,74,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,16,16,8,0,0
2018-11-01,18,0,5,0,100,0,80,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2018-12-01,18,0,0,0,0,0,0,0,0,0,0,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
