date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blueberries,Boniato,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jicama,Kale,Lemons,Lettuce,Lychee,Malanga,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Papayas,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Pomegranate,Potatoes,Pumpkin,Quince,Raisins,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watercress,Watermelon,Yams,Cassava
2006-08-01,64,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2006-10-01,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,73,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,91,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,35,0,0,0,0,70,36,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,22,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,100,0,0,0,0,0,36,100,49,0,0,0,48,0,0,0,0,0,0,0,96,27,0,54,0,0
2007-09-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,31,0,0,0,0,30,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,38,0,0,37,0,0,100,0,0,0,0,0,0,0,100,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,34,0,0,0,0,0,100,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,28,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,32,0,30,30,0,0,0,0,0,0,48,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,30,0,32,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2008-05-01,0,0,0,0,0,25,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,76,37,0,0,0,0,0,0,0,25,0,0,0,0,0,0,41,0,0
2008-06-01,51,0,0,0,0,25,0,0,0,0,0,0,100,0,0,0,68,0,41,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,27,0,0,0,0,0,0,0
2008-07-01,37,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2008-08-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
2008-10-01,22,0,0,0,0,22,22,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,0,0,0,35,0,0
2008-11-01,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,17,0,0,0,0,67,0,0,0,0,29,0,0,0,0,0,0,0,0,0,27,0,0,0,79,22,0,0,100,0
2009-01-01,27,0,0,0,41,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,29,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,24,0,0,0,0
2009-03-01,0,0,0,0,0,46,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,34,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
2009-04-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,35,0,0,0,0,24,0,0,0,32,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,22,0,0,0,0,18,0,36,0,0
2009-05-01,20,0,0,0,31,19,0,0,0,0,0,57,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,20,0,0,0,0,39,0,100,0,0,55,0,0,0,0,0,53,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,32,0,0
2009-09-01,0,0,19,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,72,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,75,0,0,0,0,20,0,0,0,0,30,0,0
2009-10-01,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,45,0,19,0,0,0,0,0,0,0,0,27,0,11,0,19,0,0,0,0,0,0,0,0,0
2009-11-01,20,0,0,0,0,0,20,0,0,0,0,0,0,0,38,0,0,41,0,0,0,0,0,24,0,31,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,29,0,0,0,20,0,64,0,58,0,0,0,0,0
2009-12-01,21,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
2010-01-01,20,0,0,0,0,41,0,0,0,0,57,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,22,0,0,0,30,0,0,0,0,0,0,0,100,0,21,100,0,22,0,30,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,36,0,0
2010-03-01,35,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,11,0,0,21,0,0,0,0,0,0,28,0,28,0,0
2010-04-01,0,0,0,0,0,0,17,0,0,0,48,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2010-05-01,17,0,18,0,0,29,17,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,21,0,0,11,0,18,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2010-06-01,17,17,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,18,0,0,14,0,0,0,0
2010-07-01,0,0,0,0,0,33,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,54,17,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,0,48,27,0,0,0,0
2010-08-01,0,0,17,0,0,32,0,0,0,0,45,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,17,17,0,0,0,22,33,0,44,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,27,0,0
2010-10-01,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,17,0,0,0,0,35,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,11,0,0,0,0,0,0,0,0,50,28,0,0,0,0
2010-12-01,37,0,19,0,0,37,18,94,0,0,50,53,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,12,0,0,0,0,12,12,0,0,0,0,71,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,26,0,0,0,0,8,0,0,7,0,0,0,13,0,0,10,0,0,0,0
2011-02-01,12,0,0,0,0,45,0,0,0,0,0,36,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,26,18,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0
2011-03-01,0,0,11,0,0,33,11,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,20,0
2011-04-01,11,0,11,0,16,28,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,0,17,0,0,0,54,11,73,100,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,32,15,100,0,7,15,0,0,0,0,0,17,0,0,9,0,17,0,0
2011-05-01,0,0,10,0,0,29,10,0,0,0,0,0,0,31,0,0,27,10,0,0,0,39,0,12,0,0,0,0,10,50,11,0,0,0,14,28,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,33,0,0,0,8,0,0,0,0
2011-06-01,10,0,10,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,74,0,0,0,0,0,11,0,0,0,14,0,0,0,11,0,0,0,0,32,20,0,0,0,30,0,0,0,0,14,0,0,0,10,0,0,0,0,0,0,0,0,0
2011-07-01,13,0,10,0,0,14,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,15,0,0
2011-08-01,9,0,0,9,0,17,9,0,0,0,24,0,0,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,7,0,14,0,0
2011-09-01,0,0,9,0,14,30,0,0,0,0,0,0,0,14,0,0,0,0,15,0,44,36,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,27,22,0,9,0,0,10,0,0,0,0,6,13,0,0,0,9,0,0,0,0,7,0,0,0,0
2011-10-01,14,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,34,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,0,12,0,0,0,9,29,0,0,0,0,0,14,0,0
2011-11-01,13,0,0,0,0,21,9,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,27,22,0,0,0,0,0,0,13,0,0,11,0,0,5,0,9,31,10,0,0,0,0,0,0,0
2011-12-01,9,0,10,0,0,9,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,0,0,6,0,0,0,0,14,0,10,0,0,8,0,0,0,0
2012-01-01,9,0,0,0,0,18,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,67,14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,27,21,0,0,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0
2012-02-01,29,0,0,0,0,25,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,15,0,0,0,0,10,65,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,6,0,0,0,0,10,33,10,0,0,8,0,15,0,0
2012-03-01,8,0,8,0,0,13,8,0,0,0,0,0,0,0,0,0,0,8,0,0,39,32,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,19,0,0,0,0,8,0,0,0,0,5,0,0,5,0,8,27,8,0,0,6,0,13,0,0
2012-04-01,17,0,0,0,13,17,8,0,0,0,0,0,0,20,32,0,0,0,0,0,0,0,0,0,64,13,0,0,0,0,9,0,0,0,0,12,0,5,0,0,0,0,0,27,8,0,0,0,0,0,0,0,5,12,0,0,0,8,0,9,0,0,7,0,14,0,0
2012-05-01,8,0,8,0,12,15,15,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,9,57,12,0,29,0,0,0,0,72,0,0,11,0,5,0,0,0,23,0,24,8,0,0,0,22,11,0,0,5,11,0,4,0,15,26,8,0,0,8,0,0,0,0
2012-06-01,0,0,0,0,11,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,100,0,0,0,0,0,5,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0
2012-07-01,17,0,0,7,11,16,7,35,0,0,19,20,0,0,0,0,0,7,0,8,0,27,0,0,0,0,0,26,0,0,7,0,64,14,15,0,0,4,7,0,0,20,0,22,7,0,0,0,0,0,0,0,9,0,27,0,0,0,23,7,0,0,6,0,11,0,0
2012-08-01,7,0,0,0,0,43,13,0,0,0,0,0,0,11,0,0,0,0,11,8,0,0,0,0,100,0,4,0,0,0,7,0,0,0,10,10,0,0,0,0,0,20,0,0,7,0,0,0,20,0,0,0,4,10,0,0,0,0,0,0,0,0,5,0,16,0,0
2012-09-01,7,0,0,0,16,9,14,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,27,0,0,0,0,0,0,0,10,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,7,24,0,0,0,0,0,0,0,0
2012-10-01,6,0,7,7,0,19,6,0,0,0,17,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,32,0,43,0,0,9,0,0,4,0,0,0,0,0,0,6,0,0,0,0,9,0,0,4,0,0,0,0,0,21,7,0,0,5,0,10,0,0
