date,Apple,Avocado,Banana,Beans,Corn,Cucumber,Dates,Garlic,Guava,Kale,Onion,Peas,Potatoes,Pumpkin,Spinach,Tomato,Watermelon
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2011-11-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,93,0,0
2012-09-01,0,0,0,3,0,0,0,0,31,0,0,0,0,0,0,47,5
2012-10-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,96,100,0
2013-05-01,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2013-08-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2013-10-01,10,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,63,0,0
2013-12-01,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,25,3
2014-02-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,4
2014-07-01,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,29,0
2014-08-01,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,27,3
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,3
2014-10-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2014-11-01,0,25,3,0,0,0,0,86,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,2,0,0,0,0,0,0,0,0,0,0,59,0,24,0
2015-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,0
2015-03-01,0,0,2,0,19,0,0,0,0,0,0,0,0,0,47,0,0
2015-04-01,0,0,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2015-05-01,6,0,0,0,0,100,100,0,15,0,0,0,0,0,0,0,3
2015-06-01,7,0,2,1,0,0,0,0,16,0,0,0,93,0,0,0,3
2015-07-01,0,0,2,0,0,0,0,0,12,100,0,0,0,0,0,0,0
2015-08-01,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,2
2015-09-01,0,0,2,1,0,92,0,0,0,0,0,0,0,0,40,0,0
2015-10-01,0,0,0,0,0,0,0,63,0,0,0,0,0,0,39,20,0
2015-11-01,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,2
2015-12-01,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,2,1,0,0,0,41,0,0,0,0,25,0,0,0,0
2016-02-01,4,0,1,1,0,0,0,0,0,0,0,0,26,0,0,0,3
2016-03-01,0,11,1,1,0,0,0,0,8,0,2,0,0,0,0,12,3
2016-04-01,0,0,1,0,0,0,0,39,0,0,0,51,24,0,0,12,1
2016-05-01,0,0,2,1,0,0,0,0,8,0,0,0,23,0,0,0,0
2016-06-01,3,0,2,0,0,0,0,0,8,0,0,0,0,0,25,0,0
2016-07-01,0,0,1,1,0,0,0,0,7,56,0,0,0,0,0,11,2
2016-08-01,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,11,1
2016-09-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2016-10-01,3,0,1,0,0,0,0,0,0,0,0,0,21,27,0,0,0
2016-11-01,4,0,1,1,9,48,0,0,0,0,0,69,0,0,0,33,0
2016-12-01,6,9,1,0,0,0,0,0,0,0,0,0,0,0,20,0,1
2017-01-01,3,9,2,1,0,0,0,0,6,0,0,0,0,0,0,10,0
2017-02-01,0,10,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0
2017-03-01,0,9,2,0,0,0,0,0,6,0,1,0,0,0,0,10,0
2017-04-01,5,0,1,0,0,41,0,0,12,0,0,0,18,0,0,19,1
2017-05-01,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,10,1
2017-06-01,3,11,0,0,0,0,0,0,8,0,0,0,24,30,0,0,3
2017-07-01,0,0,1,0,0,0,0,37,8,0,0,0,0,0,0,0,0
2017-08-01,3,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,4
2017-09-01,4,0,2,1,0,0,0,45,0,0,0,0,0,0,0,29,0
2017-10-01,0,0,2,0,0,0,0,43,0,0,0,58,0,0,0,0,0
2017-11-01,0,0,3,0,11,0,0,0,13,0,0,0,26,34,26,0,0
2017-12-01,0,12,2,0,0,0,0,0,8,0,0,0,24,0,0,13,0
2018-01-01,3,0,2,1,0,0,0,37,8,0,0,0,0,0,0,12,2
2018-02-01,0,12,1,0,0,0,0,41,8,0,0,54,0,0,0,0,0
2018-03-01,0,0,1,0,0,0,0,36,0,0,0,0,0,56,0,0,3
2018-04-01,3,0,2,1,0,0,0,0,8,0,2,0,0,31,0,0,0
2018-05-01,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2018-06-01,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-07-01,0,0,1,1,0,0,0,0,7,0,2,47,21,0,0,0,0
2018-08-01,3,0,2,0,0,0,0,0,7,0,0,0,0,0,0,11,1
2018-09-01,8,0,2,1,0,0,0,0,0,0,2,0,33,0,0,0,1
2018-10-01,3,11,1,1,0,50,0,36,15,0,0,0,0,0,22,11,0
2018-11-01,6,0,2,0,0,52,0,0,8,0,0,51,0,0,0,12,0
2018-12-01,0,20,2,1,0,48,0,34,0,0,0,0,21,26,0,0,1
