date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Cherries,Corn,Cucumber,Dates,Eggplant,Garlic,Grapes,Greens,Guava,Kale,Lettuce,Mushrooms,Okra,Onion,Passion Fruit,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Spinach,Squash,Tomato,Watermelon,Yams,Cassava
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,90,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2008-10-01,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0
2009-06-01,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,88,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,90,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,18,86,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
2010-05-01,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
2010-08-01,0,52,0,51,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
2010-09-01,0,0,76,0,100,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0
2011-01-01,9,0,0,39,0,0,0,0,0,0,0,0,0,41,59,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,22,34,0,0,0,0,0,0,36,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,25,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,38,0,0,0
2011-05-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,32,0,0,0,0,0,38,0,0
2011-06-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,38,0,0
2011-07-01,7,0,22,33,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0,0,0
2011-08-01,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
2011-09-01,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,100,0,27,30,0,0
2011-11-01,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2011-12-01,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,23,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,21,0,0,0
2012-02-01,5,22,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2012-03-01,0,20,20,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,38,0,0,6,0,0,0,21,0,0,0,0,0,0,0
2012-04-01,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0
2012-05-01,6,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,21,0,0
2012-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2012-07-01,4,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,18,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,6,0,29,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,17,0,0
2012-11-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,14,0,0,14,28,16,0,0
2012-12-01,3,14,9,0,0,36,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,14,0,0,0,0
2013-01-01,0,0,24,0,0,0,100,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0
2013-02-01,3,13,22,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0
2013-03-01,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,10,12,0,0,0,22,0,0,0
2013-05-01,2,10,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,11,0,38,0,0,0,0,0
2013-06-01,2,0,7,10,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,10,0,0,39,0,0,0,0,0
2013-07-01,0,10,0,0,0,0,0,0,0,0,0,0,21,0,0,0,12,0,0,0,0,0,6,0,17,9,0,0,0,0,10,0,0,0
2013-08-01,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,14,0,9,0,0,0,8,10,0,0
2013-09-01,0,8,6,8,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,15,0,9,0,0,0,8,0,0,0
2013-10-01,0,8,8,0,15,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,9,6,30,0,8,0,0,0
2013-11-01,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0
2013-12-01,0,0,12,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2014-01-01,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,8,0,0,8,8,9,0,0
2014-02-01,0,9,9,9,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,9,0,0,3,0,16,9,10,0,0,0,9,11,0,0
2014-03-01,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,8,9,0,33,9,9,10,0,0
2014-04-01,2,8,6,8,0,23,72,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,9,29,0,0
2014-05-01,2,0,8,0,0,0,0,0,0,100,0,0,0,0,0,0,11,63,57,9,0,0,0,0,0,9,0,0,0,0,0,10,0,0
2014-06-01,2,9,8,9,0,25,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,9,0,0,0,0,9,11,0,0
2014-07-01,2,0,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,7,33,0,0,10,0,0
2014-08-01,0,9,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,9,10,0,34,0,9,10,0,0
2014-09-01,0,9,10,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,32,0,0,10,0,0
2014-10-01,2,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,2,0,20,7,16,0,0,0,0,9,0,0
2014-11-01,0,8,11,0,0,0,0,0,0,88,0,0,0,8,0,0,0,0,0,8,0,0,2,0,0,0,8,0,0,8,8,9,0,4
2014-12-01,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,100,0,2,0,0,0,0,0,0,0,8,0,0,0
2015-01-01,0,0,5,7,0,0,61,0,0,0,0,0,0,0,11,0,0,50,0,0,0,0,2,0,0,7,8,6,0,0,7,0,0,0
2015-02-01,2,0,5,0,0,0,70,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,30,0,0,9,0,0
2015-03-01,2,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,13,7,16,0,0,0,0,0,0,0
2015-04-01,1,10,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,0,11,0,0,0
2015-05-01,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,14,0,0,0,7,8,0,0
2015-06-01,0,0,0,7,0,20,62,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,13,7,15,0,0,0,7,17,0,0
2015-07-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,0,0,0,8,5,0,0,0,8,100,0
2015-08-01,0,6,0,12,11,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0,6,12,0,0
2015-09-01,0,0,4,12,0,0,0,0,0,0,0,0,7,7,0,0,8,0,0,0,0,0,2,0,0,6,7,5,0,6,6,7,0,3
2015-10-01,1,6,4,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,0,0,7,5,0,0,6,7,0,0
2015-11-01,2,0,9,0,0,0,0,0,0,58,6,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,5,5,6,0,0
2015-12-01,0,10,7,0,19,0,44,0,90,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0
2016-01-01,0,5,7,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,2,0,0,0,6,4,0,5,5,8,0,0
2016-02-01,1,0,6,0,10,0,0,41,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,10,5,6,0,20,6,6,6,0,0
2016-03-01,0,5,3,5,0,14,0,0,0,0,0,0,6,0,0,0,6,0,32,5,0,5,0,0,0,0,8,0,0,0,0,18,0,0
2016-04-01,0,0,7,10,0,0,0,38,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0
2016-05-01,1,5,6,11,0,15,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,6,6,0,0
2016-06-01,2,6,7,0,0,0,0,44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,6,0,5,22,0,12,7,0,0
2016-07-01,1,12,8,6,10,0,49,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,6,0,0,6,6,9,0,0
2016-08-01,1,5,7,0,0,0,46,0,0,60,6,0,0,0,0,0,0,0,34,0,0,0,2,0,0,5,0,0,41,0,6,6,0,0
2016-09-01,1,0,4,0,10,15,46,0,0,0,0,0,6,0,0,0,7,38,35,0,0,0,2,0,0,0,6,4,20,0,6,8,0,0
2016-10-01,1,5,4,5,0,14,0,0,0,60,0,0,0,6,0,64,0,56,0,0,0,0,0,0,9,5,8,0,20,5,5,0,0,0
2016-11-01,1,6,7,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,6,0,0
2016-12-01,1,11,4,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,10,0,6,4,21,0,10,0,0,0
2017-01-01,1,0,5,0,9,13,0,0,0,0,0,0,5,5,0,0,0,33,0,0,0,5,1,0,0,0,10,4,0,0,5,11,0,2
2017-02-01,1,5,4,5,0,0,41,0,0,0,0,0,5,0,0,0,6,33,0,0,0,5,0,0,0,5,5,4,18,0,5,0,0,0
2017-03-01,1,5,7,10,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,1,0,8,5,5,0,18,5,5,11,0,0
2017-04-01,1,5,7,5,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,8,4,0,0,5,6,0,0
2017-05-01,1,5,6,11,10,0,0,0,0,0,6,0,0,6,0,33,0,0,34,0,0,0,2,0,0,10,6,0,0,0,0,10,77,0
2017-06-01,0,6,4,6,0,17,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,8,0,0,6,7,5,0,0,6,7,0,0
2017-07-01,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,6,2,45,0,6,0,0,23,0,6,0,0,0
2017-08-01,1,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,2,0,0,11,6,0,0,0,6,9,0,0
2017-09-01,1,6,6,6,0,0,0,0,100,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,10,6,6,0,0,0,9,11,0,0
2017-10-01,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,5,6,0,0,0,5,6,0,0
2017-11-01,0,5,7,0,10,14,0,0,0,0,0,0,0,6,8,32,0,0,0,5,0,0,3,0,0,0,17,0,0,0,14,6,0,0
2017-12-01,1,5,5,5,0,14,46,0,0,0,0,0,0,0,0,0,0,0,0,5,69,0,2,0,9,5,6,0,20,5,0,6,0,0
2018-01-01,0,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,0,4,18,5,5,11,0,2
2018-02-01,0,6,4,5,0,0,0,41,0,62,6,0,6,0,0,0,0,0,0,5,0,0,2,0,0,0,0,8,20,0,6,10,0,0
2018-03-01,0,0,6,5,0,14,0,0,0,0,0,62,6,0,0,0,0,0,33,0,0,5,0,0,0,5,0,0,38,0,5,0,0,0
2018-04-01,0,8,12,5,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,2,38,0,0,6,0,20,0,5,6,0,0
2018-05-01,0,11,7,5,10,14,0,0,0,60,6,0,0,0,0,0,7,0,34,0,0,0,2,0,0,0,6,0,20,0,5,9,0,0
2018-06-01,1,6,6,11,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,3,0,0,5,12,4,0,0,12,9,0,0
2018-07-01,1,6,11,5,0,29,94,41,0,0,6,0,12,0,9,0,7,39,0,0,0,0,2,0,0,5,12,8,21,0,0,6,0,0
2018-08-01,2,0,4,5,0,0,45,0,0,0,0,0,6,0,0,0,7,0,0,0,0,5,2,0,0,5,6,0,20,0,5,9,0,0
2018-09-01,1,0,9,5,10,0,0,0,0,0,0,65,9,0,0,0,7,0,34,0,0,0,0,0,10,5,17,0,0,0,0,6,0,0
2018-10-01,0,0,7,10,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,5,8,9,0,0
2018-11-01,0,5,9,5,0,0,45,0,0,0,0,0,6,6,0,0,0,37,33,5,0,0,2,0,9,5,7,0,20,0,8,14,0,0
2018-12-01,1,0,3,10,0,14,0,0,0,0,5,0,0,0,8,0,6,0,0,0,0,0,3,0,0,0,5,4,28,5,5,8,0,0
