date,Apple,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lettuce,Loquat,Mushrooms,Napa,Onion,Passion Fruit,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,49,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,59,0
2007-07-01,0,0,0,0,58,0,0,0,0,0,86,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,100,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0
2007-09-01,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,75,0,0
2007-10-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,50,0,0,0,0,0
2007-12-01,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
2008-01-01,40,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,29,0,48,0,0,0,0,0
2008-02-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
2008-04-01,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,46,0,0,0,0,0,0,0,0,0,0,0,27,0,45,0,0,0,0,0
2008-05-01,38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,100,0,0,0,0,0,0,0,45,0,81,0,0,100
2008-06-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,51,0
2008-08-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,34,45,0,0,41,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,32,33,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,38,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,27,64,0,0,0,0,0,100
2009-01-01,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
2009-02-01,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
2009-03-01,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,57,0,0
2009-05-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
2009-06-01,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0,0,24,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
2009-09-01,0,42,0,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
2009-10-01,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,20,48,33,0,0,0,0,0
2009-12-01,31,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,83,0,0,0,0,0,0,0,0,0,67,0,0,0
2010-01-01,28,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,20,0,34,0,0,45,0,76
2010-02-01,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,30,0,0,0,0,36,0,0,0,0,0
2010-03-01,26,0,0,25,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,72,0,0,0,26,0,0,19,0,0,0,57,0,0,0
2010-04-01,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,19,0,0,0,0,0,0,77,0,0,27,0,0,0,47,34,0,0,0,0,0
2010-05-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32,0
2010-06-01,29,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
2010-07-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,20,0,0,0,0,0,0,0
2010-08-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,35,0,0,26,0,0,0,32,0,0,0,32,0
2010-09-01,0,0,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0,0,36,0,27,0,0,0,48,33,0,0,0,0,0
2010-10-01,0,0,0,23,30,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,25,0,0,0,0,0,0,0,42,0,0
2010-11-01,0,0,62,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,0,65,0,0,0,71,0,0,0,0,0,0,45,31,0,0,0,0,0
2010-12-01,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,78,0,0,0,56,0,0,20,0,34,0,62,0,0,76
2011-01-01,23,0,0,21,27,27,0,0,0,36,0,0,27,0,0,79,0,0,0,0,41,0,0,0,0,58,53,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,49,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,86,0,0,0,0,45,0,0,0,0,63,57,0,29,0,0,0,0,67,0,0,0,24,0,0,17,0,29,100,0,0,0,0
2011-03-01,22,29,0,0,26,0,52,0,73,0,38,0,0,0,0,0,0,0,38,0,0,0,0,66,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,15,37,26,0,0,34,0,0
2011-04-01,23,0,0,0,0,27,0,0,0,0,0,0,0,0,47,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,16,0,0,0,49,0,0,61
2011-05-01,0,0,50,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,20,0,0,0,36,25,0,0,0,26,0
2011-06-01,0,0,51,21,0,26,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,27,0
2011-07-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,72,0,0,55,0,0,0,0,0,0,67,0,0,0,23,0,0,0,41,0,0,0,0,0,0
2011-08-01,21,0,49,0,0,0,0,21,0,0,0,0,25,0,43,0,52,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,46,0,0,0
2011-09-01,22,29,0,0,25,26,0,0,72,35,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,26,0
2011-10-01,0,28,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,56,0,0,0,20,41,0,15,0,24,0,0,0,0,0
2011-11-01,0,28,0,19,25,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,31,0,0,35,24,0,0,0,25,0
2011-12-01,24,32,0,22,0,28,0,23,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,23,0,0,17,40,47,0,0,37,0,0
2012-01-01,20,0,0,19,24,24,48,0,0,32,0,66,0,0,0,0,100,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,20,0,14,0,47,0,86,0,24,0
2012-02-01,32,0,50,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,15,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0,0,46,0,0,0
2012-03-01,0,0,0,19,24,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,0,0,0,0,0,0,54,0,0,38,0,0,0,0,24,0,0,31,0,0
2012-04-01,20,0,0,0,24,24,0,19,0,0,0,0,0,0,0,0,0,0,0,100,73,0,71,60,0,0,0,13,0,0,100,0,0,0,53,0,0,58,0,0,14,34,0,82,0,31,0,0
2012-05-01,0,24,0,0,0,42,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,46,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,0,0
2012-06-01,17,24,0,0,0,0,84,17,0,0,0,0,0,0,0,0,43,0,46,0,0,0,0,0,0,45,0,0,21,0,0,0,0,0,0,0,0,17,0,0,0,29,0,0,0,0,0,0
2012-07-01,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,65,0,0,0,0,0,0,0,43,0,0,0,45,24,0,0,0,0,0,18,0,0,13,0,0,0,40,0,0,0
2012-08-01,36,0,0,17,21,21,0,0,0,0,32,0,0,0,37,0,0,0,0,0,0,0,64,0,0,0,0,12,0,0,0,0,0,0,0,0,0,36,0,0,13,0,0,0,39,28,22,0
2012-09-01,18,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,47,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,22,0
2012-10-01,25,23,0,0,20,20,0,0,0,26,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,40,0,0,0,43,0,0,46,0,0,0,0,0,0,12,0,60,0,37,0,0,0
2012-11-01,23,0,0,16,20,20,0,0,0,27,0,0,0,0,0,0,0,0,0,43,0,0,60,0,0,0,40,0,0,0,43,0,0,0,0,0,0,17,0,0,12,0,40,0,37,0,0,0
2012-12-01,18,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,46,24,0,0,0,0,0,27,18,0,0,30,0,0,39,0,0,48
2013-01-01,32,21,0,0,28,0,37,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,37,0,0,50,0,0
2013-02-01,0,23,0,16,20,0,41,0,0,0,0,0,0,0,0,60,0,0,0,43,0,0,0,52,0,44,0,23,0,0,0,22,0,0,0,0,0,17,17,0,12,0,30,0,74,0,0,0
2013-03-01,16,0,0,15,0,19,0,0,53,49,41,0,0,0,0,0,0,0,0,39,0,0,0,48,0,0,0,21,0,0,39,0,0,0,0,0,0,15,0,0,28,27,37,0,0,25,19,0
2013-04-01,24,33,0,0,0,0,60,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,54,38,29,0
2013-05-01,0,0,100,0,25,25,0,21,0,0,38,0,26,0,45,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,22,0,15,0,0,0,0,34,26,0
2013-06-01,20,0,47,19,0,24,0,0,0,31,0,0,0,0,41,0,51,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,24,83,44,32,0,0
2013-07-01,0,21,0,28,0,0,37,0,0,24,0,50,0,0,0,0,0,0,0,39,0,98,0,0,0,40,36,0,0,0,0,0,0,0,0,0,97,0,30,0,11,0,18,62,0,24,0,0
2013-08-01,0,20,35,21,18,18,37,0,0,0,0,0,18,0,31,0,0,0,27,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0
2013-09-01,22,21,34,14,0,18,36,0,0,24,0,50,0,0,0,52,0,0,0,0,28,0,0,0,47,38,0,10,0,0,0,0,0,42,0,20,0,14,0,0,11,0,0,0,32,0,18,0
2013-10-01,20,0,0,14,18,0,0,15,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,0,18,0,0,0,0,0,40,0,0,0,15,0,11,25,27,0,0,0,0,0
2013-11-01,16,21,0,15,19,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0,41,37,0,19,0,0,0,0,0,0,20,0,15,31,0,23,0,19,0,34,25,0,42
2013-12-01,16,21,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,11,36,19,0,52,25,0,63
2014-01-01,15,0,0,14,18,35,0,0,100,0,0,48,0,0,0,0,0,0,26,0,0,0,0,0,47,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,61,32,0,0,0
2014-02-01,18,24,0,25,21,42,42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,36,0,0,0,0,0,0,0,0,0,0,18,0,25,30,21,0,0,0,0,0
2014-03-01,31,21,0,14,0,18,0,15,0,0,27,0,0,0,0,0,0,0,0,0,0,0,55,47,49,0,0,0,0,0,39,0,0,0,0,20,0,15,15,0,22,0,18,0,0,0,0,0
2014-04-01,17,23,40,0,0,31,80,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,11,0,0,0,0,0,0,0,0,0,17,17,0,30,0,30,0,0,0,0,0
2014-05-01,0,24,0,0,21,21,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,67,0,0,21,0,0,0,0,0,0,0,0,34,0,0,12,0,0,0,0,0,0,0
2014-06-01,18,24,41,24,21,0,0,35,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,45,0,0,21,0,45,0,0,49,47,23,0,35,18,0,12,30,21,0,0,0,28,47
2014-07-01,30,0,0,0,29,0,0,0,0,24,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,35,0,0,0,38,19,0,0,0,0,0,0,0,0,0,0,35,0,32,35,18,0
2014-08-01,14,0,33,0,0,33,0,0,47,0,0,0,0,0,0,0,35,0,25,0,25,90,49,0,66,0,0,0,0,0,0,18,0,0,36,0,0,14,0,0,0,0,16,0,0,0,17,0
2014-09-01,25,20,0,0,35,0,36,0,0,23,0,0,0,0,31,0,0,0,0,0,27,0,0,91,47,0,0,10,18,0,0,0,0,40,0,39,0,15,0,0,11,0,18,0,64,0,0,40
2014-10-01,16,0,39,20,20,39,0,0,56,0,29,0,0,0,0,0,0,0,0,0,0,0,0,100,0,43,0,0,20,0,0,21,0,0,0,0,0,16,83,0,18,0,20,0,0,26,0,0
2014-11-01,31,21,0,0,0,37,75,0,52,24,27,51,0,0,0,0,39,0,0,0,28,0,0,0,0,80,0,0,18,0,0,0,0,0,0,20,0,0,0,0,0,26,18,64,100,0,0,61
2014-12-01,16,33,38,0,0,20,79,0,0,26,29,0,0,0,0,0,0,0,0,41,0,0,0,50,0,0,39,0,0,0,0,0,0,45,0,21,0,0,0,0,0,28,19,68,35,0,0,44
2015-01-01,0,20,0,14,0,35,35,14,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,34,0,0,0,0,19,0,0,39,0,0,14,0,0,21,25,17,0,32,0,0,0
2015-02-01,17,0,38,0,19,20,0,16,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,39,23,0,0,42,21,0,0,0,0,0,25,0,34,12,27,19,0,0,0,0,0
2015-03-01,15,0,71,0,0,0,0,0,0,24,27,0,0,0,0,0,0,0,0,0,28,0,0,0,0,59,36,10,0,0,0,0,0,0,0,0,0,45,15,0,11,0,18,0,33,0,0,0
2015-04-01,16,0,0,0,0,27,0,0,0,0,27,0,18,0,0,0,38,0,27,0,0,100,0,0,0,0,72,0,0,0,39,20,0,0,42,0,0,30,0,32,11,26,54,0,34,0,18,0
2015-05-01,23,20,0,14,18,0,0,15,0,0,0,50,0,0,0,0,37,0,0,38,0,0,0,0,0,39,71,0,0,0,0,19,0,0,40,20,0,0,0,0,21,0,18,0,0,24,36,0
2015-06-01,15,0,35,0,17,0,0,14,0,0,26,0,0,0,31,52,0,0,26,0,27,0,0,0,46,38,35,10,0,0,0,0,0,0,0,19,0,14,15,0,11,0,35,0,0,23,18,0
2015-07-01,0,20,34,14,0,0,0,0,50,23,0,0,0,0,60,51,36,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,39,0,0,14,29,0,10,0,17,0,0,0,44,0
2015-08-01,29,0,0,0,0,18,0,14,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,34,0,0,0,37,0,0,0,0,0,0,14,0,0,21,0,17,0,0,0,18,0
2015-09-01,30,0,0,0,18,0,36,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,20,0,0,79,0,0,22,0,31,11,0,18,0,33,0,18,40
2015-10-01,20,36,31,0,16,16,0,0,46,0,24,0,0,0,0,0,0,0,24,0,0,0,49,42,0,35,32,9,0,0,0,0,0,0,0,18,0,13,20,0,0,23,0,0,29,22,0,0
