date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blueberries,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Raisins,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams,Cassava
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,54,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0
2007-07-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2007-09-01,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,84,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,85,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2008-04-01,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,49,0,0,0,0,94,0,0,0,0,0,47,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,74,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,87,0,0
2008-10-01,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,63,0,0,61,0,0,0
2008-11-01,45,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,20,29,0,0,0,0,0,0,0,0,64,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
2009-01-01,41,0,63,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,61,59,0,0,0
2009-02-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,30,0,62,0,0,0,0,0,0
2009-03-01,37,0,0,0,0,71,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,55,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
2009-05-01,38,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,73,0,54,0,0,0
2009-06-01,37,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,40,0,0,0,0,0,0,0,0,0,97,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,57,0,0,0
2009-09-01,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,100,56,0,39,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
2009-10-01,37,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,54,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
2009-11-01,36,0,0,0,100,68,0,0,100,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,25,0,0,0,54,0,0,0,0
2009-12-01,0,0,0,0,0,74,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,55,0,0,0
2010-01-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,88,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,22,0,0,0,0,23,0,0,0,0,0,0,0,0
2010-02-01,35,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,98,0,60,0,0,0,0,0,0,0
2010-03-01,31,0,0,0,0,0,32,0,0,0,84,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,45,0,0,44,0,95,0
2010-04-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,52,50,0,0,0
2010-05-01,66,0,51,0,0,64,0,0,0,0,90,0,33,0,0,0,0,0,0,48,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,46,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,47,0,100,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,47,0,0,0
2010-08-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,49,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,23,0,49,0,0,47,0,0,0
2010-10-01,31,0,0,0,0,0,33,0,88,16,0,0,0,0,0,30,97,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,21,0,0,0,22,0,0,0,0,45,0,0,0
2010-11-01,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,0,59,45,0,0,0,0
2010-12-01,0,0,0,0,0,62,0,86,0,33,0,0,32,0,0,0,0,0,0,0,0,47,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,19,93,0,0,0,41,0,0,0
2011-02-01,30,0,0,0,0,0,0,0,0,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
2011-03-01,26,0,0,0,0,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,30,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,0,0,0,42,43,0,0,0
2011-05-01,0,0,0,0,0,53,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,41,0,0,0,0
2011-06-01,0,0,0,0,38,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,51,0,0,20,0,0,0,0,0,0,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
2011-07-01,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,53,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,72,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,19,0,40,0,40,0,0,0,0
2011-09-01,27,0,0,8,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,12,0,0,0,0,19,0,41,0,0,0,0,0,0
2011-10-01,25,0,38,8,35,0,26,68,70,13,68,0,0,0,0,0,0,0,0,0,0,37,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,74,0,38,0,0,0,0
2011-11-01,26,0,39,0,36,0,0,0,0,0,0,0,26,0,0,25,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,17,0,0,0,0,0,39,0,79,0,48,0,0
2011-12-01,26,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,68,0,0,64,0,0,0,0,0,0,81,12,0,0,0,0,0,0,39,0,39,37,0,0,0
2012-01-01,22,0,34,0,0,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,41,42,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,33,0,34,0,0,0,0
2012-02-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,17,0,35,0,0,35,0,0,0
2012-03-01,22,0,34,0,0,0,23,0,0,12,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
2012-04-01,0,0,0,7,0,47,25,0,0,12,0,23,0,0,0,0,0,0,0,35,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,36,0,0,0,0,0,0
2012-05-01,47,0,35,0,0,45,0,0,0,12,0,0,0,0,0,0,0,70,0,33,0,34,0,0,0,0,0,0,0,0,62,0,0,57,56,60,0,0,0,7,0,16,0,0,0,0,16,0,0,45,0,33,44,0,0
2012-06-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,62,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,34,0,0,0
2012-07-01,0,0,0,0,0,48,26,0,0,13,0,0,0,0,0,24,0,73,0,0,65,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,38,0,0,36,47,0,0
2012-08-01,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,78,48,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,17,0,0,0,0,0,0,100,0,37,49,0,0
2012-09-01,42,0,0,0,0,0,0,0,0,14,0,27,28,0,0,0,0,83,0,0,0,0,0,28,0,52,0,0,20,0,73,0,0,0,0,0,0,0,0,9,0,25,0,0,0,76,20,0,62,0,0,40,0,0,0
2012-10-01,49,0,0,7,0,46,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,44,0,0,0,16,0,0,0,17,0,36,0,0,68,0,0,0
2012-11-01,24,0,0,7,0,0,50,0,0,0,0,23,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,17,0,63,0,0,60,0,0,0,0,0,0,0,11,24,0,0,0,34,81,0,0,37,0,0,0,0
2012-12-01,23,0,0,0,0,44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
2013-01-01,20,0,0,0,0,39,0,0,0,10,0,19,0,0,0,0,0,0,0,29,53,30,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,18,0,0,0,9,13,0,0,0,0,34,30,0,30,43,38,0,0
2013-02-01,22,0,0,0,0,0,0,0,61,11,0,0,21,0,0,0,0,0,0,0,0,47,12,0,64,0,40,0,0,0,0,0,0,0,0,0,0,20,39,0,0,9,0,0,0,0,0,37,32,0,32,31,0,0,0
2013-03-01,18,0,0,0,25,35,0,0,0,0,50,0,0,0,0,0,0,0,0,0,48,27,0,19,55,0,0,0,0,0,0,0,0,0,44,47,0,0,0,6,0,8,0,0,0,0,13,31,27,0,55,53,34,0,0
2013-04-01,0,0,0,0,28,39,0,0,0,10,54,0,0,0,0,19,0,60,0,29,0,29,0,0,0,0,0,0,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,30,39,0,0,0,0,0
2013-05-01,18,0,28,6,26,37,19,0,0,9,49,18,0,50,0,18,0,0,0,26,0,0,11,0,57,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,0,31,41,0,0,39,0,0,0
2013-06-01,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,50,28,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,32,28,0,0,0,35,0,0
2013-07-01,18,0,0,0,26,0,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,13,0,0,0,0,26,0,0,0
2013-08-01,0,0,28,0,0,0,0,0,0,0,51,0,0,0,46,0,0,56,0,28,0,56,11,0,0,0,35,0,0,0,0,0,0,48,0,0,0,0,34,0,0,0,13,0,0,0,0,33,28,0,29,27,0,0,0
2013-09-01,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,36,38,0,14,0,0,0,0,0,0,0,0,18,0,0,0,0,13,0,0,55,27,0,0,0,30,0,0,0,0
2013-10-01,0,0,0,6,0,0,0,50,0,9,0,0,0,0,0,18,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,57,0,12,0,69,0,13,64,27,0,28,40,0,0,0
2013-11-01,18,0,0,0,0,36,19,50,0,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,13,0,0,0,0,0,0,0,0,0,0,6,0,8,12,0,0,100,0,31,27,0,0,0,0,0,0
2013-12-01,37,0,56,6,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,34,0,0,0,0,0,0,0,45,0,100,0,0,0,57,0,0,0,0,0,13,64,0,0,28,0,0,0,0
2014-01-01,16,0,24,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,16,0,0,0,0,0,0,0,0,98,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,24,0,24,22,30,0,0
2014-02-01,18,0,0,5,0,68,0,49,0,0,0,0,18,0,0,17,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,8,0,0,0,0,19,30,26,34,0,25,33,0,0
2014-03-01,26,0,0,5,43,0,16,0,0,16,0,0,15,43,38,15,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,26,0,0,24,0,0,0,0
2014-04-01,17,0,0,0,0,32,0,45,0,0,45,0,17,45,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0,0,23,0,49,0,0,0,0,0,0
2014-05-01,17,0,0,5,23,32,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,25,0,25,0,0,0,0
2014-06-01,0,26,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,10,18,53,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,26,25,0,0,0
