date,Apple,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carambola,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Grapes,Guava,Kale,Lettuce,Mangos,Mushrooms,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Tomato,Watermelon,Yams
2006-03-01,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,100,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,46,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2008-02-01,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
2008-04-01,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,47,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,100,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2009-03-01,0,0,37,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2009-04-01,26,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,81,0,0,0,0
2009-12-01,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,64,35,0
2010-02-01,0,0,34,21,0,0,0,100,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,28,30,0,0,0,0,0,0,0
2010-03-01,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,100,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,18,0,0,0,84,0,100,0,0,0,0,0,45,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,19,0,0,0,20,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,18,0,26,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,15,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,43,0,0,52,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,49,0,0,25,0
2011-09-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,19,0,0,0,53,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,26,0
2011-12-01,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2012-02-01,0,0,0,13,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,62,0,0,0
2012-03-01,0,0,0,24,0,0,0,59,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,100,0,0,0,0,0,0,0,0,0,47,0,0
2012-05-01,0,0,0,0,14,77,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
2012-06-01,0,0,21,12,0,0,0,0,0,71,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
2012-07-01,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,96,0,0,0,0,76,0,0,9,0,0,0,0,0,23,0
2012-08-01,0,0,19,0,13,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,42,0,0,0,0
2012-09-01,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,9,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2012-11-01,13,0,0,11,0,0,0,56,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,43,0
2012-12-01,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2013-01-01,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0
2013-02-01,0,0,0,0,12,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,74,12,0,0,0,0,0,13,0,0,28,0,0,0,0,0
2013-04-01,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,9,0,0,0,0,37,0
2013-05-01,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,13,7,0,0,34,0,32,0,0
2013-06-01,10,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,57,0,0,0,8,0,34,0,0,0,0
2013-07-01,10,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,17,0
2013-08-01,10,0,0,17,10,0,0,42,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,10,0,15,9,10,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,34,0,32,0,0
2013-10-01,0,0,0,9,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,16,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,43,0,0,0,0,0,0,49,23,30,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,34,0
2013-12-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
2014-01-01,8,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,12,0,0,29,0,0,15,0
2014-02-01,0,0,0,9,10,0,0,63,0,0,0,0,0,0,95,0,0,0,0,0,69,0,0,0,0,0,0,12,7,0,0,33,0,0,17,0
2014-03-01,0,0,0,8,0,0,0,0,0,0,0,0,0,100,0,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,75,0,15,0
2014-04-01,9,0,27,0,9,0,0,0,0,0,0,0,54,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,38,29,0,0
2014-05-01,9,0,0,8,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,51,0,0,6,0,0,0,0,0,0,0
2014-06-01,19,0,0,34,0,53,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,63,0,0,0,12,0,0,0,0,0,0,33,0
2014-07-01,9,0,0,8,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,11,0,0,0,29,0,0,0,0
2014-08-01,0,41,0,8,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,26,0,0,0,0,0,0,0,0,6,0,0,57,0,0,15,0
2014-09-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,15,0
2014-10-01,8,41,12,0,8,0,70,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,48,0,21,0,0,0,28,0,26,0,0
2014-11-01,13,43,0,0,0,49,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,15,0
2014-12-01,9,0,0,16,0,0,0,38,0,45,0,0,0,0,43,0,0,0,0,27,0,0,0,0,0,0,53,0,9,0,0,0,37,0,0,0
2015-01-01,8,0,11,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,16,49,56,0,0,0,0,0,0,0,5,0,0,35,33,0,13,0
2015-02-01,0,0,0,12,0,47,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,55,0,0,0
2015-03-01,0,38,11,14,8,0,0,0,0,39,0,0,0,0,38,0,0,0,0,0,55,9,0,0,0,0,0,0,0,0,0,26,0,0,13,0
2015-04-01,8,0,0,14,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,58,0,0,54,0,45,0,10,5,7,0,0,0,0,0,0
2015-05-01,8,0,18,7,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,46,0,0,5,0,0,27,34,25,14,0
2015-06-01,0,0,0,7,8,0,65,0,96,0,17,0,0,0,0,0,0,0,0,24,0,0,0,52,0,0,47,0,0,0,0,26,0,0,0,0
2015-07-01,8,0,0,7,8,43,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,44,0,0,5,0,0,0,0,0,20,0
2015-08-01,0,37,11,9,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,23,0,9,0,49,0,0,0,0,0,0,0,25,48,0,13,0
2015-09-01,8,0,0,10,8,0,0,0,0,0,0,0,0,0,37,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,0
2015-10-01,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,54,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
2015-11-01,8,0,11,24,8,0,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,5,6,0,26,0,0,13,0
2015-12-01,8,39,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,78,0,0,0,0,0,0,0,0,26,0,0,13,0
2016-01-01,0,0,11,7,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,7,0,0,0,35,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0
2016-03-01,0,73,11,7,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,23,0,0
2016-04-01,0,38,0,7,8,42,0,34,0,0,0,0,0,0,0,18,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2016-05-01,7,0,11,11,0,42,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,18,0,6,0,25,0,0,0,0
2016-06-01,7,0,0,7,7,41,0,0,91,0,0,0,45,0,36,0,0,0,15,0,0,0,0,0,0,0,0,9,5,0,0,0,0,47,13,0
2016-07-01,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,6,0,27,68,25,14,0
2016-08-01,8,0,0,7,8,0,0,0,0,0,0,0,49,0,39,18,0,0,0,25,0,0,0,0,0,0,0,0,5,7,0,0,0,0,28,0
2016-09-01,0,39,0,7,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,53,0,0,0,10,0,0,0,0,0,0,14,0
2016-10-01,0,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,55,0,26,14,0
2016-11-01,0,0,12,7,12,45,0,0,100,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,7,0,27,34,0,0,0
2016-12-01,0,39,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0
2017-01-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,23,13,0
2017-02-01,0,0,0,0,11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0
2017-03-01,0,0,11,6,7,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,40,0,9,5,0,0,0,0,45,12,0
2017-04-01,0,0,0,21,8,0,0,0,0,0,0,0,47,0,38,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0
2017-06-01,0,0,11,10,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,0,50,100,0,0,9,0,0,0,0,0,0,13,0
2017-07-01,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,17,23,21,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,13,0
2017-08-01,0,0,0,13,7,0,0,0,0,37,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,44,9,7,12,0,0,0,46,25,0
2017-09-01,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,50,0,0,45,10,0,0,0,0,0,23,13,0
2017-10-01,0,0,0,7,0,40,0,0,0,37,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,5,0,19,0,0,24,0,0
2017-11-01,7,0,0,6,0,0,0,0,0,0,0,0,43,0,0,32,0,0,0,0,100,0,0,0,0,40,0,0,5,0,0,24,0,0,0,0
2017-12-01,7,0,0,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,24,30,22,24,0
2018-01-01,6,0,9,6,6,0,0,0,0,0,0,51,0,0,31,14,0,0,0,0,0,0,0,42,0,0,0,8,4,5,0,0,0,0,11,0
2018-02-01,0,0,10,10,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,9,9,6,0,24,30,0,12,0
2018-03-01,6,0,9,6,0,35,0,0,0,0,0,0,38,0,62,14,0,0,0,0,0,7,0,0,0,36,38,16,4,5,0,21,27,0,11,0
2018-04-01,7,0,10,12,14,0,0,0,0,0,0,0,0,76,0,0,0,0,0,21,0,0,0,0,0,0,0,8,0,5,0,0,0,0,11,0
2018-05-01,6,31,9,6,13,0,0,0,0,0,0,0,38,0,0,14,19,0,0,0,44,0,0,0,0,0,0,0,0,0,17,21,0,20,21,0
2018-06-01,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,43,0,0,0,0,0,0,8,0,0,0,21,26,19,11,0
2018-07-01,6,0,0,8,0,0,0,0,0,0,0,100,38,0,0,0,0,0,0,39,0,0,0,0,0,35,0,8,0,5,17,0,0,39,0,0
2018-08-01,12,0,9,6,0,35,52,0,0,0,0,0,0,0,0,14,0,0,13,0,44,0,0,0,0,0,0,0,0,0,17,21,27,0,11,0
2018-09-01,7,0,20,6,0,0,0,0,0,0,0,0,40,0,0,0,0,18,14,0,0,0,0,44,0,0,40,8,0,5,0,0,0,0,11,0
2018-10-01,7,0,10,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,38,41,9,0,0,0,23,0,0,0,0
2018-11-01,7,0,10,6,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,22,50,0,0,0,0,0,0,0,5,0,19,0,30,0,0,0
2018-12-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0,47,0,0,0,0,5,0,19,24,30,0,0,0
