date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Guava,Kale,Lettuce,Napa,Okra,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Tomato,Watermelon,Yams
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,64,0,0,0,0,0,81,0
2013-01-01,0,0,94,0,65,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,87,0,0,0,0,45,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,90,0,0,0,0,0,0
2013-03-01,43,0,66,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,48,33,0,100,0,0,0,42,0
2013-04-01,0,0,45,0,63,0,0,0,0,0,0,0,0,0,0,0,0,71,53,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
2013-05-01,41,0,43,0,60,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,72,0,72,0,0
2013-06-01,43,0,88,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,51,0,0,0,66,0,0,0,0,33,0,0,0,0,74,0,0
2013-07-01,40,0,56,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
2013-08-01,0,0,81,40,0,0,0,0,0,0,0,0,0,0,0,87,59,63,0,0,0,0,0,100,100,0,43,60,0,0,67,0,0,0,0
2013-09-01,39,47,41,0,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,0,0,0,0,30,74,0,67,0,0,38,0
2013-10-01,0,45,38,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,88,41,0,0,88,0,0,65,0,0
2013-11-01,0,46,39,0,0,0,0,0,0,0,0,0,0,60,0,84,0,0,45,0,0,0,0,0,97,0,0,0,0,0,0,56,0,37,0
2013-12-01,38,46,39,0,0,0,0,0,0,0,0,0,0,61,0,0,0,61,46,0,0,0,0,0,0,0,42,0,0,89,65,0,66,0,0
2014-01-01,0,0,0,35,48,97,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,59,0,0
2014-02-01,0,0,57,38,54,0,0,0,0,0,0,0,0,59,0,0,56,0,0,100,0,55,0,0,94,0,0,29,69,0,63,0,0,0,0
2014-03-01,33,40,35,34,0,0,0,0,0,0,0,82,0,0,0,0,0,54,0,0,0,0,0,0,0,0,37,34,63,0,0,0,0,0,0
2014-04-01,35,83,0,36,100,100,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,27,0,0,0,0,0,0,0
2014-05-01,45,41,35,0,49,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,51,0,0,0,0,38,52,64,0,58,0,59,100,0
2014-06-01,37,44,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,59,44,0,0,0,0,0,0,0,41,0,69,0,0,0,64,0,0
2014-07-01,34,41,35,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,33,0
2014-08-01,33,79,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,65,0
2014-09-01,0,0,100,99,46,93,0,0,0,0,0,78,0,51,0,0,0,53,39,86,0,0,0,0,82,0,36,25,0,0,0,48,56,32,0
2014-10-01,32,38,33,66,0,0,0,93,74,0,95,0,0,0,0,0,0,52,0,0,0,48,0,0,0,0,0,0,0,0,0,47,0,31,0
2014-11-01,33,39,0,0,0,0,0,96,0,0,0,0,0,53,78,0,0,53,0,0,0,0,0,0,0,0,36,100,0,0,0,0,57,65,100
2014-12-01,100,0,34,69,71,0,0,0,0,0,0,81,0,0,0,74,0,54,0,90,0,0,0,0,0,0,0,38,0,0,0,0,58,32,0
2015-01-01,30,0,31,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,23,0,70,0,0,52,29,0
2015-02-01,0,0,51,34,47,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,50,0,83,0,0,0,0,0,0,0,57,32,0
2015-03-01,29,0,0,60,42,0,46,0,68,0,0,0,0,46,0,0,0,0,35,0,0,0,45,0,0,0,33,22,0,0,0,0,51,29,0
2015-04-01,0,36,32,31,44,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,58,0,53,45,0,0,0
2015-05-01,29,0,0,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,69,49,0,55,0,100,0,51,28,0
2015-06-01,44,0,46,61,43,0,0,0,0,0,0,0,0,47,0,0,0,48,0,0,0,44,0,0,0,0,33,0,0,0,0,0,0,0,0
2015-07-01,30,0,31,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,51,45,79,29,0
2015-08-01,0,35,46,61,43,0,0,0,0,0,0,72,0,0,0,0,0,0,71,0,0,0,0,0,75,0,33,46,0,0,0,0,0,0,0
2015-09-01,29,0,40,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,51,29,0
2015-10-01,29,34,30,30,42,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,32,22,0,0,0,0,50,28,0
2015-11-01,0,0,46,31,43,0,0,0,0,0,88,0,0,48,0,0,0,48,36,0,0,44,0,0,0,70,0,0,56,0,0,44,52,29,0
2015-12-01,46,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,60,0
2016-01-01,31,75,33,0,68,92,100,0,0,49,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,35,36,0,0,55,46,55,31,0
2016-02-01,33,78,34,34,71,0,0,0,0,51,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,37,50,0,0,0,0,57,32,0
2016-03-01,29,72,61,0,43,0,0,0,0,45,0,0,0,0,0,67,0,0,36,0,0,0,0,0,0,0,33,23,0,0,52,44,52,43,0
2016-04-01,32,39,33,0,46,0,0,93,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,72,25,0,0,82,47,0,31,0
2016-05-01,31,37,42,31,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,0,0,0,0,30,0
2016-06-01,32,75,49,0,89,0,0,0,0,0,0,75,0,0,0,70,0,0,38,0,0,0,0,0,0,0,35,24,0,0,0,0,0,0,0
2016-07-01,0,41,36,35,49,0,0,0,0,53,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,59,67,0
2016-08-01,34,41,0,35,0,0,0,0,0,0,0,0,0,0,0,0,51,56,0,0,0,0,0,0,0,0,38,26,0,0,59,50,0,33,0
2016-09-01,34,0,35,0,0,0,54,0,0,0,100,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,76,26,0,0,0,0,0,33,0
2016-10-01,33,0,35,35,98,0,0,0,0,0,0,0,0,54,0,0,100,0,40,0,0,0,0,0,0,80,0,26,64,0,59,0,0,0,0
2016-11-01,51,41,0,0,49,0,0,0,0,0,0,0,0,54,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,58,100,0,0,0
2016-12-01,35,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,61,34,0
2017-01-01,31,37,32,32,45,0,0,0,0,0,0,0,0,0,0,0,46,0,38,0,0,0,48,0,0,0,0,0,0,0,0,93,54,0,0
2017-02-01,35,43,37,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,43,0,0,0,55,0,0,0,0,37,100,0,0,0,61,34,0
2017-03-01,30,36,64,31,0,87,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,77,72,0,35,0,0,0,0,53,45,0
2017-04-01,51,81,0,35,0,0,54,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,52,0,0,0,0,26,64,0,0,50,59,0,0
2017-05-01,33,39,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,48,0
2017-06-01,34,40,87,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,38,26,0,0,58,0,59,0,0
2017-07-01,34,0,36,36,0,0,0,0,0,0,0,0,0,55,0,0,0,56,0,0,0,0,53,0,89,81,0,0,66,0,0,0,60,0,0
2017-08-01,33,39,68,0,47,0,0,0,77,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,0,57,49,0,32,0
2017-09-01,33,40,35,0,0,0,53,0,77,0,0,0,0,54,79,0,0,54,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2017-10-01,32,0,33,0,70,0,0,0,0,0,0,0,0,51,0,0,48,0,0,0,0,48,0,0,83,0,36,49,0,0,0,0,0,31,0
2017-11-01,31,37,63,0,0,0,0,0,0,0,0,0,0,49,72,0,46,100,0,0,0,0,0,0,0,0,0,24,0,0,0,45,53,30,0
2017-12-01,31,0,0,0,0,0,0,0,73,0,0,76,0,100,0,70,0,0,0,0,0,47,0,0,80,0,0,0,0,0,54,46,0,0,0
2018-01-01,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,0,0,0,0,0,73,0,0,33,0,0,50,0,100,0,0
2018-02-01,33,39,33,100,46,0,0,0,75,100,0,78,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,25,0,0,0,48,56,32,0
2018-03-01,29,0,45,30,0,85,0,0,0,0,0,71,0,0,0,0,0,0,35,0,0,0,0,0,0,69,66,0,0,0,51,43,51,57,0
2018-04-01,0,0,66,66,46,0,0,0,0,0,0,0,0,0,76,0,0,0,38,0,0,48,0,0,0,0,0,0,0,0,55,0,0,94,0
2018-05-01,0,36,0,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,33,22,0,70,52,0,52,29,0
2018-06-01,30,36,31,46,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
2018-07-01,31,38,64,32,0,0,0,93,0,0,0,0,0,0,0,70,47,51,38,85,0,0,0,0,0,0,35,48,0,0,0,46,0,31,0
2018-08-01,31,37,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,34,24,0,0,0,46,55,46,0
2018-09-01,32,0,66,65,0,0,0,0,0,0,0,0,0,50,76,0,0,0,38,85,0,0,0,0,0,0,35,24,0,0,0,0,56,31,0
2018-10-01,32,38,49,33,46,0,0,0,0,0,94,0,0,0,0,0,47,51,38,86,0,0,49,0,82,0,0,49,0,75,55,0,0,31,0
2018-11-01,66,0,34,0,0,0,0,0,0,0,0,0,0,53,0,0,50,0,40,0,0,50,0,0,0,0,0,26,63,78,58,0,58,32,0
2018-12-01,34,40,35,69,0,0,0,100,0,0,0,0,0,0,0,75,0,54,41,0,0,0,0,0,0,0,0,26,0,79,0,50,0,33,0
