date,Apple,Apricot,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Corn,Cucumber,Eggplant,Garlic,Grapes,Guava,Lettuce,Okra,Onion,Oranges,Peaches,Peas,Pineapple,Pomegranate,Pumpkin,Spinach,Squash,Tomato,Watermelon
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,100,0,0
2011-12-01,0,0,100,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2012-02-01,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,88,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
2012-06-01,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,11,0,0,100,0,0,27,0,0,0,0,0,100,77,0,0,0,0,0,0,81,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,45,0,45,100
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,26,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,100,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,34,0,0,0,0,0,31,0,0,0
2013-07-01,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
2013-08-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,80,0,26,0,0
2013-10-01,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2013-12-01,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0,0,0,0,0,64
2014-01-01,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2014-02-01,0,0,0,40,0,0,0,0,0,0,0,0,41,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2014-03-01,4,0,0,33,4,0,0,0,87,98,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,24,0,54
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,76,24,0,0,0
2014-07-01,0,0,28,32,0,0,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0
2014-08-01,0,0,17,0,0,0,0,22,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,21,0,0,0
2014-09-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0
2014-10-01,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,22,0,0,0,0,21,0,20,0,0,0
2014-11-01,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,0,23,0,6,22,0,23,0,0,21,21,48
2014-12-01,4,0,0,0,0,0,0,25,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
2015-02-01,0,0,0,0,12,0,0,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,21,0
2015-03-01,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,18,0,0
2015-04-01,0,0,0,50,0,0,0,0,0,74,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,32,0,0,0
2015-06-01,0,0,13,23,0,0,0,17,0,68,0,0,0,0,0,0,0,0,5,0,18,0,0,0,16,16,0
2015-07-01,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,16,0,4,15,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29,0
2015-09-01,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,4,14,0,0,0,14,0,14,0
2015-10-01,0,0,0,20,3,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,14,0,32
2015-11-01,0,0,0,24,0,0,0,18,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,17,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,26,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2016-03-01,0,0,0,15,0,0,0,0,0,0,0,0,15,0,60,0,0,0,3,11,0,0,0,11,11,0,24
2016-04-01,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2016-05-01,2,0,0,0,0,0,0,11,0,0,0,45,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2016-06-01,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,24,0,0,0,0,0,11,11,0,0
2016-07-01,2,0,0,41,2,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,0
2016-08-01,2,0,0,0,2,49,0,10,0,0,0,0,0,0,57,0,0,0,0,10,12,0,0,10,0,10,0
2016-09-01,0,0,9,15,2,0,0,22,0,45,0,0,0,0,0,0,0,0,3,11,12,0,0,16,0,0,0
2016-10-01,2,0,9,15,2,52,4,0,41,0,0,0,0,12,61,0,0,0,0,0,0,0,0,11,0,16,0
2016-11-01,0,0,9,15,0,0,4,11,0,45,0,0,0,0,62,0,0,0,0,11,25,0,34,0,0,11,24
2016-12-01,0,0,0,0,0,57,4,20,0,0,0,100,16,0,0,0,13,0,0,0,13,0,0,18,0,20,27
2017-01-01,0,0,0,14,2,0,0,10,0,43,0,43,0,0,0,0,11,0,0,10,0,0,0,0,14,13,23
2017-02-01,3,0,0,15,2,0,0,22,0,0,90,45,0,0,0,0,0,0,0,11,0,0,33,11,11,11,24
2017-03-01,2,0,8,14,2,0,0,10,37,40,0,0,0,0,0,0,0,0,3,0,0,10,30,19,10,10,0
2017-04-01,3,0,0,15,0,0,0,17,0,45,0,0,0,0,0,0,0,0,0,0,12,0,67,0,0,0,0
2017-05-01,0,0,0,15,0,0,0,0,0,0,90,0,15,0,0,0,0,0,3,0,0,0,0,22,0,0,24
2017-06-01,0,0,0,17,2,59,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0
2017-07-01,2,0,10,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12,12,0,0
2017-08-01,2,0,0,15,0,0,4,16,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,21,0
2017-09-01,0,0,0,16,0,0,4,12,0,97,0,0,0,13,0,0,13,0,0,0,0,0,0,23,0,0,0
2017-10-01,4,0,0,15,2,0,0,23,0,92,0,0,16,12,0,0,0,0,3,11,12,0,34,0,0,11,33
2017-11-01,2,0,0,15,2,0,4,22,0,45,0,46,0,11,0,0,0,0,0,0,0,0,33,0,0,11,24
2017-12-01,4,100,0,24,2,0,4,28,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,11,0
2018-01-01,0,0,8,0,4,0,4,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,10,0,10,0
2018-02-01,0,0,0,0,0,0,0,16,0,0,0,44,29,0,0,0,0,11,3,0,0,0,32,21,0,0,35
2018-03-01,0,44,0,29,0,50,0,11,0,0,88,0,15,0,0,0,0,0,0,0,0,0,0,10,10,10,0
2018-04-01,2,0,13,30,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,66,0,0,0,24
2018-05-01,0,0,9,31,2,0,4,11,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,25
2018-06-01,2,0,10,17,2,0,4,12,0,0,0,51,0,0,0,0,0,13,0,0,0,0,37,12,0,12,0
2018-07-01,0,0,0,17,2,57,9,18,0,0,100,0,0,13,67,100,13,0,0,0,0,0,37,0,0,0,0
2018-08-01,2,43,8,0,2,0,0,10,0,0,0,0,0,0,56,0,11,0,4,10,0,0,31,10,10,13,22
2018-09-01,2,0,8,0,2,0,0,15,0,84,0,43,0,11,57,84,11,0,0,10,11,0,31,10,10,10,23
2018-10-01,0,0,12,0,2,0,4,10,0,40,0,0,14,10,0,81,10,0,0,10,0,0,60,14,10,0,21
2018-11-01,3,0,8,0,2,0,0,26,0,85,0,43,0,0,0,0,0,0,0,0,11,0,32,0,0,13,67
2018-12-01,2,0,0,0,0,100,4,11,0,0,0,0,0,11,0,0,12,0,0,0,12,0,0,10,0,0,24
