date,Apple,Apricot,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Corn,Cranberries,Cucumber,Dates,Garlic,Grapes,Greens,Onion,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Squash,Tomato,Turnip,Watermelon
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,18,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,4
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011-09-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
2011-11-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
2012-01-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,8,0,2
2012-05-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2
2012-09-01,12,0,0,17,20,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012-11-01,0,0,0,14,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1
2012-12-01,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,69,0
2013-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,61,0
2013-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,5,0,0
2013-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,58,0
2013-06-01,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0
2013-09-01,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2013-10-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,1
2013-11-01,3,0,0,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,4,0,0,0,0,0,0,1
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2014-01-01,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,64,0,0,0,0,0,0,0,45,1
2014-05-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0
2014-06-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
2014-08-01,4,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
2014-09-01,0,0,0,11,9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,4,0,0,0,0,0,0,0
2014-11-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
2014-12-01,2,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-01-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,2,0,0,12,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1
2015-03-01,2,2,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0
2015-04-01,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-05-01,0,0,0,12,0,0,33,0,0,0,0,0,4,0,0,0,0,0,0,3,0,16,0,0,3,0,1
2015-06-01,0,0,0,6,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2015-07-01,2,0,0,6,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,3,0,0,0,0,0,0,1
2015-08-01,2,2,0,14,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,2,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2015-10-01,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2015-11-01,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2015-12-01,2,0,0,14,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,1,0,0,16,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,4,0,0,0,0,0,0
2016-02-01,2,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,3,0,0,11,0,0,0,57,0,0,11,0,0,0,0,58,0,0,0,0,0,11,0,0,2,0,1
2016-04-01,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,58,0,0,0,0,0,0,3,0,0,0,0
2016-05-01,2,0,0,11,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
2016-06-01,0,0,0,5,5,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,12,0,0,0,0,0
2016-07-01,2,0,0,12,0,0,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,2,0,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2016-11-01,4,1,3,10,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,4,0,0,0,0,0,0
2016-12-01,1,0,0,9,4,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,4,0,0,0,0,0,0
2017-01-01,1,0,0,5,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,2,1,0,8,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0
2017-04-01,3,0,0,7,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2017-05-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2017-06-01,1,1,0,10,5,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,10,0,0,0,0,0
2017-07-01,3,0,0,16,0,0,0,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,0,0,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,31,0,0,0,0,3,0,0,21,0
2017-11-01,0,0,0,6,10,29,0,0,0,0,0,0,3,52,0,0,0,0,0,0,0,0,3,0,2,0,1
2017-12-01,1,1,0,14,5,0,0,0,1,0,11,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0
2018-02-01,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,9,3,0,2,0,0
2018-03-01,0,0,0,7,0,0,0,0,0,0,9,0,0,44,0,0,0,31,0,0,3,9,0,0,2,0,0
2018-04-01,0,0,0,9,0,0,0,0,0,0,0,0,0,43,0,0,0,31,0,0,0,0,0,0,0,0,0
2018-05-01,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0
2018-06-01,1,0,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0
2018-07-01,0,0,0,8,3,0,0,0,0,0,7,0,0,0,0,0,0,24,0,0,0,0,0,29,0,0,0
2018-08-01,3,1,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
2018-09-01,0,0,0,6,0,0,0,0,0,71,0,0,2,0,0,0,0,23,0,1,0,0,2,0,1,0,0
2018-10-01,2,1,0,4,0,0,0,0,0,0,0,2,1,29,0,0,0,0,13,2,0,0,2,0,1,0,0
2018-11-01,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,30,0,20,0,1,0,6,2,0,1,0,0
2018-12-01,1,0,0,9,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
