date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Blackberries,Blueberries,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Leeks,Lemons,Lettuce,Mushrooms,Napa,Onion,Oranges,Parsnip,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Pumpkin,Quince,Raspberries,Rhubarb,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watermelon,Yams,Cassava
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,100,0,0,0,57,0,65,0,100,74,0,62,0,0,29,0,83,0,0,0,35,98,0,35,51,0,0,0,0
2011-02-01,54,0,0,0,0,87,0,0,0,62,0,0,100,67,0,0,0,0,0,78,0,54,0,0,0,0,0,100,0,0,0,0,62,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,38,0,0,0,56,0,0,0,0
2011-03-01,32,0,0,58,59,38,28,0,0,0,0,0,0,59,0,0,0,0,0,0,0,49,0,95,0,0,0,0,0,0,0,0,0,100,64,0,0,0,0,0,0,0,43,0,0,0,0,0,0,48,0,34,0,0,0,0,0
2011-04-01,37,0,0,0,0,89,0,0,0,0,0,100,0,0,0,0,0,62,0,80,0,57,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,72,0,0,34,0,0,0,0,0,0,0,0,41,0,0,0,0,0
2011-05-01,33,0,0,0,0,80,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,63,0,0,29,0,0,0,0,0,35,0,0,0,0,0,0,0,0
2011-06-01,33,100,0,0,40,40,29,0,0,0,0,44,0,0,0,0,0,0,0,71,64,100,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,74,0,0,0,0,44,0,0,0,0,51,0,0,0,35,52,0,0,0,0
2011-07-01,32,0,0,0,0,39,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,28,0,0,0,0,50,0,48,0,0,50,0,0,0,0
2011-08-01,32,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,49,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,61,0,0,0,0,0,0,95,0,0,48,68,34,0,0,0,0,0
2011-09-01,33,0,95,0,0,60,0,0,0,0,0,43,0,62,0,0,0,0,0,0,63,50,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,75,0,0,71,0,58,40,83,0,0,0,0,49,0,0,51,0,0,0,0
2011-10-01,75,0,0,0,0,39,28,0,0,0,72,0,0,0,0,0,0,0,0,0,62,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,73,48,0,0,0,56,39,82,0,0,0,35,96,0,34,0,0,0,0,0
2011-11-01,82,0,94,0,0,40,0,0,0,0,0,0,0,62,49,0,0,0,0,0,62,0,0,0,0,0,0,0,100,0,0,0,57,0,0,0,0,74,0,61,71,0,57,40,0,0,0,0,0,49,0,35,0,100,0,0,0
2011-12-01,35,0,100,0,43,43,0,0,0,61,0,46,0,66,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,50,0,74,0,55,0,0,0,0
2012-01-01,30,0,0,54,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,58,0,53,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,48,0,0,0,0
2012-02-01,31,0,0,0,0,38,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,48,0,95,0,0,0,0,0,0,0,0,54,0,0,0,0,0,46,59,69,0,28,0,0,0,0,74,33,47,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,94,0,0,46,68,0,0,0,0,0,0,0,0,0,0,32,91,0,0,0,0,0,0,0
2012-04-01,60,0,0,54,0,54,0,0,0,0,0,39,0,0,0,0,0,0,0,0,56,46,0,92,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,47,0,0,0,32,47,0,0,0,0
2012-05-01,29,0,0,0,0,0,25,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,44,0,44,0,0,0,51,0,0,0,0,0,0,0,0,32,46,0,43,0,0
2012-06-01,0,0,0,0,0,72,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,46,0,0,0,0
2012-07-01,0,0,83,0,0,35,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,80,0,0,0,0,50,0,0,0,0,65,0,0,0,0,51,0,0,0,0,46,0,0,61,61,0,0,0,0,0
2012-08-01,29,0,0,0,0,35,25,0,0,51,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,55,63,0,38,0,0,0,0,92,0,0,61,0,46,0,0,0,0
2012-09-01,68,0,84,0,0,35,0,100,0,0,0,38,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,66,0,0,63,0,51,0,0,0,0,0,31,44,0,46,68,0,0,0,0
2012-10-01,0,0,0,47,33,54,0,0,0,47,0,0,0,100,40,0,0,0,0,0,0,41,0,0,0,0,0,74,0,0,50,0,0,0,0,0,0,60,0,0,0,0,24,33,0,0,0,42,0,60,0,29,0,0,40,0,0
2012-11-01,27,0,0,0,0,33,0,0,0,0,62,0,38,0,0,0,0,0,0,0,52,0,0,0,81,0,0,0,0,0,0,0,0,0,54,0,0,62,0,0,0,0,24,34,0,0,0,43,0,55,0,43,43,0,0,0,0
2012-12-01,28,0,81,0,0,34,0,0,0,48,0,0,0,0,42,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,48,87,0,0,0,0,82,53,0,74,25,0,0,0,0,44,40,63,0,0,44,0,0,0,0
2013-01-01,24,0,70,43,30,30,21,0,0,85,55,0,0,46,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,77,26,37,0,26,0,0,0,0,0
2013-02-01,87,0,83,0,36,0,0,0,74,100,65,38,0,0,0,0,0,0,0,62,0,0,0,87,0,0,0,0,0,0,0,0,100,0,0,0,0,65,0,0,0,0,38,35,0,0,0,45,31,0,0,61,0,0,0,0,0
2013-03-01,26,0,0,0,32,42,0,0,0,0,0,34,0,0,0,0,0,0,0,57,0,40,0,0,0,0,0,0,0,0,50,0,45,0,0,0,0,59,38,0,0,0,38,0,0,0,0,82,0,78,0,28,40,0,0,0,0
2013-04-01,64,0,0,57,0,39,0,0,0,0,0,0,45,0,0,95,0,0,0,0,0,49,68,97,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,56,0,0,0,0,50,34,0,0,0,100,0,0,0,0
2013-05-01,38,0,0,100,35,34,24,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,100,49,0,0,0,0,0,0,0,0,0,50,0,0,0,0,44,0,42,0,30,0,86,0,0,0
2013-06-01,41,0,81,0,0,100,24,0,0,48,0,36,38,0,83,0,0,0,0,0,0,85,0,85,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,74,48,34,0,0,0,43,0,0,0,29,0,0,0,0,0
2013-07-01,0,0,98,0,0,41,29,0,0,59,0,0,0,0,100,100,0,56,0,0,0,0,0,0,100,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,100,53,0,0,0,0,53,0,100,0,0
2013-08-01,40,0,0,0,48,0,34,0,100,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,100,0,90,58,73,0,0,34,0,100,0,0,61,0,0,0,0,0,0,0,0,0
2013-09-01,42,0,0,0,31,61,0,0,65,0,0,0,0,0,0,0,0,0,0,55,0,39,0,77,0,0,0,0,0,0,0,0,44,0,100,0,0,57,0,47,0,0,22,0,0,0,0,0,0,38,0,0,40,0,0,0,0
2013-10-01,100,0,72,0,31,30,65,0,0,43,0,33,0,47,0,0,0,0,0,0,48,38,0,0,0,0,0,0,0,39,0,0,0,0,0,0,38,0,0,0,0,0,51,30,63,0,0,39,0,100,0,26,59,0,0,0,0
2013-11-01,95,0,74,0,31,31,22,0,0,45,58,0,0,0,0,0,0,43,0,0,0,39,0,0,0,0,54,71,0,0,49,0,45,80,0,0,0,0,0,0,0,0,46,0,0,0,0,40,28,39,0,27,81,0,0,0,0
2013-12-01,26,81,0,0,0,32,23,0,68,0,0,35,0,0,0,0,64,44,0,0,0,40,0,81,0,60,0,0,0,0,0,0,46,0,52,0,0,0,0,0,0,0,47,0,0,0,0,62,47,79,57,28,82,0,0,0,0
2014-01-01,31,0,0,41,28,28,0,0,0,81,0,30,0,44,0,0,56,0,0,0,0,0,0,0,0,0,99,65,0,0,0,0,0,0,45,0,0,0,68,0,0,0,20,0,0,0,0,37,25,46,0,25,0,0,0,0,0
2014-02-01,53,80,0,46,32,32,22,0,0,46,0,0,0,0,0,0,0,43,0,0,100,40,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,0,0,23,0,66,0,0,41,28,80,0,37,42,0,0,0,0
