date,Apple,Apricot,Avocado,Banana,Beans,Broccoli,Cabbage,Celery,Corn,Cucumber,Eggplant,Garlic,Grapefruit,Guava,Kale,Lettuce,Okra,Onion,Peaches,Peas,Pineapple,Pomegranate,Potatoes,Pumpkin,Romaine Lettuce,Squash,Tomato,Watermelon,Yams
2006-07-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
2008-02-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,14,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2009-03-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,13,13,0
2009-09-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
2009-10-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2010-03-01,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,11,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,11,0,0
2010-07-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,12,0
2010-10-01,35,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,0,4,0
2011-02-01,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,3,0
2011-04-01,0,0,0,0,18,0,0,0,0,26,0,0,100,13,0,0,0,0,0,0,32,0,0,0,0,0,0,3,0
2011-05-01,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2011-07-01,0,0,0,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2011-08-01,6,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0
2011-09-01,5,0,0,0,16,0,0,0,100,0,0,0,0,12,0,50,0,0,0,0,0,0,27,0,0,0,0,0,0
2011-10-01,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2011-11-01,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0
2012-02-01,3,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2012-07-01,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2012-08-01,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,15,0,0,49,0,2,0
2012-10-01,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2012-11-01,0,0,0,0,0,100,0,0,0,0,0,4,0,6,0,12,0,0,0,0,14,100,0,0,0,0,3,0,0
2012-12-01,3,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0
2013-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,16,0,0,0,0,0,0,0,0
2013-02-01,3,0,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,98,0,0,0,0,15,0,0,0,0,2,0
2013-03-01,0,0,0,1,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2013-06-01,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,100,0,0,0,0,0,13,0,0,0,0,2,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0
2013-08-01,3,0,0,1,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2013-09-01,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
2013-10-01,0,0,0,3,0,88,0,0,42,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,1,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2013-12-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9,3,0,0,1,0,0
2014-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,1,0
2014-02-01,2,0,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,31,0,1,0
2014-03-01,2,0,0,3,0,0,0,0,0,0,9,0,14,4,0,0,0,0,0,0,9,0,17,0,0,0,1,1,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,1,2,0
2014-05-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,2,0,0,0,1,0
2014-06-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0
2014-07-01,0,0,0,1,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2014-08-01,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014-09-01,2,0,0,0,6,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0
2014-10-01,0,0,1,1,5,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
2014-11-01,2,0,0,1,0,0,62,0,0,0,0,0,0,0,0,8,0,0,0,8,9,0,8,0,100,0,1,2,0
2014-12-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,1,0
2015-01-01,2,0,0,0,0,60,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0
2015-02-01,2,0,0,2,8,0,0,0,0,0,0,0,0,4,0,0,0,57,0,0,0,0,0,3,0,0,1,1,0
2015-03-01,2,0,0,2,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0
2015-04-01,1,0,0,0,4,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-05-01,3,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,46,0,0,7,0,0,0,0,0,1,1,0
2015-06-01,2,0,0,1,5,0,0,0,0,0,0,0,13,0,0,7,0,0,0,15,0,0,8,2,92,0,1,0,0
2015-07-01,1,0,1,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0
2015-08-01,1,0,0,0,0,0,0,0,27,0,7,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0
2015-09-01,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0
2015-10-01,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2,0,23,0,0,0
2015-11-01,0,0,0,1,0,56,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0
2015-12-01,1,0,0,2,4,56,55,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,14,0,0,0,0,1,0
2016-01-01,0,0,0,2,0,0,0,0,22,5,0,0,10,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-02-01,1,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0
2016-03-01,2,0,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-04-01,1,0,0,1,4,0,46,0,0,0,6,2,0,0,0,0,0,40,0,6,6,0,0,0,0,0,1,1,0
2016-05-01,1,48,1,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,6,7,0,6,0,0,0,1,1,0
2016-06-01,0,0,0,1,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,1,0,0,0,4,0,52,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0
2016-08-01,1,0,1,2,4,0,0,0,26,0,0,2,23,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2016-09-01,2,0,0,1,4,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-10-01,1,0,0,1,12,0,0,0,0,0,0,2,11,6,0,0,0,0,88,0,0,0,0,0,0,0,1,1,0
2016-11-01,1,0,0,0,4,0,0,0,0,0,7,0,12,0,0,7,0,0,0,0,7,0,0,0,0,0,1,1,0
2016-12-01,0,0,0,1,4,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,1,0
2017-01-01,2,0,1,1,4,0,50,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0
2017-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
2017-03-01,0,0,0,1,4,52,0,0,0,0,14,0,11,3,0,0,0,0,0,0,0,0,10,0,0,21,0,0,0
2017-04-01,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2017-05-01,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,1,1,0
2017-06-01,2,0,0,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-07-01,1,54,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017-08-01,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1,0
2017-09-01,2,0,0,1,5,0,0,0,0,0,0,0,13,4,0,0,0,0,100,8,0,0,8,2,0,0,1,1,0
2017-10-01,1,0,0,2,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,8,0,7,0,0,0,1,1,0
2017-11-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,7,0,0,0,1,1,0
2017-12-01,1,0,0,1,0,55,0,0,0,0,0,0,12,3,0,7,0,0,0,0,0,0,0,2,0,0,1,1,0
2018-01-01,2,0,0,0,4,0,54,0,0,0,0,0,0,0,49,7,0,0,0,0,8,0,0,0,0,0,0,1,4
2018-02-01,0,0,0,1,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,1,1,0
2018-03-01,1,0,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2018-04-01,2,0,0,1,5,0,0,0,29,7,8,2,0,3,0,0,0,51,0,0,8,0,8,0,0,0,1,1,0
2018-05-01,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0
2018-06-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,0,0,1,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
2018-08-01,2,0,0,1,5,0,0,0,0,7,0,3,0,3,0,0,58,0,0,0,0,0,8,0,0,0,1,0,0
2018-09-01,2,0,0,2,0,0,58,0,0,0,0,0,0,7,52,7,57,0,0,0,0,0,8,2,0,0,0,2,0
2018-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
2018-11-01,2,0,1,1,5,0,0,0,0,7,0,0,0,3,0,0,0,51,0,7,8,0,8,2,0,0,1,0,0
2018-12-01,2,0,1,1,9,0,0,0,0,0,8,0,0,3,0,0,0,0,0,8,0,0,8,2,0,0,0,0,0
