date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Garlic,Grapes,Kale,Lettuce,Mushrooms,Onion,Oranges,Parsnip,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Potatoes,Pumpkin,Rhubarb,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,100,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,79,58,0,0,0,0
2011-02-01,58,0,0,0,59,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,88,64,0,0,0,0
2011-03-01,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,84,0,0,0,0,0
2011-04-01,57,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,50,0,64,0,0,0,100
2011-05-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,85,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,52,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,58,0,0,45,0,0,0,100,0,0
2011-07-01,100,0,0,0,53,0,0,0,0,0,0,0,0,0,0,64,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,68,87
2011-08-01,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,100,0,0,0,0,0,48,87,0,59,0
2011-09-01,58,0,0,0,0,42,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,49,0,100,0,0,48,0,0,0,0
2011-10-01,43,70,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,24,44,0,75,0,0,0,0,59,0
2011-11-01,44,0,0,0,0,0,0,0,0,0,0,0,0,100,0,55,0,100,0,0,63,0,73,0,0,0,0,0,97,74,0,0,0,0,48,0,0,0,0
2011-12-01,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,77,0,0,79,0,0,0,0,0,0,0,70,51,89,0,0,0
2012-01-01,38,0,98,0,39,0,0,100,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,22,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,100,0,0,0,0,0,67,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,68,0,0,0,37,0,0,0,0,44,0,0,0,0
2012-03-01,38,62,0,0,39,0,0,0,0,0,0,0,100,0,0,0,60,0,0,0,0,0,63,0,0,0,0,60,0,21,0,0,33,0,0,0,36,51,0
2012-04-01,38,0,0,0,0,37,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,21,0,0,0,0,43,0,0,0,0
2012-05-01,0,0,0,0,0,0,89,0,0,0,0,0,0,84,0,92,59,0,0,72,0,85,0,0,0,0,0,0,0,0,0,0,33,0,0,0,35,50,0
2012-06-01,36,59,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,43,0,0,0,37,0,0,55,0,0,0,0,62
2012-07-01,0,0,0,0,35,33,0,0,60,0,0,0,0,0,0,0,55,80,33,0,0,0,0,0,0,60,0,0,0,19,0,0,0,0,0,0,0,46,0
2012-08-01,0,0,0,0,35,33,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,81,54,76,32,0,0,0,0,0,0,32,46,0
2012-09-01,52,0,0,33,35,34,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,42,0,0,20,36,79,0,0,0,0,0,95,0
2012-10-01,32,0,0,0,0,31,0,0,54,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,36,100,0,0,0,36,0,30,43,0
2012-11-01,34,0,0,0,33,0,0,0,58,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,59,40,0,0,37,0,0,0,52,36,0,0,0,0
2012-12-01,0,0,0,63,0,32,0,86,0,0,0,0,0,0,0,42,52,0,0,0,0,0,55,0,0,57,0,0,0,28,0,0,29,100,73,0,0,0,0
2013-01-01,43,93,0,0,0,0,0,0,48,0,0,85,0,0,86,36,0,0,27,0,0,0,0,0,0,49,0,0,0,16,0,0,25,44,0,0,27,0,49
2013-02-01,33,0,84,0,68,32,0,87,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,57,0,0,0,28,0,0,0,0,37,0,0,44,0
2013-03-01,29,0,73,28,0,28,0,0,50,0,0,0,0,0,0,36,0,67,0,0,43,0,0,0,0,0,0,0,0,0,0,0,25,0,32,0,28,0,0
2013-04-01,0,0,0,28,30,56,0,0,0,0,0,0,0,65,0,0,0,0,0,56,43,0,0,0,0,0,35,0,0,16,0,0,26,0,0,0,28,59,51
2013-05-01,0,0,0,27,30,28,71,77,51,0,0,86,0,66,0,37,46,0,0,0,0,0,0,0,0,51,0,0,0,16,0,0,52,0,65,0,28,39,0
2013-06-01,29,0,0,0,59,28,70,0,0,0,0,0,0,0,0,36,0,0,0,57,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
2013-07-01,60,66,0,38,0,0,0,0,70,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,70,0,0,0,38,0,0,0,0,45,80,39,55,0
2013-08-01,32,0,81,0,32,0,0,0,0,45,0,0,0,0,0,39,0,0,46,0,0,0,0,0,0,0,0,0,0,18,0,0,28,0,0,0,0,43,55
2013-09-01,64,0,0,26,0,27,0,0,47,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,33,45,0,16,0,0,24,0,92,0,0,0,0
2013-10-01,46,0,0,26,29,27,0,0,0,0,0,0,0,64,0,35,0,0,0,54,0,0,0,0,0,0,0,0,0,0,58,0,0,43,0,0,0,38,0
2013-11-01,85,0,0,0,58,28,0,0,0,41,46,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,16,30,0,0,44,43,0,27,39,0
2013-12-01,29,0,0,0,60,0,0,78,0,42,0,0,0,0,0,37,0,0,28,0,43,0,49,0,0,0,36,0,0,25,0,0,26,67,33,0,28,40,0
2014-01-01,26,0,66,0,40,25,0,0,0,37,0,0,0,0,0,0,41,0,0,0,38,0,43,0,0,45,31,0,0,29,27,0,0,0,29,0,0,35,44
2014-02-01,29,0,0,28,30,28,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,47,0,16,0,0,0,0,33,0,0,39,0
2014-03-01,40,0,0,25,28,26,65,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,30,0,0,24,0,0,0,0,37,0
2014-04-01,54,0,0,0,29,27,0,0,0,0,0,0,0,0,0,35,0,0,27,0,0,63,0,0,0,0,0,0,0,24,28,0,25,0,31,0,0,37,0
2014-05-01,0,0,0,53,0,0,0,72,0,0,0,0,0,62,0,0,0,0,27,54,40,0,0,0,0,47,33,0,62,15,29,0,0,0,0,0,26,56,0
2014-06-01,89,0,76,0,31,0,0,0,0,43,0,0,0,67,0,0,0,0,0,0,0,0,0,87,0,0,36,48,67,28,0,0,0,0,0,0,0,40,51
2014-07-01,40,44,0,0,0,26,0,0,46,39,0,0,0,62,0,34,44,0,77,0,60,0,46,0,0,48,33,44,0,38,28,0,24,0,30,0,39,72,0
2014-08-01,52,0,0,25,0,25,0,0,0,0,0,0,0,0,0,50,43,0,26,0,0,0,0,0,50,0,64,0,58,15,0,0,23,0,30,0,37,36,0
2014-09-01,0,0,0,0,28,26,64,0,0,0,0,0,0,0,0,33,0,0,0,53,40,0,0,0,0,0,0,0,0,45,0,0,0,40,30,0,0,0,0
2014-10-01,26,0,0,25,0,25,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,44,46,0,35,0,59,0,25,71,0
2014-11-01,54,0,0,51,28,26,0,0,46,0,0,0,0,0,0,34,0,62,0,0,0,0,0,0,0,47,32,0,0,45,28,0,24,0,30,0,26,0,0
2014-12-01,28,0,0,0,29,0,0,75,0,0,0,0,0,0,0,0,0,65,0,55,0,0,0,0,0,0,0,0,0,16,29,0,0,65,32,0,41,58,49
2015-01-01,24,0,63,23,50,0,0,65,42,35,0,0,65,0,0,41,0,0,0,0,36,0,0,0,0,42,0,40,0,14,25,0,43,0,41,0,39,0,42
2015-02-01,28,0,73,27,29,27,0,75,0,40,0,0,0,0,87,35,0,0,0,55,0,0,0,0,0,0,0,0,0,37,29,0,25,0,47,0,27,39,0
2015-03-01,0,45,70,0,28,40,0,0,0,0,0,0,0,0,0,0,44,0,27,0,0,0,0,0,0,95,100,0,0,16,0,0,24,42,31,0,35,0,47
2015-04-01,45,0,0,0,0,29,0,0,51,87,48,0,0,0,0,0,0,68,29,0,44,70,0,0,0,0,36,0,0,25,0,0,0,0,0,59,57,61,52
2015-05-01,0,100,77,0,0,0,0,0,52,44,0,0,0,69,0,0,0,0,0,0,0,0,51,0,57,0,0,0,0,17,0,0,0,0,0,0,0,42,0
2015-06-01,0,0,0,0,32,30,0,0,53,0,0,0,0,72,0,0,0,0,60,61,0,0,0,0,0,54,0,0,0,35,0,0,27,0,35,0,0,83,0
2015-07-01,0,48,0,0,0,42,0,0,100,0,0,0,0,0,0,72,46,0,27,0,42,0,0,0,0,51,35,47,66,22,0,0,0,44,96,0,28,40,51
2015-08-01,43,0,0,0,30,84,0,0,0,0,0,86,0,67,0,36,93,0,0,0,0,0,0,0,55,0,0,0,66,16,0,0,0,0,33,0,28,40,0
2015-09-01,61,50,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,57,53,37,100,0,35,0,0,0,0,52,0,0,42,53
2015-10-01,92,0,0,0,0,30,75,81,0,44,0,0,0,0,0,38,0,0,0,61,45,0,0,0,58,53,37,0,0,34,85,0,0,0,34,0,0,42,0
2015-11-01,59,49,0,0,30,0,0,77,0,42,0,0,79,0,0,37,0,0,0,0,0,0,49,0,0,0,0,47,0,28,31,0,26,0,66,0,0,39,0
2015-12-01,32,0,82,30,49,0,0,84,55,46,0,0,86,73,0,80,0,0,0,63,47,0,0,0,0,56,39,51,0,18,34,0,29,98,36,0,46,0,0
2016-01-01,31,52,0,30,32,61,0,0,0,0,0,0,0,72,0,40,0,72,30,0,46,0,53,0,0,55,0,51,0,30,0,0,28,48,35,0,30,43,0
2016-02-01,0,0,87,0,35,0,83,0,0,0,0,0,0,0,0,0,55,0,33,0,51,0,59,0,0,60,42,0,0,29,0,0,0,0,77,68,33,47,0
2016-03-01,31,0,0,0,33,92,77,84,0,0,50,0,0,0,0,79,0,0,30,0,0,0,0,0,0,0,38,0,0,18,0,0,28,0,35,0,30,64,0
2016-04-01,50,0,0,32,0,32,80,0,57,48,0,100,0,0,0,0,0,0,0,0,98,0,56,0,0,58,0,0,0,0,0,76,29,0,0,0,0,45,58
2016-05-01,32,0,82,31,100,31,0,86,55,0,0,0,0,0,100,0,0,0,31,63,48,0,0,0,0,0,0,0,0,18,0,0,0,0,0,64,31,89,56
2016-06-01,48,52,79,0,64,41,0,0,54,0,0,0,0,0,0,0,0,0,0,0,47,73,0,0,0,0,0,0,0,18,0,74,0,0,36,0,0,43,55
2016-07-01,34,57,0,0,0,33,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,29,0,80,0,0,39,68,66,47,60
2016-08-01,35,0,0,33,36,34,0,0,0,0,0,0,0,80,0,43,0,79,0,0,51,0,0,0,0,0,0,0,0,20,36,80,41,0,39,0,0,0,60
2016-09-01,35,0,0,34,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,66,0,43,0,80,50,0,0,0,0,0,70,0,0,62
2016-10-01,96,59,93,0,55,0,0,0,63,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,69,0,43,58,81,34,63,0,0,56,61,0,35,100,0
2016-11-01,53,0,92,0,55,34,0,0,0,51,0,0,0,0,0,44,0,0,35,0,0,0,0,0,0,62,43,58,0,33,36,0,0,0,0,0,0,49,0
2016-12-01,38,0,0,36,0,0,0,0,0,55,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,88,43,0,0,0,66
2017-01-01,34,0,86,0,35,66,82,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,19,0,0,0,52,0,0,32,0,0
2017-02-01,76,0,0,36,0,55,0,99,0,0,0,0,0,86,0,0,0,0,37,0,0,0,0,0,0,0,46,61,0,43,0,0,100,58,84,0,37,0,0
2017-03-01,35,58,0,33,36,34,84,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,62,0,0,0,30,0,0,0,0,39,69,0,48,0
2017-04-01,37,0,94,0,39,36,0,98,65,53,0,0,0,0,0,0,0,0,36,74,55,0,0,0,0,66,0,0,0,21,0,0,33,56,0,0,0,68,0
2017-05-01,0,0,88,65,35,33,0,0,59,0,0,0,0,77,0,43,0,78,33,0,50,0,0,0,0,60,0,0,0,19,0,0,0,0,0,0,49,70,0
2017-06-01,0,0,90,33,0,34,0,0,0,0,0,0,94,0,0,44,0,0,0,0,52,0,0,0,0,62,0,57,0,100,0,0,0,0,39,0,34,48,61
2017-07-01,34,0,0,32,0,33,82,0,0,49,0,0,0,78,0,0,0,0,0,67,100,0,0,0,0,0,0,0,0,29,0,0,30,0,0,0,0,93,59
2017-08-01,45,0,0,32,34,32,81,0,0,0,0,0,0,77,0,0,0,0,32,0,49,0,0,0,63,0,0,0,76,38,35,0,30,0,75,0,32,92,0
2017-09-01,49,0,0,31,34,0,79,0,0,0,53,98,0,0,0,0,0,0,32,0,49,0,55,0,62,0,40,53,0,19,0,0,29,0,62,65,47,45,57
2017-10-01,32,0,0,0,33,93,0,85,55,0,0,0,0,0,0,40,0,0,0,0,0,0,54,0,0,0,0,0,0,27,44,0,0,0,60,0,31,66,0
2017-11-01,29,0,75,0,0,28,72,79,0,0,0,0,0,68,0,75,0,0,0,0,0,0,49,0,0,0,36,48,0,25,31,0,53,0,44,0,0,40,52
2017-12-01,42,0,0,0,0,30,75,0,0,45,0,0,83,0,0,0,100,0,0,0,0,0,0,0,0,0,0,51,0,47,0,0,0,72,35,0,59,0,0
2018-01-01,0,0,0,26,0,40,100,73,48,40,0,0,0,0,0,0,0,0,0,54,0,0,47,0,0,48,33,89,0,31,29,0,0,0,61,54,53,38,0
2018-02-01,32,0,80,30,32,0,0,83,0,46,100,0,0,73,0,40,50,0,30,0,0,72,0,91,0,54,38,0,0,24,0,0,56,0,0,0,30,42,55
2018-03-01,28,0,74,0,30,28,68,77,0,42,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,34,45,0,25,0,0,26,0,65,0,27,0,0
