date,Apple,Avocado,Banana,Beans,Broccoli,Cauliflower,Corn,Cranberries,Cucumber,Garlic,Lettuce,Onion,Peas,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Tomato,Watermelon
2014-01-01,39,0,0,0,0,0,0,0,0,0,0,83,0,0,31,36,0,31,48,0,0
2014-02-01,0,82,40,52,0,0,0,0,0,0,0,0,49,0,0,0,0,35,0,0,0
2014-03-01,38,0,34,0,0,70,0,0,0,44,0,0,43,70,30,34,0,0,0,0,61
2014-04-01,0,0,40,0,0,0,68,0,0,0,0,0,0,0,34,0,0,0,54,47,0
2014-05-01,43,0,39,51,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,67
2014-06-01,49,0,0,58,87,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,53,81,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,54,81,0,0,0,36,0,91,0,0,85,0,0,0,0,0,0,73
2014-09-01,0,0,86,56,84,0,0,0,0,0,0,0,53,0,36,0,0,0,0,0,0
2014-10-01,47,0,64,0,82,0,0,0,0,0,93,0,0,0,0,42,0,0,0,0,0
2014-11-01,0,0,41,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,83,42,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,73
2015-01-01,0,0,76,48,0,0,0,0,0,0,0,0,0,75,0,0,0,66,51,44,0
2015-02-01,0,0,0,52,0,0,0,0,35,0,0,0,0,0,35,0,0,0,0,0,70
2015-03-01,0,0,76,0,0,0,0,0,0,48,81,0,0,76,32,0,0,66,100,0,0
2015-04-01,0,0,0,0,78,0,0,0,0,0,0,0,0,83,36,0,0,0,0,50,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,70
2015-06-01,0,0,40,0,78,0,0,0,34,0,0,0,0,0,34,0,0,0,54,47,0
2015-07-01,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
2015-08-01,43,0,39,49,74,0,66,92,0,0,0,0,0,0,0,0,0,33,0,0,68
2015-09-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,36,0,0,71,0,0,0
2015-10-01,0,75,37,46,0,73,0,86,31,0,0,0,0,75,31,0,0,0,0,58,0
2015-11-01,0,0,78,50,0,0,0,0,34,0,0,0,48,0,33,39,0,0,52,0,0
2015-12-01,42,0,40,100,0,0,0,0,0,0,0,0,0,78,0,0,85,35,0,47,68
2016-01-01,59,0,36,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,49,0,0
2016-02-01,41,0,37,0,73,0,0,89,32,0,81,0,0,0,63,0,0,32,51,0,0
2016-03-01,39,0,35,0,68,0,0,85,0,0,0,82,0,0,0,0,0,30,0,41,61
2016-04-01,45,0,0,53,0,0,0,0,0,52,0,0,0,83,35,0,0,35,55,0,71
2016-05-01,42,0,39,98,0,0,0,0,0,48,0,87,0,0,32,0,0,33,0,46,0
2016-06-01,83,79,38,49,75,0,0,0,0,0,0,0,46,79,33,0,0,33,0,0,0
2016-07-01,0,0,40,52,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,48,0
2016-08-01,46,0,41,0,79,0,0,0,36,0,0,0,0,85,0,0,0,0,0,0,0
2016-09-01,0,0,0,55,83,0,0,0,0,0,0,0,0,88,0,0,0,37,0,0,0
2016-10-01,0,0,0,0,0,0,0,0,0,51,0,0,50,0,35,0,0,35,56,0,71
2016-11-01,0,0,78,0,75,0,0,0,34,0,0,0,0,0,100,0,0,0,0,0,68
2016-12-01,42,0,39,0,0,0,0,0,0,96,82,0,0,0,0,0,0,0,0,45,0
2017-01-01,37,0,34,0,64,0,0,0,0,43,73,0,0,0,0,0,0,29,46,0,0
2017-02-01,0,0,37,0,72,0,0,0,0,0,82,0,0,0,0,37,0,0,0,0,64
2017-03-01,0,0,33,43,0,0,0,0,0,0,0,0,0,0,0,100,0,0,90,0,59
2017-04-01,0,0,0,47,0,0,62,0,0,0,0,0,0,0,31,0,0,32,49,0,0
2017-05-01,0,0,0,48,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2017-06-01,0,78,0,49,0,0,0,0,33,0,84,87,0,0,0,0,0,0,0,45,0
2017-07-01,0,0,0,51,0,0,67,0,0,0,0,0,0,80,34,0,0,34,0,0,69
2017-08-01,0,77,38,0,74,0,0,0,33,0,0,88,0,0,32,0,0,0,0,0,65
2017-09-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,50,0,0,0,0,0,100
2017-12-01,58,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,72,100,0,0,0,0,0,0,36,0,0,37,0,100,0
2018-02-01,100,0,0,0,87,0,0,0,0,57,0,0,0,93,0,0,0,0,0,53,0
2018-03-01,0,0,42,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0
2018-04-01,49,91,44,0,84,0,0,0,39,0,0,100,0,0,0,0,0,38,0,52,78
2018-05-01,0,80,40,0,0,0,0,0,0,0,0,0,0,81,0,40,0,0,54,0,0
2018-06-01,0,0,0,50,76,0,0,0,0,100,0,0,0,80,0,0,0,0,0,48,0
2018-07-01,46,0,0,0,0,0,0,0,0,0,0,0,51,84,0,0,0,0,0,0,0
2018-08-01,0,80,0,52,0,0,0,0,0,100,0,0,0,82,0,0,0,35,0,0,0
2018-09-01,0,81,40,0,76,0,0,0,0,0,86,0,0,0,33,0,0,0,0,0,0
2018-10-01,0,0,61,52,0,0,0,0,0,0,0,0,100,0,0,40,0,35,0,0,0
2018-11-01,86,0,39,50,76,0,67,0,0,0,84,0,0,0,0,0,84,0,0,0,0
2018-12-01,0,0,40,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0
