date,Apple,Apricot,Avocado,Banana,Beans,Cabbage,Corn,Cranberries,Cucumber,Dates,Garlic,Grapes,Kale,Onion,Peaches,Peas,Pineapple,Pomegranate,Potatoes,Pumpkin,Strawberries,Tomato,Watermelon
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,21,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
2010-03-01,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,19,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,0
2011-02-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,5,0,100,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,100,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,16
2012-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2012-06-01,2,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
2012-08-01,2,0,0,2,0,0,0,0,0,0,100,11,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2012-12-01,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2013-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2013-06-01,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2013-07-01,2,0,0,2,0,0,0,0,0,0,85,9,0,0,0,0,0,0,3,0,0,0,6
2013-08-01,3,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,6
2013-09-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,6
2013-10-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2013-12-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2014-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
2014-02-01,0,0,0,1,0,0,0,0,0,0,0,0,91,0,0,0,80,0,0,8,0,0,0
2014-03-01,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,4,5
2014-04-01,3,0,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,5
2014-05-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,2,0,0,0,0
2014-06-01,2,0,68,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,100,0,5
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,2,0,0,0,0,0,0,73,8,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,2,0,0,0,0,0,100,0,0,0,74,0,100,0,0,0,0,0,3,0,0,0,0
2014-10-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,2,0,0,3,0,0,0,0,98,0,0,0,0,0,0,0,0,86,0,0,0,0,0
2015-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2015-02-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,90,0,3,0,0,0,6
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,3,0,0,2,0,0,0,0,0,100,0,8,0,0,0,0,0,0,0,8,0,5,0
2015-05-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2015-06-01,2,0,0,2,0,0,0,0,0,0,80,0,0,60,0,48,0,0,0,0,0,0,6
2015-07-01,2,0,0,0,0,0,0,0,0,0,76,8,0,0,0,0,0,98,0,0,0,0,0
2015-08-01,2,0,0,2,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,8,0,0,0
2015-09-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2015-10-01,3,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,3,8,0,0,0
2015-11-01,3,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2015-12-01,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,45,0,0,0,0,0,0,0
2016-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91,4,0
2016-02-01,1,0,0,1,0,58,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0
2016-03-01,1,86,0,1,5,0,0,0,0,0,0,0,0,43,0,34,0,0,0,6,0,4,4
2016-04-01,0,91,0,1,5,0,0,0,0,0,0,0,0,0,0,35,67,0,2,7,0,0,4
2016-05-01,0,0,0,1,5,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,81,0,0,0,0,0,5
2016-07-01,0,0,0,1,0,0,84,0,0,0,0,0,0,0,0,37,71,0,0,0,0,0,5
2016-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2016-09-01,0,0,0,4,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,4,5
2016-10-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
2016-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0
2016-12-01,3,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0
2017-01-01,2,0,70,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,2,0,0,84,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5
2017-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,0,0,0,1,0,54,0,0,0,0,0,0,77,0,0,0,0,0,0,0,88,0,0
2017-05-01,0,96,0,2,6,0,0,100,0,0,0,0,0,0,0,0,0,0,2,0,0,4,7
2017-06-01,0,0,0,1,0,0,0,0,100,0,68,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,1,0,0,2,0,0,0,0,0,82,0,7,0,0,0,0,0,0,2,0,0,4,0
2017-08-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2017-09-01,1,0,0,1,6,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,2,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2017-11-01,2,0,0,0,12,0,0,0,0,0,0,0,0,100,0,0,0,0,5,0,0,8,0
2017-12-01,2,0,0,2,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,7,98,0,0
2018-01-01,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2018-02-01,0,0,69,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,5
2018-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,77,0,7,0,4,4
2018-04-01,0,0,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2018-05-01,2,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2018-06-01,0,99,65,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,5
2018-07-01,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0
2018-08-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5
2018-09-01,1,0,63,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4
2018-11-01,1,0,64,1,6,58,0,0,0,83,0,0,0,0,100,0,0,81,0,0,94,0,0
2018-12-01,1,0,0,4,0,0,0,0,0,0,61,0,0,0,0,0,70,0,0,7,0,4,0
