date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carambola,Corn,Cranberries,Cucumber,Garlic,Greens,Guava,Kale,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Squash,Tomato,Watermelon
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,100,0,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0
2011-04-01,30,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
2011-08-01,0,0,4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0
2011-09-01,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,63,0
2011-11-01,0,100,7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,21,0,5,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0
2012-03-01,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2012-04-01,18,0,5,10,0,0,0,0,0,0,0,0,0,75,0,66,0,0,0,0,0,0,0
2012-05-01,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,62,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,91,0
2012-07-01,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,15,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2012-10-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,64,0,0,34,0
2012-12-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14
2013-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2013-02-01,0,0,4,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,1,0,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
2013-06-01,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2013-08-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2013-09-01,8,32,5,0,0,0,12,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
2013-11-01,8,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0
2013-12-01,0,0,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,8,0,3,4,0,0,6,32,0,54,0,0,0,0,0,0,0,2,45,0,0,0,10
2014-02-01,9,37,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,8,32,1,4,31,0,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,23,9
2014-04-01,8,0,7,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2014-05-01,8,31,3,0,0,0,6,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,9
2014-06-01,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,29,0,8
2014-07-01,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,0,26,0,7
2014-08-01,0,0,2,0,32,0,0,30,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0
2014-09-01,0,0,3,4,0,0,6,0,0,0,0,0,28,0,0,0,0,0,0,0,31,0,0
2014-10-01,14,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8
2014-11-01,8,0,3,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,22,0
2014-12-01,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2015-01-01,0,0,22,0,0,0,0,0,0,0,0,0,27,0,0,28,0,0,41,0,0,0,0
2015-02-01,17,0,12,5,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,29,0,0
2015-04-01,7,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0
2015-05-01,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2015-06-01,7,0,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8
2015-07-01,7,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,36,1,27,0,0
2015-08-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,27,0,8
2015-09-01,7,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,32,0,36,0,27,0,8
2015-10-01,0,0,2,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2015-11-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,9
2016-01-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016-02-01,0,0,5,4,0,0,0,0,0,0,37,0,0,0,0,0,0,0,42,0,31,0,0
2016-03-01,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2016-04-01,0,0,6,4,0,0,0,0,0,0,0,100,25,0,0,0,0,0,0,0,0,20,0
2016-05-01,7,0,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0
2016-06-01,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-07-01,0,0,4,0,0,0,5,26,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
2016-08-01,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-09-01,7,27,3,0,0,0,5,0,0,0,0,0,0,0,0,0,32,0,36,1,0,0,8
2016-10-01,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,0,0
2016-11-01,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
2016-12-01,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0
2017-02-01,0,32,6,4,0,0,6,0,0,0,38,0,0,0,0,0,0,2,0,0,0,0,0
2017-03-01,15,61,8,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,30,22,0
2017-04-01,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
2017-05-01,0,31,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2017-06-01,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,8,31,2,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,1,0,22,9
2017-08-01,7,30,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2017-09-01,0,32,7,4,0,0,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,23,9
2017-10-01,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9
2017-11-01,8,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2017-12-01,8,0,6,0,0,0,0,0,0,0,39,0,29,0,0,0,0,0,0,0,0,24,0
2018-01-01,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-02-01,9,0,7,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9
2018-04-01,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2018-05-01,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,7,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0
2018-07-01,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17
2018-08-01,0,29,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0
2018-09-01,0,0,8,0,0,0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,8
2018-10-01,7,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-11-01,0,0,8,4,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0,22,0
2018-12-01,0,0,8,8,0,0,0,0,0,0,36,0,0,0,0,0,0,2,41,0,0,0,9
