date,Apple,Avocado,Banana,Beans,Corn,Cucumber,Dates,Garlic,Onion,Pineapple,Pumpkin,Tomato
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,100,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,88,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,100,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,100,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,36,0,0,0,0,0,0,0,0,0
2011-03-01,100,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,33,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,100,0,0,0
2011-07-01,0,0,0,0,0,100,0,0,0,0,0,100
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,94
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,4,0,0,28,0,0,0,0,0,0
2012-11-01,14,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,6,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,100,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,3,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,2,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,4,0,14,0,0,0,0,0,0
2013-12-01,0,0,0,4,0,0,0,0,0,0,0,13
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,7,0,2,0,0,0,0,0,0,0,0,0
2014-05-01,7,100,2,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,5,0,0,0,0,0,0,0,4,0,0,0
2014-09-01,5,0,0,0,0,0,0,0,0,3,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,5,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,2,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,3,0,0
2015-03-01,0,0,2,0,0,0,0,0,0,0,0,0
2015-04-01,7,0,2,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,6,84,2,0,53,0,0,0,0,3,0,0
2015-07-01,0,0,0,2,0,0,0,0,0,0,0,0
2015-08-01,0,0,1,2,0,7,0,0,0,0,0,0
2015-09-01,0,0,1,2,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,89,0
2015-11-01,0,0,2,3,0,10,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,5,0,2,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,9,0,0,0,2,0,0
2016-05-01,5,0,1,2,0,0,100,0,0,2,0,0
2016-06-01,4,0,1,0,0,0,0,0,0,4,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,2,0,0
2016-09-01,0,0,1,0,40,9,0,0,0,0,0,0
2016-10-01,0,0,3,0,0,0,0,0,4,2,0,0
2016-11-01,5,0,1,3,0,9,0,0,0,0,0,9
2016-12-01,5,69,1,0,0,0,0,0,0,0,0,0
2017-01-01,4,0,0,2,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,3,0,0,0,0,0,0,0,10
2017-03-01,0,0,1,0,0,0,0,0,0,0,0,0
2017-04-01,0,70,0,0,0,0,0,0,0,0,0,0
2017-05-01,0,0,1,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,1,0,0,0,0,0,0,0,0,0
2017-07-01,0,63,1,0,0,0,0,0,0,0,0,0
2017-08-01,0,0,1,0,0,8,0,0,0,0,0,0
2017-09-01,5,0,3,0,0,0,0,0,0,0,0,0
2017-10-01,0,67,1,0,41,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,4,0,1,0,0,0,0,0,4,2,79,0
2018-02-01,5,0,0,0,0,0,0,0,4,0,94,9
2018-03-01,0,71,1,0,0,0,0,0,0,2,0,0
2018-04-01,0,0,2,0,0,10,0,0,0,0,0,0
2018-05-01,5,75,2,0,0,0,0,100,0,3,100,0
2018-06-01,7,0,0,3,43,0,0,0,0,0,0,0
2018-07-01,5,0,0,0,0,9,0,0,0,0,0,0
2018-08-01,0,0,0,2,0,0,0,81,0,0,0,0
2018-09-01,0,0,1,2,0,0,0,0,0,2,0,9
2018-10-01,0,0,0,2,0,0,0,0,0,0,0,0
2018-11-01,5,0,2,3,0,9,0,0,0,0,0,0
2018-12-01,0,0,2,0,0,0,0,0,0,0,0,0
