date,Apple,Avocado,Banana,Beans,Cabbage,Corn,Cucumber,Pineapple,Pumpkin,Tomato
2009-08-01,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,39,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,100,0
2010-12-01,0,0,0,0,0,0,0,100,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,100,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,100
2011-08-01,0,0,22,0,0,0,0,0,69,0
2011-09-01,0,0,24,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0
2012-01-01,14,0,24,0,0,0,0,0,0,0
2012-02-01,0,89,23,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,69,0
2012-10-01,11,71,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,17,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,15,0,0,0,0,0,0,0
2013-07-01,0,0,12,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0
2013-09-01,7,0,0,0,0,0,0,0,0,51
2013-10-01,7,0,0,0,0,0,0,0,0,50
2013-11-01,8,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,52,0,0,0,0,0,0,0,0
2014-02-01,0,0,15,0,0,100,0,0,0,0
2014-03-01,0,0,11,0,0,0,0,0,0,0
2014-04-01,0,42,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0
2014-06-01,6,39,0,0,0,0,0,0,0,0
2014-07-01,0,0,9,0,0,0,0,0,0,0
2014-08-01,10,0,9,100,0,0,0,0,0,0
2014-09-01,0,0,0,0,0,0,0,0,0,0
2014-10-01,0,29,8,0,0,0,0,0,0,0
2014-11-01,0,0,9,0,0,0,0,22,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,100,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,38,0,0,0,0
2015-05-01,0,19,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,29
2015-08-01,0,0,7,0,0,0,0,0,0,0
2015-09-01,4,0,6,0,0,0,0,0,0,28
2015-10-01,0,0,0,0,0,0,67,0,0,29
2015-11-01,0,0,8,0,0,0,0,0,0,0
2015-12-01,0,0,8,0,0,0,0,0,0,0
2016-01-01,0,0,0,78,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,0
2016-03-01,0,0,11,0,0,0,0,0,17,0
2016-04-01,0,0,5,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,17,0
2016-06-01,0,20,0,0,0,0,0,0,0,0
2016-07-01,0,0,6,0,0,0,0,0,0,25
2016-08-01,3,0,6,0,0,0,0,0,0,0
2016-09-01,0,0,6,0,0,0,59,0,0,0
2016-10-01,0,0,0,0,0,0,56,0,0,0
2016-11-01,0,0,6,0,0,0,0,0,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,6,0,0,42,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,20,5,0,0,0,0,0,16,22
2017-04-01,3,21,5,0,0,0,54,0,0,0
2017-05-01,0,0,5,0,0,0,0,0,16,0
2017-06-01,0,23,6,0,0,0,0,0,0,25
2017-07-01,0,0,6,0,0,0,59,15,0,0
2017-08-01,0,0,0,0,0,0,0,0,0,0
2017-09-01,4,0,13,0,12,0,0,0,0,27
2017-10-01,0,0,10,0,0,0,0,0,0,27
2017-11-01,0,0,0,0,13,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,75,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,0,0
2018-02-01,0,26,0,0,0,0,0,0,0,0
2018-03-01,3,46,6,0,0,0,0,0,19,0
2018-04-01,0,0,7,0,0,0,0,0,0,29
2018-05-01,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,26,7,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,12,0,0,0,0,28
2018-08-01,0,0,7,0,0,0,0,0,0,0
2018-09-01,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,77,0,0,0,17,0,29
2018-11-01,5,0,8,0,0,0,0,0,0,0
2018-12-01,0,0,9,0,0,0,0,0,0,0
