date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Blueberries,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Kale,Lemons,Lettuce,Lychee,Mulberries,Mushrooms,Napa,Okra,Onion,Oranges,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams,Cassava
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,49,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,60,0,0,0,0,0,0,38,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,26,0,0,0,0,0,73,0,0
2009-10-01,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,28,0,45,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,26,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,24,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,31,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,34,0,0,0
2010-12-01,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,41,0,0,0
2011-01-01,0,0,0,10,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,29,0,0,18,0,0,0
2011-02-01,0,0,0,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
2011-03-01,0,0,0,0,7,24,0,0,0,0,0,0,8,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,8,100,0,0,0,0,20,0,0,0,0,0,0,0,8,100,0,0,23,0,0,9,0,0,0,0,0,0,14,0,0,0,0,0
2011-05-01,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0,0,0,8,0,0,14,19,0,0,0,0
2011-06-01,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,0,0,19,0,21,0,0
2011-07-01,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,7,0,11,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,19,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0
2011-10-01,0,0,0,5,0,8,0,0,0,0,0,0,5,0,94,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,14,0,0,0,0,0,0
2011-11-01,6,0,0,10,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,5,12,0,0
2011-12-01,10,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,3,0,0,0,8,4,0,0,0
2012-01-01,4,0,0,3,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,3,0,0,7,0,0,0,0,100,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0
2012-02-01,0,0,0,3,4,7,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,7,0,0,0,0
2012-03-01,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,100,7,0,0,0,0,3,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,3,8,0,0,0,5,7,0,0
2012-04-01,4,0,0,3,2,4,0,0,10,7,0,0,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,8,0,6,3,0,0,0
2012-05-01,5,0,0,4,3,4,0,0,0,0,66,0,0,0,52,0,0,88,0,7,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,7,4,0,0,94,0,0,3,0,0,0,8,0,7,0,0
2012-06-01,4,0,0,3,4,7,0,82,10,7,0,0,0,0,0,0,0,0,57,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,4,0,7,96,3,0,3,0,0,0,6,5,0,0,0
2012-07-01,4,0,0,0,2,4,0,0,0,7,0,100,0,0,52,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,3,94,3,0,2,0,0,4,6,0,0,100,0
2012-08-01,0,0,0,4,2,6,0,77,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,0,5,0,0,0
2012-09-01,13,0,0,0,4,6,0,0,9,7,0,0,3,0,0,0,6,81,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,6,0,0,6,0,2,0,0,0,7,4,0,6,0,92,0
2012-10-01,3,96,0,2,2,5,0,65,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,4,0,0,3,2,0,0,0,5,6,11,0,0
2012-11-01,7,0,0,2,3,4,0,0,0,6,0,92,0,0,48,0,0,0,0,0,0,2,0,0,6,0,0,6,0,0,3,0,0,3,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
2012-12-01,3,0,0,0,3,10,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,30,0,0,0,0,0,100,0,3,0,6,0,3,0,0,0,0,7,4,0,9,0,2,0,2,0,8,0,0,5,6,0,0
2013-01-01,3,100,0,2,4,5,0,0,0,6,0,0,2,0,0,0,6,74,0,6,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,9,3,0,5,0,0,0,2,6,7,0,5,4,0,0,0
2013-02-01,3,0,0,0,3,7,0,0,9,7,0,0,3,0,97,0,6,0,52,0,0,0,0,0,6,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,84,3,0,0,3,2,7,0,0,0,2,0,0,0
2013-03-01,3,0,0,2,2,7,0,0,8,0,0,0,0,0,42,0,0,0,0,0,29,2,0,0,5,0,0,5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,5,5,5,0,0
2013-04-01,6,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,46,5,0,0,26,0,0,0,0,5,0,0,2,0,0,0,3,0,26,0,0,6,3,0,7,0,0,0,3,0,13,4,0,2,6,0,0
2013-05-01,3,0,0,3,3,11,0,0,11,5,0,0,0,0,0,0,0,0,0,10,0,0,48,5,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,3,0,4,0,0,0,0,0,0,0,9,2,5,0,0
2013-06-01,7,0,0,4,3,6,0,0,8,0,50,0,0,0,40,0,0,0,0,0,28,2,49,0,0,0,0,0,0,0,2,0,0,0,2,0,24,11,0,5,3,0,9,0,2,0,6,0,6,3,0,2,5,0,0
2013-07-01,5,0,0,4,3,6,0,0,0,5,0,0,0,0,37,0,5,0,0,5,0,2,22,9,4,0,0,5,0,0,2,0,0,3,3,4,0,0,0,10,3,0,8,67,2,2,4,5,6,3,4,4,0,0,0
2013-08-01,5,77,0,2,3,10,0,0,6,5,0,0,0,0,34,0,4,0,0,0,0,0,21,0,0,0,0,4,0,0,4,0,0,0,2,0,20,6,0,5,0,0,7,0,2,0,2,0,0,6,8,3,4,0,0
2013-09-01,4,0,0,2,3,5,0,55,7,5,0,69,0,0,36,0,0,0,38,5,0,0,0,0,0,55,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,3,0,6,0,4,3,0,0,0
2013-10-01,2,0,0,2,3,3,0,54,0,0,0,0,0,0,0,0,0,0,0,4,0,2,21,0,0,0,0,4,0,0,2,0,0,3,2,2,0,0,0,5,0,0,6,0,0,4,3,0,0,0,4,3,5,0,0
2013-11-01,4,90,0,2,3,3,0,0,0,0,0,0,4,100,0,0,5,0,0,0,27,0,0,5,5,0,0,0,80,64,0,0,0,3,2,0,0,7,0,0,3,0,27,0,0,2,2,6,0,3,0,2,5,0,0
2013-12-01,6,0,65,0,4,3,0,0,8,0,0,0,2,0,40,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,5,3,0,29,0,0,0,0,0,0,0,0,3,5,0,0
2014-01-01,2,0,0,2,3,6,0,0,13,0,0,0,2,0,35,0,0,0,0,0,0,0,0,0,4,0,7,4,73,0,3,0,0,0,2,0,0,0,0,5,3,61,42,0,2,2,3,0,0,3,4,2,5,0,0
2014-02-01,0,0,0,0,3,5,0,0,0,5,0,0,0,0,100,0,0,0,0,5,0,0,0,0,9,0,8,0,81,0,2,0,0,0,5,0,0,7,0,0,3,69,25,0,0,0,2,0,6,3,5,2,0,0,0
2014-03-01,5,84,0,2,1,5,0,0,0,5,0,0,2,0,37,0,10,0,0,5,0,2,0,4,10,0,7,0,0,0,2,0,0,3,7,0,0,7,3,0,0,0,26,0,2,0,2,5,6,3,4,7,5,0,0
2014-04-01,3,0,0,3,3,5,0,0,7,5,0,0,2,0,0,0,5,0,0,10,27,2,0,5,5,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,2,0,0,6,0,5,4,5,0,0
2014-05-01,4,0,0,2,4,3,0,62,0,5,0,0,0,0,41,0,0,0,0,5,0,3,25,5,9,0,0,5,83,0,2,0,0,0,2,0,24,7,0,5,0,0,6,0,2,0,4,0,6,0,10,4,0,0,0
2014-06-01,7,0,0,2,4,3,77,0,0,0,0,0,0,0,62,0,0,0,0,7,0,0,0,0,0,64,0,8,0,0,2,0,0,3,2,2,0,0,0,6,0,0,15,0,0,3,2,6,13,0,5,3,5,0,0
