date,Apple,Avocado,Banana,Beans,Broccoli,Corn,Cranberries,Cucumber,Garlic,Greens,Guava,Kale,Onion,Oranges,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Raisins,Squash,Tomato,Cassava
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
2009-01-01,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,100,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,81,0,0,0,0,0
2012-03-01,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,6,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,100,0,0,0,0,0
2012-05-01,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,11,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2012-10-01,0,0,7,5,0,0,0,0,63,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
2013-01-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2013-02-01,37,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,4,0,0,0,0,0,0,0,63,0,0,0,0,100,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2013-09-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100
2013-10-01,0,0,3,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2014-03-01,0,6,3,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0
2014-04-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2014-06-01,0,0,0,2,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,3,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,0,0,3,0,0,0,0,0,0,43,0,0,3,0,0,0,0,19,0,0,0,0,0
2014-10-01,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2014-11-01,0,0,3,0,0,100,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
2014-12-01,16,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
2015-01-01,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-03-01,0,0,0,2,82,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
2015-04-01,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,12,0,2,0,72,0,0,0,0,0,27,0,0,0,0,0,2,0,0,12,0,1,0
2015-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,2,2,1,67,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
2015-08-01,11,0,2,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2015-11-01,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,81,0,0
2015-12-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,99,2,0
2016-01-01,15,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,80,0,0
2016-02-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,0,0,0,0,0
2016-03-01,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,16,0,3,2,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,17,0,0,0
2016-08-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,2,2,0,0,0,0,80,13,0,0,0,0,0,0,0,0,11,0,0,49,0,0
2016-10-01,8,0,1,0,0,0,0,48,12,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2016-11-01,0,0,2,1,0,0,0,48,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-01,0,0,0,0,53,0,0,51,0,0,0,0,0,0,0,0,0,0,36,9,0,1,0
2017-01-01,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0
2017-02-01,0,0,2,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-03-01,0,0,2,2,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,0,0,0,0
2017-04-01,0,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2017-05-01,0,0,1,1,46,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,9,0,0,0,0,0,0,50,12,0,0,0,0,0,0,0,0,0,0,9,0,1,0
2017-07-01,9,0,1,0,53,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,0,4,1,0,0,0,45,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2017-09-01,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0
2017-10-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
2017-11-01,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0
2017-12-01,8,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,1,0
2018-01-01,8,0,1,1,48,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
2018-03-01,7,1,1,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2018-04-01,7,0,1,1,0,0,0,0,0,0,15,0,1,21,0,0,0,0,0,0,0,1,0
2018-05-01,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,11,0,1,0,0,0,0,42,0,0,0,0,0,23,0,0,0,0,0,0,40,1,0
2018-07-01,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
2018-08-01,7,1,1,1,0,0,0,0,10,18,0,0,0,21,0,24,0,8,0,0,0,1,0
2018-09-01,0,2,2,1,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0
2018-10-01,6,0,2,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0
2018-11-01,0,0,2,0,0,0,0,37,0,0,0,0,1,20,0,0,1,8,0,0,0,1,0
2018-12-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
