date,Apple,Banana,Beans,Broccoli,Corn,Cranberries,Dates,Guava,Kale,Limes,Oranges,Passion Fruit,Peas,Peppers,Pineapple,Potatoes,Prunes,Pumpkin,Raisins,Rutabaga,Squash,Tomato,Yams
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,48,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,96,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,15,0,0,0,0,0,0,0,0,21,31,0,0,0,0,0,0,0,0,0,30,0
2011-02-01,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,29,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
2011-05-01,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,39,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2011-08-01,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,12,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,55,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
2012-09-01,0,30,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,21,0,0,0,0,100,0,0,0,0,0,22,0,0,100,0,0,0,0,0,0,0,0
2013-02-01,0,22,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,9,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
2013-04-01,30,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,100,0,100,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,19,14,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,10,0,0,0,92,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,20,10,0,0,0,0,0,0,0,0,14,20,0,0,0,20,0,0,12,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,9,0,0,0,0,0,0,0,0,14,0,0,0,92,0,16,0,12,0,0,0,0
2013-12-01,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,17,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,0,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,12,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2014-04-01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,20,19,0,0,0,0,0,0,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,19,0,0,0,0,93,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2014-10-01,15,14,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
2014-12-01,0,7,0,0,0,0,0,0,0,0,10,14,0,0,66,0,0,0,8,0,0,0,0
2015-01-01,0,9,0,0,0,0,0,0,0,0,0,0,0,100,0,13,0,0,0,0,100,13,0
2015-02-01,0,14,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,0,0,0,0
2015-03-01,0,6,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,13,7,0,0,0,0,0,0,0,0,9,14,0,0,0,13,0,0,0,0,0,0,0
2015-05-01,0,10,0,0,0,0,0,0,67,45,0,13,0,0,0,0,0,0,8,0,0,0,77
2015-06-01,0,0,0,0,0,0,0,0,71,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,16,0,0,0,0,0,0,0
2015-08-01,0,11,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2015-10-01,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0
2015-11-01,17,17,0,0,0,0,0,0,0,0,12,17,0,0,0,17,14,0,0,0,0,0,0
2015-12-01,0,13,0,0,0,0,0,0,0,0,0,17,0,0,0,0,14,0,10,100,0,0,0
2016-01-01,0,8,0,0,0,0,0,0,0,0,12,17,0,0,78,32,0,0,0,0,0,0,0
2016-02-01,0,8,0,0,0,0,0,0,0,0,0,17,0,0,82,0,0,58,11,0,0,0,0
2016-03-01,0,8,0,0,0,0,0,0,0,0,11,0,0,0,74,16,0,0,0,0,0,0,0
2016-04-01,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0
2016-05-01,16,0,0,0,0,0,0,18,0,56,0,17,0,0,77,16,0,0,10,0,0,16,0
2016-06-01,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,18,0,0,0,0,0,0,0,37,0,0,0,0,15,0,0,0,0,18,0
2016-08-01,19,19,0,0,0,0,0,0,0,0,0,20,0,0,91,0,0,0,0,0,0,0,0
2016-09-01,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,65,0,0,0,0,0
2016-11-01,0,0,0,0,0,0,0,0,95,0,0,19,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,9,20,37,0,0,0,20,0,0,0,0,0,0,85,18,15,0,0,0,0,0,0
2017-01-01,17,8,0,0,0,0,0,0,85,0,0,17,0,0,0,0,13,0,10,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,25,0,0,0,0,0,0,0,0,12,33,0,0,0,0,0,56,10,0,0,0,0
2017-04-01,0,9,0,18,0,83,0,0,89,0,0,0,0,0,83,0,0,0,0,0,0,0,0
2017-05-01,18,17,0,0,0,0,0,19,0,0,0,35,0,0,0,0,14,0,10,0,0,0,0
2017-06-01,0,0,0,0,0,86,0,20,93,0,13,19,0,0,86,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,13,19,0,0,87,0,15,0,0,0,0,0,0
2017-08-01,18,9,0,0,0,0,0,0,0,0,13,0,0,0,83,0,0,59,11,0,0,0,0
2017-09-01,0,0,19,0,0,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,0
2017-10-01,17,0,0,0,0,81,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,100
2017-11-01,17,0,0,0,0,0,0,0,0,0,0,17,0,0,78,0,0,0,0,0,0,0,0
2017-12-01,0,8,37,0,0,82,0,0,0,0,0,35,0,0,81,0,0,0,0,0,0,0,0
2018-01-01,0,12,0,0,0,0,0,17,0,0,0,16,0,0,0,15,0,52,0,91,0,0,0
2018-02-01,17,17,0,0,0,0,0,19,0,0,12,0,0,0,82,0,0,0,0,0,0,0,0
2018-03-01,0,8,0,0,0,74,0,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,8,18,0,100,0,0,0,83,0,0,0,56,0,0,16,0,0,0,0,0,0,0
2018-05-01,0,8,0,0,0,0,0,0,81,0,0,16,0,0,76,16,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,80,0,0,0,0,0,45,0,0,80,0,0,0,0,0,0,0,0
2018-07-01,17,8,0,0,0,77,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,0,8,0,0,0,79,0,0,85,0,0,0,0,0,79,0,0,0,10,0,0,0,0
2018-09-01,0,12,0,0,0,0,0,0,0,0,0,17,0,0,79,0,0,0,0,0,0,0,0
2018-10-01,18,17,0,18,0,0,0,0,0,0,0,18,0,0,82,0,0,0,0,0,0,0,0
2018-11-01,27,17,0,0,0,0,0,0,91,0,0,18,0,0,0,18,15,0,0,0,0,0,0
2018-12-01,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
