date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carambola,Cauliflower,Chayote,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Guava,Jicama,Kale,Lettuce,Malanga,Mangos,Mushrooms,Napa,Okra,Onion,Papayas,Passion Fruit,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Spinach,Squash,Tomato,Watermelon,Yams
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2009-03-01,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,23,0,0,0,0,0,0,0,0,0,100,69,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,41,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0
2011-03-01,6,0,6,11,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,6,0,100,0,0,0,0,0,0
2011-04-01,0,0,7,13,0,0,0,0,0,100,0,0,0,0,0,0,0,28,0,0,0,0,0,100,0,0,100,12,0,0,0,0,0,0,100,0,0,34,0,0
2011-05-01,0,0,7,11,0,0,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,96,0,0,0,0,0,0
2011-08-01,0,0,6,0,0,0,15,0,0,0,0,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,87,0,0,6,13,0,0
2011-09-01,11,0,5,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,4,0,0,0,0,0,0,0,0,62,0,13,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,71,0,0,0,0,11,0,0,0,0,0,71,0,0,0,0,0
2011-12-01,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,93,0,0,0,0,0,0
2012-01-01,5,0,5,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,82,0,67,0,0,0,0
2012-02-01,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,22,0,0,0,0,79,0,0,0,0,0,0
2012-03-01,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0
2012-04-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100,19,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,79,0,0,0,0,0,0
2012-05-01,0,0,5,0,0,0,0,0,0,0,0,14,0,20,0,0,0,18,0,0,0,0,0,0,0,0,64,0,10,0,0,0,0,73,64,0,5,11,0,0
2012-06-01,0,0,5,0,0,0,0,0,13,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,63,0,5,11,0,0
2012-08-01,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,83,0,0,0,0,0,60,0,0,0,57,0,5,0,0,0,5,0,0,0
2012-09-01,4,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0
2012-10-01,4,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,4,0,93,0,52,4,0,98,0
2012-11-01,4,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,63,55,0,0,0,100,0
2012-12-01,4,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,59,0,0,0,0,0
2013-01-01,4,0,4,0,0,0,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,93,0
2013-02-01,8,0,6,7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0
2013-03-01,4,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,3,0,0,6,12,0,0,0,18,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,78,0
2013-05-01,12,0,5,5,0,0,16,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0,0,0
2013-06-01,5,3,6,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,5,0,0,0,0,4,0,0,39,3,7,0,0
2013-07-01,3,0,4,0,10,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,5,6,0,0,0,0,45,0,0,3,7,0,0
2013-08-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,69,0,0,3,0,0,0,0,0,0,0,37,0,0,0,38,0,3,0,0,0
2013-09-01,3,0,5,0,0,0,8,95,8,0,0,0,0,0,0,0,56,0,0,0,0,0,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,3,0,3,0,0,0,0,0,0,36,0,8,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,0,0,0,0,0
2013-11-01,6,3,5,5,0,73,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,93,37,0,0,43,0,0,3,0,0,0
2013-12-01,5,0,6,5,0,0,8,100,0,0,0,0,0,19,0,0,0,0,11,0,0,0,0,0,0,0,41,0,6,100,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,4,0,10,0,7,0,0,0,0,0,0,0,0,2,0,0,0,100,0,0,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,9,0,0
2014-02-01,3,0,4,7,10,74,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,10,0,0,0,0,39,0,6,0,0,3,0,44,0,0,0,7,0,0
2014-03-01,0,5,4,4,0,0,0,0,7,65,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,0
2014-04-01,0,3,3,0,0,0,0,85,0,0,0,8,0,0,0,0,0,0,9,0,0,0,3,0,0,0,35,0,0,86,0,0,0,40,35,33,0,12,63,0
2014-05-01,2,0,4,0,9,0,0,0,0,34,11,0,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,39,34,0,3,0,0,0
2014-06-01,3,0,3,5,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0
2014-07-01,3,0,6,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0
2014-08-01,0,3,5,0,0,0,7,0,7,70,0,0,0,0,100,2,0,0,9,0,49,9,0,0,0,0,0,0,5,0,0,0,0,39,0,33,3,6,63,0
2014-09-01,3,0,6,0,0,0,0,0,7,0,0,8,0,0,0,2,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,3,6,0,0
2014-10-01,2,0,0,4,0,61,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,37,32,0,0,0,0,0
2014-11-01,0,3,3,0,0,0,0,0,11,0,11,7,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,5,0,0,0,0,39,0,0,0,6,0,0
2014-12-01,5,0,8,9,10,0,0,0,8,37,0,8,0,0,0,2,53,0,0,0,52,10,0,0,0,0,0,0,6,0,0,0,0,42,0,0,0,6,0,0
2015-01-01,2,0,6,0,0,65,0,0,0,34,0,0,0,0,0,0,48,0,9,0,48,0,0,0,0,0,0,0,5,0,0,0,0,0,34,0,0,0,0,0
2015-02-01,3,0,5,4,0,0,0,0,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,33,0,0,0,0,0,3,0,0,0
2015-03-01,0,0,7,4,0,0,0,0,10,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72,0,0,0,11,0,0
2015-04-01,5,0,6,0,0,0,0,78,10,0,10,0,0,0,92,2,0,0,8,0,0,9,0,0,100,0,32,0,10,0,0,0,0,0,32,0,5,0,58,0
2015-05-01,2,0,6,0,0,0,6,0,6,0,9,0,0,0,0,0,0,0,0,0,42,8,3,0,0,0,0,0,5,0,0,0,0,34,0,0,2,0,0,0
2015-06-01,2,2,4,4,0,0,0,0,6,0,0,0,100,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,57,0
2015-07-01,4,0,7,0,8,0,6,0,6,0,0,7,0,0,0,2,0,8,8,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,2,2,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,53,0
2015-09-01,4,0,6,0,8,0,0,0,6,0,0,0,0,0,0,2,0,8,8,0,0,0,0,30,0,0,0,4,5,0,29,0,0,0,0,29,0,5,0,0
2015-10-01,4,0,7,4,0,0,6,0,6,0,0,6,0,0,0,2,0,0,0,0,82,0,0,0,0,0,29,4,0,0,0,0,0,33,0,0,2,5,79,0
2015-11-01,2,0,6,4,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,35,0,29,0,0,0,0
2015-12-01,2,0,7,0,0,0,0,0,7,0,10,7,0,0,0,0,0,0,0,59,47,0,0,0,0,0,0,0,5,0,0,0,0,0,33,0,5,6,60,4
2016-01-01,2,2,10,0,8,0,9,0,0,29,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,2,0,9,0,0,0,5,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,3,32,0,0,2,0,0,0
2016-03-01,2,2,3,0,0,0,0,0,0,26,0,6,0,0,0,0,0,0,7,47,0,0,5,0,0,0,26,0,0,0,0,2,2,31,0,25,0,4,48,0
2016-04-01,4,0,6,3,0,0,5,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,83,0,0,4,0,0,0,0,59,0,0,0,4,47,0
2016-05-01,3,0,7,0,0,50,5,0,0,0,8,6,0,0,0,0,0,0,0,0,36,0,2,0,0,0,26,3,4,0,0,0,2,0,0,0,0,4,47,0
2016-06-01,2,2,5,0,0,0,5,0,5,27,0,0,0,0,0,2,0,0,0,0,0,7,2,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0
2016-07-01,2,2,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,3,28,0,0,28,0,4,0,0,2,0,31,0,0,4,5,50,0
2016-08-01,2,2,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,3,4,0,0,0,2,32,0,0,2,0,50,0
2016-09-01,2,0,6,4,8,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,33,29,28,3,5,53,0
2016-10-01,2,0,7,0,7,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,50,3
2016-11-01,2,0,6,7,0,0,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,0,0
2016-12-01,0,2,5,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,29,0,0,34,0,0,0,0,0,0
2017-01-01,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,50,0,7,0,0,0,0,0,0,4,0,0,0,0,32,0,27,2,0,51,0
2017-02-01,2,0,6,4,7,0,0,0,6,0,0,0,0,9,0,4,0,0,7,0,0,7,3,28,0,0,0,0,9,0,27,0,3,48,0,0,2,5,0,0
2017-03-01,4,0,6,3,7,0,0,0,0,0,0,0,0,8,0,0,0,7,6,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,25,0,0,0,44,0
2017-04-01,3,0,4,3,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0
2017-05-01,0,0,6,3,7,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,68,27,0,0,31,0,0,0,0,0,0
2017-06-01,2,2,5,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,5,30,0,0,59,4,5,0,28,2,0,34,0,0,0,0,0,0
2017-07-01,2,0,7,12,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,31,29,0,0,0,0
2017-08-01,0,2,5,7,0,0,0,0,0,0,0,6,87,0,0,0,0,15,0,0,0,7,2,0,0,0,0,0,4,0,0,0,2,30,0,0,0,0,49,0
2017-09-01,2,0,5,7,8,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,41,0,3,0,0,0,0,0,0,0,0,0,3,33,0,0,2,0,53,0
2017-10-01,2,0,5,0,14,0,5,65,6,27,0,0,0,0,0,0,0,7,7,0,0,0,2,0,0,0,0,3,4,0,0,0,5,0,0,0,2,0,0,0
2017-11-01,2,0,4,4,8,56,6,0,6,0,0,0,0,0,0,2,0,8,0,52,0,0,0,0,0,0,0,0,4,0,0,0,0,33,29,27,0,5,0,0
2017-12-01,2,2,6,12,0,0,0,0,6,0,0,7,0,0,0,2,0,9,0,56,45,0,3,0,0,0,0,0,7,0,30,0,0,0,32,30,2,5,0,4
