date,Apple,Apricot,Avocado,Banana,Beans,Broccoli,Cabbage,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Figs,Garlic,Grapes,Kale,Lettuce,Mushrooms,Onion,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Strawberries,Tomato,Watermelon
2008-03-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,14,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
2008-07-01,12,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,100
2008-09-01,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,14,0
2008-10-01,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,10,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,11,0
2009-04-01,0,65,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,68,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2009-09-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,8,0,0,0,46,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,0,0,0,0,0,0
2009-11-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,82
2009-12-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,46,0,0,0,0,0,0,0
2010-01-01,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,8,0,0,0,47,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,0,0,44,51,0,0,0,0,0,0
2010-04-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,32,38,0,0,0,0,0,0
2010-08-01,6,0,98,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,58
2010-09-01,6,0,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,59
2010-10-01,0,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,66,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2011-02-01,4,0,0,5,0,0,0,0,0,0,0,44,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,22,0,0,13,0,0,0
2011-04-01,4,0,0,0,21,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
2011-05-01,4,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,60,0,0,0,0,21,25,34,0,0,0,5,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,27,0,0,0,0
2011-07-01,4,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,25,0,0,0,34
2011-08-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,5,0
2011-09-01,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,21,0,0,0,30
2011-10-01,3,22,0,4,18,0,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
2011-11-01,3,0,53,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
2011-12-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,13,0,0,0
2012-01-01,3,0,51,4,19,4,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,29
2012-02-01,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,0,0,0,0,0,0
2012-03-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,19,0,0,22,0,0,0,0
2012-04-01,0,0,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,16,0,0,0,0,95,0,0
2012-05-01,0,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2012-06-01,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,17,0,0,0,0,100,4,28
2012-07-01,3,37,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,4,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,30
2012-10-01,3,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2012-11-01,3,0,47,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,28
2012-12-01,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2013-03-01,2,0,0,4,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2013-04-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0
2013-06-01,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2013-07-01,2,0,0,4,13,0,0,0,0,0,0,26,0,0,0,0,0,0,20,0,45,0,0,0,0,0,0,0,0,0,0,15,0,0,3,32
2013-08-01,2,0,34,3,26,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,20
2013-09-01,3,0,0,5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,13,0,0,0,0,0,0,0
2013-11-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
2013-12-01,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,40,0,0,0,0,0,17,0,0,0,0,0,23
2014-01-01,0,0,0,0,13,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
2014-02-01,0,0,0,3,14,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2014-03-01,4,0,0,5,0,0,0,20,0,0,0,23,0,0,0,0,0,0,0,0,40,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
2014-04-01,2,0,0,5,12,2,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2014-05-01,2,0,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
2014-06-01,2,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19
2014-08-01,2,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,0,0,0,0,0,0,0,0,0,0,0,17
2014-09-01,2,0,0,0,0,2,0,0,0,0,0,0,0,16,0,45,2,0,0,0,36,0,0,0,100,0,0,0,0,0,0,12,0,0,2,0
2014-10-01,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,12,0,0,0,0,2,0
2014-11-01,4,14,31,0,0,0,17,19,0,0,0,22,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,3,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,4,0,31,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
2015-02-01,2,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2015-03-01,0,0,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
2015-04-01,2,0,0,5,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
2015-05-01,2,0,0,3,11,0,0,0,13,0,0,0,100,16,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,7,0,0,0
2015-06-01,0,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,17
2015-07-01,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-08-01,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
2015-09-01,2,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,25,0,0,0,0,9,0,0,0,0,0,2,14
2015-10-01,1,0,0,3,0,0,0,0,10,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0
2015-11-01,2,0,0,3,0,0,0,0,0,64,0,0,0,0,0,40,0,0,0,0,0,0,0,26,0,3,19,0,9,11,0,0,0,0,0,0
2015-12-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,9,0,0,10,0,0,0,14
2016-01-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8,31,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0
2016-02-01,0,0,0,3,7,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12
2016-03-01,0,0,0,2,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2016-04-01,1,0,0,1,7,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0
2016-06-01,1,0,0,1,0,0,0,0,0,0,0,0,62,0,0,28,1,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,0,1,21
2016-07-01,2,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
2016-08-01,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,10
2016-09-01,1,0,0,2,0,0,0,0,0,44,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
2016-10-01,0,0,17,3,7,0,0,0,0,44,0,12,0,10,0,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,1,0,20,1,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,4,0,0,0,3,14,0,0,0,0,0,0,0,2,0
2016-12-01,2,0,18,2,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,13,0,0,0,0,0,0,0,0,10
2017-02-01,1,0,20,2,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,17,0,0,3,14,0,0,0,0,0,0,0,2,0
2017-03-01,3,0,0,1,6,1,0,11,0,0,0,0,58,10,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,36,0,0
2017-04-01,1,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,12,0,6,0,0,7,0,0,0,10
2017-05-01,1,0,0,2,0,1,0,0,0,42,0,0,0,0,7,0,0,0,9,0,0,0,0,17,0,2,0,0,0,0,0,7,0,0,0,20
2017-06-01,0,0,0,3,0,0,0,0,0,45,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,8,4,0,0,0
2017-07-01,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
2017-08-01,2,0,17,2,13,0,0,0,0,42,0,0,0,0,0,0,0,0,9,0,0,0,0,17,0,0,0,1,6,0,0,0,0,0,0,15
2017-09-01,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,40,0,11
2017-10-01,1,0,0,2,0,1,0,0,0,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2017-11-01,1,0,18,2,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,19,0,0,13,0,0,0,0,0,0,39,0,0
2017-12-01,0,0,17,1,0,0,9,0,0,42,0,12,0,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,6,7,0,0,0,0,1,0
2018-01-01,1,0,0,1,0,0,0,0,0,0,28,12,0,0,0,26,0,0,0,0,21,0,0,0,0,4,0,0,6,0,0,7,4,0,1,10
2018-02-01,2,0,18,2,7,0,0,0,0,0,0,13,0,20,0,28,0,0,10,0,0,0,0,0,0,0,13,0,6,0,0,0,0,0,1,0
2018-03-01,2,0,0,2,6,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0
2018-04-01,3,0,0,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,35,0,10
2018-05-01,1,8,0,4,6,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,21,0,0,0,0,2,12,0,12,7,0,0,0,0,0,0
2018-06-01,1,7,0,2,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,4,34,0,14
2018-07-01,2,0,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,10
2018-08-01,1,0,16,2,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,19
2018-09-01,1,0,0,3,6,0,0,0,0,0,0,12,0,9,0,0,0,84,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,10
2018-10-01,1,7,0,2,8,1,9,0,0,0,0,12,0,9,0,0,0,43,9,0,0,0,14,17,0,2,0,0,0,14,0,0,0,0,0,10
2018-11-01,1,0,17,3,7,0,0,0,0,44,0,13,0,10,0,0,1,45,10,1,22,0,14,0,0,0,13,1,0,7,0,0,0,0,1,10
2018-12-01,2,0,0,3,0,0,10,11,0,0,0,0,0,10,7,0,1,0,0,0,22,0,0,17,0,0,0,0,12,0,0,0,0,0,0,10
