date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Blackberries,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Garlic,Grapefruit,Grapes,Greens,Kale,Leeks,Lemons,Lettuce,Mushrooms,Onion,Oranges,Parsnip,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Pumpkin,Rhubarb,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Turnip,Watermelon
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,49,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,100,0,0,75,0,0,0,0,0,0,0,52,0,39,0,51,0,0,0
2011-02-01,53,0,100,0,0,72,0,78,0,80,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,64,79,0,0,0,0,0,0,43,0,55,0,78,100
2011-03-01,50,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
2011-04-01,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
2011-05-01,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,72,0,0,0,40,0,0,0,0,0,0,0,49,0,0
2011-06-01,97,0,0,0,49,65,0,0,0,72,0,0,0,0,100,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,59,0,0,0,0,0,51,0,0,0,0,0,73,0
2011-07-01,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,58,0,0,0,0,85,0,0,39,77,0,0,0,45
2011-08-01,48,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,57,0,0,40,0,0,0,0,38,0,50,49,0,0
2011-09-01,73,0,0,0,48,0,0,71,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,86,0,0,39,0,0,0,0,0
2011-10-01,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,41,0,0,51,0,0,0,51,0,0,0
2011-11-01,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,51,0,0,0,86,0,0,0,100,0,0,35,43,0,0,43,34,0,0,43,62,0
2011-12-01,43,0,0,0,43,0,0,0,66,64,51,100,0,0,0,0,0,63,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,89,34,0,45,44,63,0
2012-01-01,0,0,0,0,37,100,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,76,0,0,0,56,0,0,0,62,0,0,39,0,30,0,0,0,0,0
2012-02-01,41,0,0,60,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,33,0,0,84,0,0
2012-03-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,68,0,0,100,0,0,0,42,0,0,0,0,0,0,47,0,0,100,0,0,0,0,32,0,0,41,0,0
2012-04-01,41,0,51,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,34,0,72,43,42,0,0,0,0,60,0
2012-05-01,39,81,0,0,38,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,49,0,0,0,0,31,0,41,40,0,36
2012-06-01,0,0,0,0,0,0,0,55,0,0,44,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,32,0,0,0,0,0,0,0,0,56,0
2012-07-01,38,0,48,56,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,59,0,0,0,100,48,40,0,0,0,31,60,0,39,0,0
2012-08-01,58,0,0,0,38,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,47,0,0,0,0,0,59,58,0,0,0,49,0,0,0,0,31,0,0,60,0,0
2012-09-01,39,0,0,0,38,51,0,0,0,59,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,61,0,46,56,0,32,0,0,0,0,32,0,40,40,0,0
2012-10-01,72,75,0,0,71,48,0,0,0,54,0,0,0,0,0,58,0,53,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,61,75,0,0,0,29,0,0,37,54,0
2012-11-01,36,0,0,52,36,0,0,53,55,54,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,100,0,0,100,55,0,0,0,0,45,0,0,38,0,0,0,38,0,0,0
2012-12-01,36,0,0,0,36,0,0,0,55,54,0,0,0,0,0,0,0,0,0,0,0,98,0,0,36,0,39,0,74,0,0,0,0,0,0,0,30,0,0,0,56,29,0,0,0,0,0
2013-01-01,32,0,39,46,62,84,0,0,0,71,0,72,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,64,0,0,0,0,38,46,0,35,0,0,33,32,50,0,0,32,0,0
2013-02-01,56,0,0,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,38,30,0,39,0,0,0
2013-03-01,33,0,0,49,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,68,0,0,0,0,0,0,0,28,0,0,35,0,0,0,0,0,49,31
2013-04-01,34,0,0,0,33,0,0,49,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,33,0,36,0,0,0,0,0,0,41,0,0,28,35,0,35,0,0,0,0,34,0,31
2013-05-01,33,0,41,0,33,44,0,48,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,32,0,0,92,0,0,0,51,100,40,0,0,37,0,0,0,0,0,0,0,100,0,31
2013-06-01,51,0,0,0,67,0,0,0,0,0,40,0,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,57,0,0,35,0,27,53,35,0,0,0
2013-07-01,46,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,48,0,0,0,0,70,0,0,0,0,77,0,0,48,0,0,73,0,47,68,0
2013-08-01,77,0,0,0,38,0,0,56,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,58,0,0,0,0,64,0,0,0,0,0,0,0,77,0,70
2013-09-01,56,69,42,49,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,51,0,80,0,86,0,35,0,0,0,0,0,0,34,0,31
2013-10-01,32,0,40,0,32,0,0,47,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,35,0,0,0,0,0,48,39,0,84,27,68,0,0,0,26,0,34,33,48,0
2013-11-01,79,0,0,0,67,0,0,0,52,0,0,0,0,99,0,55,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,57,35,0,35,35,0,0,0,0,50,31
2013-12-01,34,0,0,0,0,0,0,49,51,100,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,87,70,0,0,0,86,27,53,0,0,100,0
2014-01-01,60,0,0,44,30,40,0,0,0,0,0,69,0,0,0,0,0,44,0,0,0,0,0,91,0,36,0,0,0,0,0,0,45,0,0,0,42,0,0,31,31,24,0,0,46,0,0
2014-02-01,34,0,0,0,33,0,0,0,0,0,0,78,0,0,0,55,0,50,0,0,0,0,87,0,0,0,0,94,0,0,0,0,0,0,50,0,43,0,59,35,0,27,0,35,52,0,0
2014-03-01,31,0,0,0,46,42,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,39,0,0,33,32,0,0,33,0,0,0
2014-04-01,50,0,0,49,83,0,0,49,51,0,39,0,0,0,0,0,0,49,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,37,0,0,35,0,27,0,0,34,0,0
2014-05-01,32,0,40,0,0,0,0,0,49,0,0,0,0,0,0,52,0,0,0,55,0,0,82,0,0,0,0,0,0,0,0,0,0,38,0,0,81,0,0,45,0,26,0,34,0,0,0
2014-06-01,0,0,64,0,34,45,0,0,0,0,0,0,0,0,0,55,0,0,0,58,0,0,0,0,33,41,36,0,0,0,0,0,51,0,0,0,28,0,60,0,0,0,55,36,36,50,0
2014-07-01,66,0,0,48,0,0,0,49,51,0,39,0,100,0,0,54,0,49,0,0,0,0,0,0,0,40,0,0,0,0,0,51,50,39,0,0,42,35,58,35,0,26,52,35,68,49,0
2014-08-01,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,52,93,0,0,0,0,86,0,0,31,39,34,0,0,0,88,49,48,0,47,0,36,0,0,33,0,0,0,33,33,0,30
2014-09-01,54,0,0,47,64,0,100,47,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,54,34,0,68,0,26,0,0,0,0,0
2014-10-01,46,0,0,44,60,41,0,0,0,0,0,0,46,0,0,0,0,46,0,0,0,0,0,95,0,0,0,0,0,0,0,0,46,0,0,0,0,86,0,33,0,75,0,63,32,46,29
2014-11-01,43,0,0,47,64,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,65,0,0,0,0,0,0,0,27,0,0,34,33,51,51,0,0,0,0
2014-12-01,33,0,0,0,48,43,0,48,0,0,76,0,0,0,0,53,0,48,0,0,0,0,0,0,0,0,35,0,0,0,0,0,49,0,0,0,45,34,57,0,100,0,0,34,33,48,0
2015-01-01,29,0,0,42,57,58,0,42,0,86,33,0,0,0,0,0,0,42,0,0,87,77,0,0,0,0,31,0,59,0,0,0,0,34,0,0,72,0,0,0,0,46,0,0,0,0,0
2015-02-01,33,0,41,48,32,88,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,88,83,0,32,0,0,91,0,0,0,0,0,39,0,0,27,0,0,0,0,53,0,0,0,0,30
2015-03-01,29,0,36,0,29,77,0,42,0,0,34,0,0,0,0,0,0,0,0,50,88,78,0,89,0,0,31,81,59,0,0,0,44,34,0,0,36,30,0,30,30,23,0,60,59,43,27
2015-04-01,31,0,0,0,30,40,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,93,29,0,48,0,0,0,0,0,45,0,0,0,34,0,0,32,0,48,0,0,31,45,0
2015-05-01,28,58,0,42,0,38,0,42,43,0,67,0,43,0,0,0,0,42,58,0,86,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,24,0,50,30,0,46,45,29,29,42,0
2015-06-01,29,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,28,0,31,0,0,0,0,0,0,0,42,0,48,0,0,30,0,23,0,0,29,0,27
2015-07-01,28,0,0,0,28,38,0,62,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,87,0,0,0,0,0,0,78,43,0,0,0,0,39,29,100,0,0,22,45,30,29,0,26
2015-08-01,88,0,0,43,0,78,0,43,0,0,34,0,44,0,0,0,0,0,0,51,89,0,0,0,29,0,31,0,0,0,0,0,0,0,43,0,37,31,0,31,30,23,46,46,30,0,27
2015-09-01,68,0,0,0,0,58,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,0,43,0,33,0,52,0,0,47,0,30,0,43,27
2015-10-01,70,0,35,0,0,38,0,0,0,42,0,0,0,0,0,46,82,41,0,0,0,0,0,0,27,0,0,0,57,0,0,0,42,33,0,0,47,49,0,29,0,22,44,29,29,84,26
2015-11-01,38,0,0,41,28,0,0,0,0,43,0,0,0,0,0,46,0,0,0,49,0,76,0,0,0,0,0,0,58,0,0,44,0,34,42,0,40,49,0,30,0,57,45,44,44,0,0
2015-12-01,30,0,0,44,29,40,0,43,45,0,35,0,0,0,0,49,0,0,0,0,0,81,76,0,0,0,32,0,0,0,0,0,0,0,0,0,67,31,0,31,31,0,0,0,30,0,0
2016-01-01,39,61,0,43,0,0,0,43,0,0,0,0,0,0,0,0,0,43,0,0,0,0,75,0,29,0,0,0,60,0,82,0,0,0,0,76,83,0,0,31,30,23,0,46,0,0,28
