date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Corn,Cucumber,Dates,Eggplant,Garlic,Grapes,Greens,Guava,Lettuce,Mangos,Mushrooms,Napa,Okra,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Spinach,Squash,Sweet Potato,Tomato,Watermelon,Cassava
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2010-06-01,30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,6,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100
2012-04-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,94,0,12,0,0,0
2012-05-01,0,0,0,0,0,0,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
2012-08-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,90,0,0,0,69,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
2013-01-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,100,100,0
2013-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0
2013-05-01,0,0,4,0,0,0,0,0,0,0,0,0,95,0,0,0,0,100,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2013-06-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,60,60,0
2013-07-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
2013-08-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
2013-09-01,3,0,0,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
2013-10-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2013-12-01,3,0,5,0,37,74,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,73,0
2014-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
2014-03-01,0,0,0,0,32,0,36,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2014-04-01,2,0,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0
2014-05-01,0,7,0,12,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,0,0,5,27,0,0
2014-06-01,0,0,4,0,0,0,0,0,0,100,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
2014-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,93,0,0,0,0,0,28,0
2014-08-01,2,0,2,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
2014-09-01,0,0,2,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2014-10-01,2,0,0,12,0,0,0,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,26,0
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,31,0,0,0,5,28,0,0
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,31,30,0
2015-01-01,0,7,2,0,0,0,34,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34,0,41,0,5,0,31,0
2015-02-01,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
2015-04-01,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,26,0
2015-05-01,2,0,2,0,0,100,0,0,0,0,33,0,0,0,0,0,0,0,0,100,0,0,0,0,0,28,0,0,0,0,26,26,0
2015-06-01,0,0,2,0,0,0,0,0,0,0,37,0,40,0,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,5,28,28,0
2015-07-01,2,0,0,17,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,55,6,0,0,4,25,0,0
2015-08-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2015-09-01,2,0,2,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,25,0
2015-10-01,0,0,2,11,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,41,0,22,0,0,28,6,0,0,0,0,0,37
2015-11-01,2,0,2,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,53,0
2015-12-01,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,45,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
2016-02-01,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,24,0
2016-03-01,2,5,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,21,0
2016-04-01,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,82,0,0,0,0,0,0,5,0,0,3,0,0,0
2016-05-01,0,0,3,0,0,0,0,0,0,0,27,0,0,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2016-06-01,2,0,3,0,0,0,0,0,0,0,0,0,0,43,2,0,87,0,0,0,37,0,0,0,0,0,0,0,0,4,23,0,0
2016-07-01,2,5,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,86,0,100,0,0,0,0,6,0,4,0,0,22,0
2016-08-01,2,0,2,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,20,0,0,25,0,29,0,0,0,0,0
2016-09-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,27,0,33,0,4,25,0,0
2016-10-01,2,0,3,0,0,0,0,0,4,0,31,0,0,0,2,0,0,0,0,0,40,0,0,34,5,0,0,0,0,4,0,24,0
2016-11-01,2,0,0,10,0,0,0,0,0,0,30,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2016-12-01,0,0,2,10,0,46,0,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,23,0
2017-01-01,1,4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0
2017-02-01,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,17,0,0,0,5,0,3,0,19,19,0
2017-03-01,1,0,0,0,0,63,0,0,3,0,0,0,23,0,2,0,0,24,0,0,0,0,0,0,0,18,0,21,3,3,16,16,0
2017-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,17,17,0
2017-05-01,1,4,2,8,17,34,0,0,3,0,0,0,24,0,1,3,0,25,0,0,0,0,0,0,0,0,0,22,3,3,17,17,0
2017-06-01,0,5,0,0,0,0,0,0,0,0,0,5,0,0,2,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,3,18,18,0
2017-08-01,0,0,2,12,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2017-09-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,83,0,0,0,0,0,0,0,5,0,0,28,0,4,0,32,0
2017-10-01,0,5,1,0,21,0,24,0,0,0,0,0,31,42,0,0,0,0,0,0,0,0,0,0,0,24,0,29,4,0,22,0,0
2017-11-01,0,6,2,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,32,0,0,0,24,0
2017-12-01,2,0,2,12,0,0,0,0,4,0,0,0,0,50,2,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,26,0,0
2018-01-01,0,0,3,0,25,51,0,0,0,0,0,6,36,49,0,0,0,0,0,0,42,0,0,0,0,0,7,34,0,0,0,0,0
2018-02-01,0,0,3,23,0,0,0,0,0,0,34,0,0,100,2,0,100,0,0,0,0,0,23,0,0,29,0,34,0,0,0,0,0
2018-03-01,0,5,1,0,0,0,0,0,4,0,0,0,0,0,2,0,82,32,0,0,35,0,0,0,0,24,0,0,0,0,0,0,0
2018-04-01,2,0,2,0,22,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,36,0,0,0,0,24,0,0,0,4,43,0,0
2018-05-01,1,0,1,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,35,0,19,0,0,70,0,0,0,4,0,0,0
2018-06-01,0,12,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,38,0,0,0,0,0,0,0,28,0,0,0,4,0,0,0
2018-07-01,2,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,54,6,32,0,8,49,25,36
2018-08-01,2,5,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,5,0,6,0,0,0,22,23,0
2018-09-01,0,0,2,0,24,49,0,0,4,0,32,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,6,32,0,4,0,0,0
2018-10-01,2,6,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,48,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,0,0,0,0,0,27,0
2018-12-01,2,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,29,29,0
