date,Apple,Apricot,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Figs,Garlic,Grapes,Kale,Lettuce,Mushrooms,Onion,Oranges,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Spinach,Squash,Sweet Potato,Tomato,Watermelon
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,32,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,35
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
2008-11-01,38,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
2008-12-01,0,0,0,36,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,25,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,32,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,55,0
2009-03-01,0,0,59,27,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,19
2009-06-01,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23
2009-07-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,47,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,32
2009-11-01,0,0,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,80,0
2009-12-01,44,0,0,41,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,40,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,37,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,39,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
2010-06-01,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,62,0
2010-09-01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,76,0,0,82,0,0,0,77,0,61,0
2010-11-01,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,17,0,0,0,10,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,27,0,0,0,0
2011-02-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,16,0,0,0,10,0,0,0,0,0,0,0,0,0,30,26,28,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,11
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,100,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2011-08-01,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,27,0,0,0,27,0,0,0,23,0,0,0,0
2011-09-01,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10,24,0
2011-12-01,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
2012-01-01,13,0,0,12,8,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,21,0
2012-02-01,15,0,0,13,9,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2012-03-01,15,0,0,14,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,15,0,0,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,0,0,0,10
2012-05-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2012-06-01,36,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2012-07-01,12,0,0,0,7,0,0,0,0,0,0,0,30,0,0,0,0,17,0,0,0,0,0,0,0,23,26,0,0,0,0,0,0,0
2012-08-01,11,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,12,0,24,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,8,19,0
2012-10-01,11,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,24,0,0,0,22,0,18,7
2012-11-01,0,0,21,0,0,0,0,0,0,0,0,0,27,0,20,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,22,0,17,7
2012-12-01,17,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,15,0,0,0,7,0,0
2013-01-01,9,59,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0,0,14,0,0,0,0,0,0
2013-02-01,15,0,20,19,0,20,0,26,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,19,0,0,0,0,20,0,16,0
2013-03-01,0,0,0,0,5,18,29,24,0,0,0,0,0,0,0,0,0,13,0,6,22,0,0,0,0,0,0,0,0,0,19,0,0,6
2013-04-01,0,0,0,8,5,0,0,0,19,0,0,0,0,0,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,17,8,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,0,0,18,0,0,6
2013-06-01,8,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,0,11
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,23,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,47,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2014-02-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,26,0,0,0
2014-04-01,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,10
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,9
2014-06-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2014-07-01,15,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,0
2014-08-01,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,19,0,0,0,0,0,0,0,38,0,0,0,46,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,38,0,0,0
2014-11-01,0,0,0,16,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,11,0,11
2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
2015-01-01,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
2015-03-01,18,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
2016-02-01,50,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
2016-03-01,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,32,0,0,0,0,70,0,0,0,0,0,0
2016-04-01,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0
2016-05-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,92,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2016-06-01,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,100,0,0,75,0,0,0,32
2016-07-01,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,35,15
2016-08-01,54,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,36
2016-09-01,54,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,50,0,0,0,29,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,100,79,100,0,79,0
2016-11-01,48,0,0,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,70,0,0,0,0,0,0
2016-12-01,41,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,27,0,0
2017-01-01,39,0,0,36,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,26,93,0,0,0,100,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,24,0,0,0,0,0,99,0,0,0,0,0,71,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,34,0,0,0,0,0,98,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
2017-04-01,76,0,0,35,22,76,0,100,0,100,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2017-05-01,0,0,0,0,0,0,0,0,0,0,88,0,90,0,0,0,0,0,0,0,0,0,0,0,91,0,0,54,0,0,0,0,0,24
2017-06-01,0,0,0,0,20,69,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,30,39,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,52,22
2017-08-01,31,0,62,29,18,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,60,0,0,0,60,0,0,0,0,63,0,0,0
2017-09-01,0,0,0,30,19,0,100,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,82,0,0,47,0,0,0,21,0,0
2017-10-01,28,0,56,53,17,0,0,75,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,42,0,0,0,0,0,0
2017-11-01,0,0,64,0,0,0,50,0,0,0,0,0,0,0,30,0,28,0,0,0,0,0,11,0,0,0,0,24,0,0,0,11,26,11
2017-12-01,13,0,25,0,15,0,0,0,0,34,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,25,0,0,0,21,0,13,21,9
2018-01-01,11,0,0,10,0,0,33,0,0,0,26,0,0,0,0,0,19,0,0,7,0,0,0,0,0,0,0,0,0,0,22,0,17,0
2018-02-01,12,0,0,22,14,24,0,0,25,0,0,0,30,0,0,0,21,0,0,0,0,23,0,0,0,23,0,36,0,0,24,8,19,8
2018-03-01,11,0,22,16,7,22,0,0,0,0,0,0,0,0,21,0,0,0,100,0,0,22,8,0,0,0,0,0,0,0,0,0,18,8
2018-04-01,17,0,0,16,7,0,0,30,0,30,28,0,28,0,21,0,0,0,0,7,0,0,0,23,0,22,0,39,23,0,23,8,36,13
2018-05-01,0,0,46,11,7,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,8
2018-06-01,18,0,0,11,14,0,36,0,24,0,29,0,0,0,44,0,0,17,0,0,0,0,0,24,0,23,0,17,0,19,24,8,19,11
2018-07-01,11,0,0,15,0,22,35,29,0,0,27,23,0,0,0,0,0,32,0,0,0,0,8,0,28,0,24,0,0,0,0,0,18,8
2018-08-01,12,0,0,22,7,0,0,0,24,0,0,0,0,0,33,0,0,17,0,0,28,23,8,0,0,0,0,0,24,0,24,8,19,8
2018-09-01,12,0,23,22,7,0,36,30,0,0,0,0,0,0,0,0,20,0,0,8,0,0,0,23,29,22,0,17,0,18,47,8,18,8
2018-10-01,0,0,0,31,0,0,34,0,0,0,27,0,0,0,21,0,19,0,0,0,0,0,8,0,0,21,0,16,0,0,22,7,0,15
2018-11-01,11,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,20,16,99,7,0,0,0,0,0,0,24,16,22,18,22,7,18,0
2018-12-01,11,0,0,29,13,0,0,0,0,0,26,0,0,69,20,0,0,15,0,7,0,20,0,0,0,0,0,16,0,25,0,0,0,0
