date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Corn,Cucumber,Dates,Eggplant,Garlic,Lettuce,Onion,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Tomato
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2010-02-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,100,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2010-11-01,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,80,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,34,0
2011-04-01,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
2011-05-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,42,0,0,0,0,0,0,44,0,0,92,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,41,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0
2012-01-01,36,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,46
2012-04-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,28,0
2012-06-01,39,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,44
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2012-10-01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,63,0,0,22,0
2012-11-01,60,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,22,0
2013-01-01,27,0,0,0,22,0,0,0,0,28,0,0,0,0,0,0,20,0,0,0,0,30
2013-02-01,0,77,0,0,0,0,0,0,0,0,0,0,0,0,33,30,22,60,0,0,0,33
2013-03-01,24,0,0,0,0,64,0,0,0,0,0,0,0,0,27,0,0,0,0,13,17,0
2013-04-01,23,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,14,0,28
2013-05-01,0,67,9,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
2013-06-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,18,0,0,14,0,57
2013-08-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,68,9,0,0,0,0,27,0,0,0,0,0,0,29,0,18,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,24,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,48,0,14,0,27
2014-01-01,0,0,8,0,0,0,47,0,0,23,0,0,0,0,23,0,0,0,0,0,15,25
2014-02-01,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,13,0,0
2014-03-01,21,0,7,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,15,0
2014-04-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0
2014-05-01,0,0,0,0,0,59,0,23,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2014-06-01,23,0,0,0,0,0,100,0,0,24,0,51,0,0,0,0,0,49,0,13,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,16,0,0,0,0,0
2014-08-01,23,0,8,27,19,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
2014-09-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47,0,0,0,26
2014-10-01,23,0,0,0,18,0,0,0,0,24,0,0,0,0,0,0,0,0,0,13,0,0
2014-11-01,0,0,0,0,0,0,0,23,0,0,0,0,57,0,0,0,17,47,0,13,0,0
2014-12-01,24,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
2015-01-01,0,0,8,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,26
2015-03-01,0,0,8,0,0,0,0,0,0,0,94,0,0,0,0,0,16,0,0,12,0,25
2015-04-01,0,0,8,0,0,0,0,23,0,24,96,0,0,0,25,22,16,0,0,13,16,0
2015-05-01,22,0,0,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,24,0,0,0,0,65,0,0,0,0,0,50,0,0,0,24,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0
2015-09-01,26,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,17,0,0,0,17,28
2015-11-01,42,0,7,25,0,0,0,0,0,22,0,44,0,0,0,0,16,0,0,0,15,0
2015-12-01,22,55,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2016-01-01,18,0,0,0,0,0,0,20,0,19,0,0,0,0,20,18,14,0,0,11,0,0
2016-02-01,19,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0
2016-03-01,18,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
2016-04-01,0,0,6,21,0,49,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
2016-05-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0
2016-06-01,17,46,0,21,14,0,0,0,0,0,0,0,43,0,0,0,0,36,0,10,0,0
2016-07-01,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,37,14,37,0,20,0,20
2016-08-01,0,0,0,24,16,0,0,0,0,0,0,43,0,0,0,0,0,41,0,0,0,0
2016-09-01,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,15,0,0,12,0,24
2016-10-01,30,0,0,0,0,0,0,20,0,21,0,43,0,0,0,0,0,0,0,0,14,0
2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,19,50,0,0,0,0,0,0,0,21,43,0,0,0,0,20,14,0,0,11,0,23
2017-01-01,0,0,6,20,0,0,0,0,0,18,37,0,0,0,0,0,0,0,0,0,12,0
2017-02-01,0,0,6,0,0,0,0,0,0,19,0,0,43,0,0,0,0,0,0,0,12,0
2017-03-01,16,40,0,18,0,0,0,16,0,16,0,0,0,0,0,0,12,0,0,9,11,0
2017-04-01,0,0,0,0,0,0,0,18,0,37,0,38,0,0,0,0,13,0,0,10,0,20
2017-05-01,0,0,6,20,0,0,0,0,0,0,39,0,0,0,0,0,13,34,0,0,0,20
2017-06-01,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,14,0,0,21,0,0
2017-08-01,0,0,7,0,0,0,0,0,0,21,0,0,0,0,0,0,15,0,0,0,0,0
2017-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,37,0,13,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
2018-03-01,0,69,9,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,39,0
2018-04-01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2018-05-01,0,69,0,0,0,0,0,0,100,0,0,0,0,0,0,0,19,53,0,0,0,0
2018-06-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,29
2018-07-01,0,0,9,0,20,0,0,0,0,26,0,0,0,0,0,25,18,0,0,0,0,0
2018-08-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,55,0,0,27,0,0,0,0,0,26,19,0,0,0,18,0
2018-11-01,24,0,8,0,0,0,0,0,0,0,0,51,0,0,0,0,0,48,100,0,0,0
2018-12-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
