date,Apple,Avocado,Banana,Beans,Broccoli,Corn,Cranberries,Cucumber,Dates,Garlic,Greens,Guava,Kale,Onion,Oranges,Passion Fruit,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Raisins,Squash,Tomato,Watermelon,Yams
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,29,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
2010-12-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,47,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,51,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0
2011-07-01,0,0,0,16,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2011-10-01,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
2012-01-01,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,100,25,0,0
2012-02-01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
2012-03-01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0
2012-05-01,0,100,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,30,0,9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,9,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2012-08-01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,33,0,0,25,0,0,0,0,0,79,0,0,0,0,0,38,0,0,0,13,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,11,0,0,0,0,0,0
2013-02-01,0,0,8,0,100,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,18,0,0
2013-04-01,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,19,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,28,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,25,87,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,75,0,0,0
2013-09-01,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,20,0
2013-10-01,25,0,0,10,0,27,0,0,0,0,0,0,0,0,0,29,0,100,0,0,0,0,0,0,0,0
2013-11-01,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,26,0,0,24,0,0,0,68,17,0,0
2013-12-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,17,0
2014-01-01,17,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,5,0,0,0,0,0,0,43,0,0,0,0,0,21,0,0,0,0,38,0,0,13,0,0
2014-03-01,0,0,5,0,0,0,89,0,0,38,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
2014-04-01,15,0,4,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,16,0,0,0,0,11,36,0
2014-05-01,0,0,4,0,56,17,0,0,0,38,0,0,0,0,0,0,15,0,33,0,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,12,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,12,0,0
2014-08-01,16,0,5,0,0,18,0,0,0,40,0,0,0,0,0,19,0,0,0,0,0,0,0,0,13,0
2014-09-01,0,0,0,7,0,0,100,0,0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,13,0,0
2014-10-01,17,0,0,7,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,17,0,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,26,0
2014-12-01,0,0,0,6,0,0,0,0,0,40,41,0,0,0,16,19,0,0,0,0,0,0,0,12,0,0
2015-01-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0
2015-02-01,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
2015-03-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2015-04-01,0,0,6,12,54,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,45,0,0,0
2015-05-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,7,0,0,0,0,92,0,36,0,0,0,15,0,17,0,0,0,6,0,17,0,11,0,0
2015-07-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,11,0
2015-08-01,15,0,4,0,0,0,0,0,0,53,0,0,0,14,0,17,0,0,0,0,0,0,45,0,11,0
2015-09-01,0,0,5,0,0,0,0,0,0,41,0,0,0,0,0,29,0,0,0,7,0,0,50,0,0,0
2015-10-01,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,12,0
2015-11-01,0,0,4,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,12,0,0,45,0,0,0
2015-12-01,0,0,9,6,0,0,0,0,0,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,13,43,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,38,0,0,0
2016-02-01,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,30,0,4,7,44,0,0,0,0,29,0,0,0,0,0,0,12,0,0,5,0,0,37,0,0,0
2016-04-01,0,44,7,0,0,0,0,0,0,31,32,0,0,0,0,0,13,0,0,5,0,14,0,9,0,0
2016-05-01,12,43,4,0,45,13,0,0,0,0,0,0,42,0,0,0,0,0,0,10,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,53,0,5,0,15,0,10,0,0
2016-07-01,0,0,6,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2016-08-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,13,53,14,0,0,0,0,10,10,0
2016-09-01,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2016-10-01,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0,15,6,0,0,42,0,11,0
2016-11-01,14,0,0,0,51,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,11,0
2016-12-01,13,0,4,0,47,0,0,0,0,31,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,12,0,5,5,0,0,0,73,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0
2017-02-01,0,0,10,0,0,0,0,0,0,65,0,0,0,0,0,0,13,0,0,5,0,0,40,10,0,0
2017-03-01,0,41,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0
2017-04-01,0,0,7,5,0,0,0,0,0,0,0,0,0,0,12,14,0,0,13,5,0,14,0,0,0,0
2017-05-01,0,45,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0
2017-06-01,15,51,4,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,6,0,17,45,0,11,0
2017-07-01,0,0,8,0,0,14,0,0,0,33,0,0,0,0,0,16,0,0,15,0,29,0,0,0,11,0
2017-08-01,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,5,29,0,0,0,11,0
2017-09-01,0,0,7,0,0,0,0,100,0,0,0,0,0,0,0,0,16,0,0,0,0,0,49,12,0,0
2017-10-01,15,0,13,0,55,0,0,0,0,0,0,7,0,0,15,18,0,0,0,6,0,17,0,0,12,0
2017-11-01,0,0,4,6,0,0,0,0,0,0,0,0,50,15,0,0,0,59,0,0,0,0,45,0,12,0
2017-12-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2018-01-01,13,0,0,0,47,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,10,0
2018-02-01,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,44,0,11,0
2018-03-01,13,0,8,5,0,0,0,0,0,31,0,0,0,0,0,15,0,0,14,0,0,0,39,0,10,0
2018-04-01,0,49,8,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,10,0,0
2018-05-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,16,43,0,0,0
2018-06-01,0,0,8,0,0,0,0,0,0,0,0,0,46,0,0,16,0,0,0,6,0,0,0,0,0,0
2018-07-01,14,0,4,5,0,0,0,0,0,33,0,0,0,13,0,0,13,0,0,5,0,15,0,10,0,0
2018-08-01,0,0,0,5,0,0,0,85,0,34,0,6,0,0,0,16,14,0,0,0,0,16,0,10,0,0
2018-09-01,0,0,7,6,0,0,0,0,0,69,36,7,48,0,14,0,0,0,0,0,0,0,0,11,11,0
2018-10-01,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0
2018-11-01,14,0,8,0,0,0,0,0,0,33,35,6,0,0,0,16,0,0,0,0,0,0,42,0,11,0
2018-12-01,0,46,0,0,0,0,0,0,100,32,0,6,0,13,0,15,0,53,0,5,28,0,0,0,0,0
