date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Celery,Corn,Cranberries,Cucumber,Eggplant,Figs,Garlic,Grapefruit,Guava,Kale,Lettuce,Okra,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Tomato,Watermelon,Yams,Cassava
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,44,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2007-12-01,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
2008-09-01,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
2009-03-01,0,0,0,68,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,11,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0
2010-08-01,0,0,0,100,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
2010-11-01,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
2012-03-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,100,90,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,54,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
2012-12-01,11,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,4,0,26,35,0,0,0,0,0,0,0,0,0,27,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,11,0,96,0,0,0,0,0,0,27,0,0,0,42,0,37,0,0,0,0,0,37,0,0,0,0,0,0,13,0,0
2013-03-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0
2013-04-01,3,0,0,0,0,0,0,0,0,0,100,0,0,0,0,38,24,0,0,0,0,0,0,0,16,0,0,11,0,0,12,0,0
2013-05-01,3,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,41,0,0,0,13,0,0
2013-08-01,3,21,9,24,0,0,89,0,0,0,0,0,0,0,100,0,0,0,0,0,0,63,0,0,10,0,0,0,0,0,0,0,0
2013-09-01,5,17,7,0,0,0,0,0,0,0,76,0,0,0,0,87,0,0,0,0,0,0,0,0,0,20,0,4,0,20,19,0,0
2013-10-01,0,17,0,0,0,0,76,0,0,0,0,20,0,0,0,0,0,27,100,0,0,0,0,0,17,20,0,0,15,10,0,0,0
2013-11-01,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,0,0,0,0,0,27,8,0,0,4,15,0,10,0,0
2013-12-01,0,0,9,24,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2014-01-01,2,0,8,21,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,53,0,0,17,0,0,0,0,10,0,0,0
2014-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,26,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0
2014-03-01,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,45,0,0,7,17,25,0,0,9,8,91,0
2014-04-01,2,0,7,19,0,14,0,0,0,0,0,0,0,0,76,27,0,0,0,0,0,49,0,0,8,0,0,0,40,0,9,0,0
2014-05-01,0,0,8,0,0,0,76,0,20,0,0,20,0,0,0,0,19,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0
2014-06-01,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,20,0,0,0,0,0,0,0,0
2014-07-01,0,0,9,0,0,0,82,0,0,0,86,0,0,17,0,0,0,0,0,0,0,58,0,0,9,0,0,0,0,11,10,0,0
2014-08-01,2,17,7,19,66,0,0,0,19,0,74,0,0,15,0,28,0,26,0,0,0,100,0,0,8,0,0,0,0,0,0,0,0
2014-09-01,2,29,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,8,8,0,0
2014-10-01,0,0,0,0,54,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,8,7,0,0
2014-11-01,2,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,21,0,0,0,41,0,20,6,15,0,3,11,0,0,0,0
2014-12-01,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,0,0,0,0,16,0,0,0,14,0,0,0,0
2015-01-01,0,0,6,17,0,13,0,0,16,93,0,0,0,13,0,25,0,45,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
2015-02-01,0,0,6,0,0,0,62,0,16,0,0,0,0,0,68,24,0,0,0,0,0,65,0,0,7,0,0,0,0,8,0,0,0
2015-03-01,2,13,6,15,0,0,0,0,0,0,0,15,0,0,0,22,0,0,0,0,0,0,0,0,9,15,0,0,11,0,0,0,0
2015-04-01,4,0,6,16,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,15,0,0,11,0,7,0,0
2015-05-01,3,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,43,0,21,7,0,0,0,0,8,8,0,0
2015-06-01,2,16,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,8,19,0,4,0,0,9,0,0
2015-07-01,2,0,7,0,64,0,0,0,0,0,0,18,0,0,0,0,0,0,0,11,0,0,100,0,15,0,0,4,0,0,0,0,0
2015-08-01,2,0,0,0,0,0,0,0,0,0,60,0,0,12,0,0,0,0,0,0,0,0,85,0,6,0,0,0,0,0,0,0,0
2015-09-01,2,12,0,0,0,0,0,0,27,0,0,13,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0
2015-10-01,2,0,7,0,0,0,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,6,14,0,0,0,7,0,0,0
2015-11-01,3,13,6,15,0,0,0,0,0,0,0,29,13,0,0,22,0,20,0,0,0,0,0,19,0,30,0,3,0,0,0,0,0
2015-12-01,2,16,0,0,0,0,0,0,18,0,70,0,0,14,0,0,17,0,0,0,0,47,0,0,15,0,0,4,0,0,8,0,0
2016-01-01,0,0,6,0,0,12,0,0,0,0,59,0,0,0,0,23,0,21,76,0,0,40,82,0,0,0,0,0,17,0,0,0,0
2016-02-01,0,0,0,14,49,0,0,0,14,0,0,14,0,0,0,43,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
2016-03-01,0,0,5,27,0,0,100,0,0,0,0,0,11,0,0,20,0,18,0,0,96,35,0,0,5,0,0,6,0,7,0,0,0
2016-04-01,2,0,0,14,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,100,0,0,0,6,14,0,0,0,0,0,0,0
2016-05-01,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,39,0,20,6,0,0,0,0,8,0,0,0
2016-06-01,0,15,0,17,0,0,0,0,0,0,0,0,15,13,70,25,0,23,0,0,0,89,0,0,14,17,0,0,13,0,0,0,0
2016-07-01,2,0,8,0,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,14,10,0,0,0
2016-08-01,2,0,10,18,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,2,0,0,16,55,0,59,0,0,0,0,0,0,0,0,23,0,0,0,0,0,83,0,0,10,16,0,0,0,0,8,0,0
2016-10-01,0,14,0,16,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,7,16,0,0,0,8,0,0,0
2016-11-01,0,0,9,0,55,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,7,0,0
2016-12-01,2,0,0,19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,100,100
2017-01-01,0,13,6,0,0,12,0,0,0,0,0,0,0,12,0,23,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,79,0
2017-02-01,2,0,13,16,0,12,0,0,0,0,0,16,0,0,69,0,0,22,0,0,0,43,0,0,7,16,0,0,0,0,8,0,0
2017-03-01,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,6,14,0,3,0,0,0,77,0
2017-04-01,0,0,9,0,54,0,0,0,0,0,61,30,0,12,0,23,0,0,0,0,0,0,0,21,6,16,0,3,0,8,8,0,0
2017-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,0,0,0,90,21,13,16,0,0,0,0,8,0,0
2017-06-01,0,0,7,0,0,15,0,0,0,0,0,19,0,15,0,29,0,26,0,0,0,0,0,25,16,0,0,4,0,10,0,0,0
2017-07-01,0,17,8,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2017-08-01,0,0,7,0,64,0,0,0,0,100,0,0,0,14,0,27,0,0,0,0,0,48,0,0,7,0,0,0,0,9,0,0,0
2017-09-01,3,14,6,16,0,0,60,0,0,0,62,0,0,0,66,0,0,0,0,0,0,0,0,21,7,0,0,0,0,8,7,0,0
2017-10-01,4,13,6,24,0,0,0,0,0,0,60,15,0,12,0,23,30,21,0,9,0,40,84,0,6,0,0,0,0,0,7,0,0
2017-11-01,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,19,6,15,0,0,0,0,0,0,0
2017-12-01,2,0,0,0,0,0,64,0,0,0,0,0,0,0,0,25,0,0,0,10,0,45,0,0,10,0,0,4,0,9,8,88,89
2018-01-01,3,0,0,29,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,38,6,0,21,0,10,7,0,0,0
2018-02-01,0,0,6,16,53,0,57,0,15,0,0,0,14,0,0,23,0,0,0,0,0,0,0,20,6,0,0,0,11,0,0,0,0
2018-03-01,0,0,5,14,0,0,0,72,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,6,14,0,6,21,7,7,0,0
2018-04-01,0,0,6,0,0,0,55,0,14,0,56,0,0,11,0,22,14,0,0,0,0,38,0,0,6,15,0,0,21,15,0,0,0
2018-05-01,2,0,6,16,0,0,0,0,0,0,0,0,0,12,0,0,0,21,0,0,0,0,83,20,0,0,0,0,0,8,0,0,0
2018-06-01,2,0,7,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,0,23,7,0,0,0,0,9,8,0,0
2018-07-01,2,0,7,0,0,0,0,0,0,0,66,34,0,0,0,0,0,0,0,10,0,0,0,0,0,17,0,0,0,9,0,0,0
2018-08-01,2,0,6,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2018-09-01,2,12,8,14,48,0,0,0,14,0,0,0,0,0,0,41,13,19,0,0,0,36,0,0,6,0,20,7,10,21,6,0,0
2018-10-01,3,0,29,15,0,0,0,0,0,0,57,0,13,12,0,22,0,0,0,0,0,38,0,0,12,0,0,3,0,11,7,0,0
2018-11-01,2,0,6,22,0,0,55,0,0,0,0,14,13,11,0,22,0,0,0,0,0,38,0,19,6,15,0,0,0,7,0,0,0
2018-12-01,2,0,10,18,0,0,66,0,0,0,0,0,0,0,0,26,0,23,0,0,0,0,0,0,7,17,0,0,0,9,0,0,0
