date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Mushrooms,Okra,Onion,Oranges,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams,Cassava
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,100,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2007-07-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,26,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,41,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,20,94,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,87,0,5,0,0,8,0,100,0,100,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
2011-05-01,15,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0
2011-06-01,15,0,0,0,5,0,78,24,0,100,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,14,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,86,0,0,0,0
2011-09-01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,76,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,80,0,0,0,0,0,0
2011-11-01,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,11,0,0
2011-12-01,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,73,4,8,0,0,0,0,0,0,0,0,81,0,100,0,0,0,0,0,0,96,0,0,0,0,0,0,0,9,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
2012-02-01,11,0,0,69,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
2012-03-01,9,0,0,61,3,6,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,65,100,0,0,0,0,0
2012-04-01,0,0,0,0,3,0,50,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,65,0,0,9,13,0,0
2012-05-01,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,5,97,67,0,0,0,0,0,0
2012-06-01,10,0,0,0,0,7,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,11,0,0,3,85,0,0,0,0,0,73,0,0,0,0
2012-07-01,10,0,0,62,0,0,100,15,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,3,0,0,5,0,0,0,65,17,9,0,0
2012-08-01,9,54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,99,0,0,0,0,0
2012-09-01,9,0,0,60,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,53,0,0,10,0,0,0,5,0,0,0,0,0,0,0,100,3,77,0,0,92,0,0,64,9,9,0,0
2012-10-01,17,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,88,0,0,0,0,0
2012-11-01,9,0,0,0,3,0,0,0,0,0,6,0,0,0,62,0,0,0,0,0,13,0,0,0,0,0,5,0,88,0,0,0,0,0,0,3,0,0,5,87,59,91,0,0,0,0,0
2012-12-01,11,0,0,71,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,10,10,0,0
2013-01-01,0,0,0,0,3,6,0,0,9,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,6,0,0,0,0,0,0,0,9,9,0,0
2013-02-01,9,0,0,0,3,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,95,0,0,7,0,57,0,3,0,0,5,0,64,0,0,9,9,0,0
2013-03-01,0,0,0,56,6,6,45,0,8,58,6,0,0,0,0,0,77,0,0,50,0,0,9,0,0,0,0,0,0,0,0,7,9,0,0,3,0,0,0,86,60,0,0,12,8,0,0
2013-04-01,9,49,0,56,0,0,0,0,0,0,0,0,0,0,0,0,77,0,89,0,12,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,69,0,5,0,0,0,0,8,0,0,0
2013-05-01,8,0,0,0,4,6,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,71,55,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0
2013-06-01,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,88,0,0,0,0,0,94,0,0,0,0,0,60,0,0,0,0,0,0
2013-07-01,8,0,0,50,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,100,0,0,0,0,4,0,6,0,0,0,2,0,0,4,0,0,0,53,14,0,0,0
2013-08-01,8,0,0,50,3,8,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,79,0,81,6,0,0,0,2,0,7,6,0,53,82,54,7,11,0,0
2013-09-01,8,0,0,50,5,5,0,12,7,52,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,43,4,9,0,11,0,45,0,0,0,0,48,0,0,0,0,0,10,0,0,0,0,15,4,0,0,3,0,0,7,40,0,2,0,0,7,0,0,71,0,6,6,0,0
2013-11-01,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,46,0,0,6,0,0,0
2013-12-01,0,0,0,50,3,5,0,13,7,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,50,0,0,0,0,0,0,0,8,47,0,3,0,7,4,77,54,0,0,7,0,0,0
2014-01-01,6,0,9,82,2,4,0,10,0,0,0,0,0,0,0,0,0,0,65,0,9,0,0,0,0,0,4,0,0,3,0,0,0,0,68,2,0,0,3,0,44,0,0,6,12,0,0
2014-02-01,7,0,0,0,0,4,0,0,0,0,0,100,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,67,0,0,5,7,0,0,3,0,8,4,0,45,0,0,12,6,0,0
2014-03-01,6,0,0,0,0,4,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,61,0,0,35,0,3,0,5,3,0,40,0,0,0,5,0,0
2014-04-01,6,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,5,3,0,41,0,41,5,6,0,0
2014-05-01,12,100,0,0,3,4,0,9,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,48,0,3,0,60,0,41,5,5,0,0
2014-06-01,6,0,0,0,4,0,31,19,0,39,0,89,0,0,0,0,0,0,0,0,9,0,0,100,0,9,0,0,0,0,0,0,6,35,0,3,47,0,3,58,40,62,0,0,0,0,0
2014-07-01,0,0,0,35,6,4,0,0,0,36,0,0,8,0,0,0,0,0,55,0,0,0,0,46,0,8,0,0,0,2,0,4,0,0,0,3,0,0,9,0,0,0,56,0,5,0,0
2014-08-01,8,0,0,0,0,0,28,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,33,0,2,0,0,3,0,37,0,57,0,0,0,0
2014-09-01,5,0,7,0,3,3,0,8,4,0,0,0,0,100,35,0,43,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0,0,0,0
2014-10-01,10,0,7,65,0,3,26,0,5,0,0,0,0,0,36,0,0,0,0,0,0,0,5,43,0,8,0,0,0,2,0,4,0,0,0,3,41,4,5,50,34,0,35,0,0,0,0
2014-11-01,6,0,0,37,0,8,0,0,0,0,4,86,8,0,0,0,0,0,59,0,0,0,0,48,37,9,3,0,58,0,0,0,0,34,0,2,46,0,3,56,39,0,0,0,11,0,0
2014-12-01,13,0,0,0,2,4,0,0,6,0,0,0,0,0,0,0,0,0,66,0,9,100,0,0,41,0,4,0,0,0,67,0,7,0,0,2,0,0,4,0,45,0,0,6,9,0,0
2015-01-01,0,29,0,0,2,0,0,8,5,0,0,0,0,0,73,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,100,34,0,36,0,7,0,0
2015-02-01,16,30,0,0,2,4,0,9,0,0,4,0,0,0,0,0,0,0,0,30,8,0,0,0,0,8,0,0,0,0,0,0,0,32,0,2,44,5,6,0,36,0,56,5,0,0,0
2015-03-01,5,0,0,0,2,3,25,0,6,32,3,0,0,0,100,0,0,0,0,0,0,0,5,0,0,0,0,0,48,0,0,4,0,28,0,1,0,0,3,0,0,0,0,4,0,0,0
2015-04-01,5,0,0,0,3,0,0,0,4,0,0,0,7,0,35,0,43,0,50,0,7,0,5,41,0,0,0,0,50,0,0,0,5,29,0,2,0,0,5,0,67,0,0,4,0,0,0
2015-05-01,5,0,0,47,2,3,25,8,7,32,4,0,0,0,0,100,0,0,0,28,0,0,0,0,0,7,0,0,50,3,0,0,0,0,0,2,0,4,3,0,34,0,67,4,0,0,0
2015-06-01,10,0,0,63,2,7,0,8,0,33,0,0,0,0,35,100,0,0,0,0,0,77,5,0,0,0,3,0,0,0,0,4,0,0,0,3,40,0,0,0,33,0,34,0,5,0,0
2015-07-01,9,0,0,0,2,4,23,0,4,60,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,7,0,0,45,2,0,0,0,27,0,2,0,8,2,44,62,47,0,8,4,0,0
2015-08-01,17,25,0,28,0,3,45,0,4,0,0,0,12,0,31,0,0,0,0,25,0,0,0,37,0,0,0,0,0,0,0,3,0,26,0,1,53,0,5,0,60,46,30,8,4,0,0
2015-09-01,4,0,0,0,2,4,0,0,0,0,0,0,0,0,63,0,38,0,67,0,6,0,0,0,0,7,5,0,0,2,0,3,0,39,0,3,0,4,3,0,0,0,30,0,4,0,0
2015-10-01,6,0,0,27,3,3,0,0,0,29,0,0,0,0,0,0,0,0,44,0,0,0,5,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,4,42,0,0,0,4,8,0,0
2015-11-01,5,0,0,29,6,0,0,7,0,0,0,0,0,0,33,0,0,7,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,27,0,1,0,4,0,0,0,48,0,4,0,0,0
2015-12-01,5,0,0,35,4,11,28,9,5,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,64,0,2,44,0,4,0,0,0,0,10,0,0,0
2016-01-01,5,0,0,30,2,3,24,7,4,0,0,0,6,0,0,0,0,0,48,0,0,0,0,0,0,9,3,0,47,0,0,4,0,28,49,4,0,0,5,0,32,0,0,0,6,0,0
