date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carambola,Carrots,Corn,Cucumber,Eggplant,Garlic,Guava,Kale,Lettuce,Onion,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Squash,Sweet Potato,Tomato,Watermelon,Yams
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2009-04-01,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2010-01-01,19,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,98,0,100,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
2010-05-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,20,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,70,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,100
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,20,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2011-10-01,0,0,0,84,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2011-11-01,0,0,65,0,100,0,0,0,0,0,89,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
2011-12-01,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,87,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,79,0,0,100,71,0,0,46,0
2012-03-01,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,90,0,0,0,42,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,36,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,12,0,0,0,36,0,0,0,32,0,0,0,0,0,0,0,0,0,0,26,35,0,0,0,32,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,25,0,0,0,0
2012-12-01,7,0,0,33,0,0,0,0,0,0,34,0,0,0,0,0,0,0,12,0,0,0,36,0,0,0,0,0
2013-01-01,6,0,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,0
2013-02-01,6,0,0,83,0,0,22,0,0,32,0,28,0,100,26,0,0,97,11,24,0,0,0,0,0,0,0,0
2013-03-01,5,0,19,24,29,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,29,0,0,0,0,6,0,0
2013-04-01,6,0,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,22,0,0,0,0
2013-05-01,0,0,20,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,13,26
2013-06-01,15,0,19,24,0,0,0,0,0,0,26,0,0,90,0,0,0,0,0,0,0,0,55,0,0,0,12,0
2013-07-01,5,27,0,24,0,0,19,0,27,0,25,0,0,0,0,0,0,0,10,43,0,0,0,0,25,0,13,0
2013-08-01,6,33,22,0,35,0,0,29,0,0,0,29,0,0,26,0,0,100,0,0,0,0,0,0,29,0,0,0
2013-09-01,6,31,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,21,28,0,0,19,25,0,0,0
2013-11-01,0,0,25,0,29,0,0,24,26,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,12,0
2013-12-01,6,0,21,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,11,24,32,0,0,0,0,6,0,0
2014-01-01,8,0,0,0,0,0,0,25,0,30,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,13,0
2014-02-01,0,0,0,26,0,0,0,26,56,0,27,27,0,0,0,0,0,92,0,45,0,0,0,0,0,0,0,25
2014-03-01,5,0,27,0,0,0,0,0,0,0,25,0,24,0,0,100,93,0,0,21,0,0,0,19,0,6,0,0
2014-04-01,6,0,21,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,32,0,0,27,0,0,28,0,28,0,0,0,0,0,0,0,32,0,31,0,0,0,14,0
2014-06-01,0,0,22,0,0,0,23,29,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
2014-08-01,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,25,33,0,32,0,0,0,0,0
2014-09-01,0,0,0,0,0,0,0,27,0,0,28,27,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
2014-10-01,5,28,0,24,0,0,0,0,0,0,0,26,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
2014-11-01,5,0,0,24,0,0,0,24,0,0,0,0,0,0,23,100,0,0,0,0,28,0,0,0,26,0,0,0
2014-12-01,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
2015-01-01,0,27,0,24,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
2015-02-01,5,0,19,25,0,0,19,0,0,0,0,0,0,0,24,0,0,0,0,66,0,0,0,0,0,6,0,0
2015-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2015-04-01,7,0,19,0,29,0,19,0,26,0,25,25,25,88,0,0,0,0,9,28,28,0,0,19,24,0,0,0
2015-05-01,5,0,17,24,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0
2015-06-01,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,27,0,0,18,0,5,0,0
2015-07-01,5,0,0,22,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,19,26,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12,0
2015-09-01,0,26,27,24,0,22,0,24,0,0,0,24,0,0,0,0,0,85,9,0,0,0,27,0,24,0,0,0
2015-10-01,4,0,17,22,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,19,0,0,0,0,0,5,11,0
2015-11-01,5,0,0,0,27,0,18,0,0,0,0,0,0,0,21,0,0,0,9,0,0,0,0,18,0,0,0,0
2015-12-01,5,0,0,24,0,0,19,0,0,0,26,0,0,0,0,0,95,0,0,42,0,0,0,0,0,6,0,0
2016-01-01,4,0,0,20,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,20
2016-02-01,4,0,22,0,23,0,0,19,0,0,20,0,0,0,18,0,0,0,7,17,22,0,21,31,0,4,0,0
2016-03-01,0,0,0,0,0,0,15,0,21,0,0,20,0,0,18,0,0,0,0,16,45,0,0,15,0,4,10,19
2016-04-01,0,0,16,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,21,5,10,0
2016-05-01,6,0,0,0,0,0,16,0,0,0,0,21,0,0,0,0,0,0,0,26,0,0,0,16,20,5,10,0
2016-06-01,4,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0,0,0,17,23,0,0,0,0,5,10,0
2016-07-01,0,0,18,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,9,20,27,0,0,17,0,0,0,0
2016-08-01,0,28,0,0,0,0,39,0,0,0,0,0,25,0,0,0,0,0,0,21,0,0,0,0,0,0,13,0
2016-09-01,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0
2016-10-01,5,0,19,24,0,0,0,0,0,0,0,0,0,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,9,0,17,0,26,0,0,22,23,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,0,0,19,0,0,0,0,0,0,0,26,0,0,0,23,0,0,0,0,22,30,0,0,0,0,6,0,0
2017-01-01,0,0,34,23,0,0,18,0,0,0,24,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2017-02-01,0,0,18,0,0,0,18,0,0,0,0,0,23,0,21,0,0,83,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,32,42,25,0,17,0,22,25,0,0,0,76,0,0,0,0,8,18,24,0,0,0,21,7,0,21
2017-04-01,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,36,0,0,12,0
2017-05-01,10,0,18,47,28,22,0,0,0,27,25,24,0,0,0,97,0,0,9,20,0,0,0,19,24,0,0,0
2017-06-01,5,0,20,0,0,0,20,0,25,0,27,0,0,0,22,0,100,0,0,0,0,0,0,0,26,0,0,0
2017-07-01,5,0,19,0,29,0,0,24,0,29,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,13,0
2017-08-01,0,0,19,0,0,0,0,0,27,0,27,0,26,0,0,0,0,0,0,22,0,0,29,0,0,0,0,0
2017-09-01,0,32,0,0,33,0,0,0,0,0,0,0,28,0,0,0,0,0,0,25,0,0,32,0,29,0,14,0
2017-10-01,0,26,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,26,19,0,0,0,0
2017-11-01,0,0,0,0,24,0,0,20,0,24,0,0,0,0,0,0,0,0,0,18,0,0,0,16,20,5,10,0
2017-12-01,4,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,18,0,0,0,33,42,0,0,0
2018-01-01,0,23,0,0,23,0,16,0,0,0,0,0,0,0,19,0,0,0,8,0,0,83,0,0,0,0,0,0
2018-02-01,5,0,0,22,26,0,0,22,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,22
2018-03-01,4,0,0,20,24,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,5,10,0
2018-04-01,0,0,0,0,0,20,0,22,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,4,0,0,0,0,0,0,0,21,24,0,0,0,0,0,0,0,0,8,0,24,0,22,0,0,0,0,0
2018-06-01,5,0,25,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,5,11,0
2018-07-01,5,0,33,0,26,0,0,0,0,25,0,23,0,0,0,0,0,0,0,38,0,0,0,17,22,0,11,0
2018-08-01,5,27,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,0,0,0,0,0,0
2018-09-01,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2018-10-01,0,0,0,0,0,0,29,0,0,0,0,25,0,0,0,0,0,0,9,0,28,0,0,19,0,17,0,0
2018-11-01,5,0,0,0,0,0,20,0,0,29,0,0,0,0,23,0,0,0,0,0,0,100,28,0,25,0,0,0
2018-12-01,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,13,0
