date,Apple,Banana,Cranberries,Dates,Peaches,Peas,Peppers,Pumpkin,Squash,Tomato
2009-08-01,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,100,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,96,0
2010-04-01,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,33,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,75,0
2010-11-01,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,62,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,73,0
2011-04-01,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,54,0,0,0,0,0,0,0,88
2011-06-01,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,72
2012-03-01,0,0,0,0,0,0,100,36,56,0
2012-04-01,0,0,0,0,0,76,0,0,0,68
2012-05-01,0,21,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,68
2012-07-01,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,64
2012-10-01,0,17,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0
2013-01-01,24,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,73,0,0,0,0
2013-03-01,0,17,0,0,0,0,0,0,47,0
2013-04-01,0,20,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,76,0,0,0,0
2013-06-01,0,0,45,0,0,0,0,0,56,66
2013-07-01,26,0,0,0,0,0,0,0,0,0
2013-08-01,0,21,0,0,0,0,0,0,0,0
2013-09-01,0,18,0,0,0,0,0,0,100,0
2013-10-01,0,0,0,100,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,16,0,0,0,0,81,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,49,0
2014-03-01,0,17,0,0,0,0,0,0,0,54
2014-04-01,0,0,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,0,0,62,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0
2014-07-01,24,17,0,0,0,0,0,0,0,0
2014-08-01,28,20,0,0,0,0,0,0,0,64
2014-09-01,22,0,0,0,0,0,0,0,0,0
2014-10-01,21,0,0,0,0,0,0,0,0,0
2014-11-01,0,16,0,0,0,0,0,29,0,0
2014-12-01,0,18,0,0,0,0,0,0,0,59
2015-01-01,0,0,0,0,0,0,0,0,0,53
2015-02-01,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,16,0,0,0,0,0,0,0,0
2015-05-01,0,17,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,16,0,0,0,0,0,0,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,15,0,0,100,0,0,0,0,50
2015-10-01,0,0,0,0,0,0,0,0,0,0
2015-11-01,28,20,0,0,0,0,0,0,0,0
2015-12-01,0,23,0,0,0,0,0,0,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,75
2016-03-01,33,23,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,25,0,0,0,0,0,0,0,0
2016-06-01,0,37,0,0,0,0,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0,0
2016-08-01,44,32,0,0,0,0,0,0,0,100
2016-09-01,39,0,0,0,0,0,0,0,0,0
2016-10-01,0,29,0,0,0,0,0,54,0,0
2016-11-01,41,0,0,0,0,0,0,0,0,0
2016-12-01,0,33,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,51,0,0
2017-02-01,0,0,0,0,0,100,0,0,0,0
2017-03-01,0,0,0,0,0,86,0,0,0,0
2017-04-01,0,29,0,0,0,0,0,0,0,0
2017-05-01,0,0,0,0,0,0,0,0,0,0
2017-06-01,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,72
2017-08-01,0,0,0,0,0,0,0,0,0,0
2017-09-01,29,0,0,0,0,0,0,0,0,0
2017-10-01,0,21,0,0,0,0,0,0,0,0
2017-11-01,0,0,0,0,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,0,65
2018-02-01,0,21,0,0,0,0,0,0,0,0
2018-03-01,0,0,0,0,0,0,0,0,0,0
2018-04-01,0,0,0,0,0,0,0,0,0,0
2018-05-01,0,0,0,0,0,0,0,0,0,0
2018-06-01,0,0,0,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0,0,0,0,0
2018-08-01,0,20,0,0,0,0,0,0,0,66
2018-09-01,0,0,0,0,0,0,0,0,55,0
2018-10-01,0,19,0,0,0,68,0,0,0,0
2018-11-01,0,0,0,0,0,0,0,0,0,0
2018-12-01,0,0,0,0,0,0,0,0,0,0
