date,Apple,Avocado,Banana,Beans,Cabbage,Corn,Cucumber,Garlic,Okra,Onion,Potatoes,Pumpkin,Spinach,Tomato,Watermelon,Cassava
2012-09-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0
2012-11-01,0,0,18,0,0,0,0,0,100,0,0,0,0,20,52,0
2012-12-01,0,0,17,0,0,0,0,0,0,0,0,0,0,18,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,100
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,12,0,0,0,0,0,0,0,0,0,15,0,0
2013-06-01,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,13,12,0,0,0,0,0,100,0,0,0,0,0,0
2013-09-01,62,0,14,0,0,0,0,0,0,0,0,0,100,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
2014-05-01,0,0,0,0,0,0,0,25,0,82,0,0,0,0,0,0
2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,30,0
2015-01-01,0,0,9,0,0,0,0,0,52,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,0,0,52,0,0,83,0,0,0,0,0,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0,0,0,0,0,0,52,0,0,0,3,0,0,0,0,0
2015-05-01,0,2,20,0,0,0,0,24,0,0,0,0,0,11,0,0
2015-06-01,46,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
2015-12-01,45,2,10,0,0,0,0,0,0,0,0,0,0,11,0,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0
2016-05-01,37,0,8,0,0,0,0,0,0,0,2,0,0,9,0,0
2016-06-01,0,2,8,0,0,0,0,0,0,0,0,0,0,9,0,0
2016-07-01,0,0,8,0,0,92,0,0,0,0,2,0,0,9,0,0
2016-08-01,38,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2016-09-01,0,2,0,0,0,0,0,26,0,0,0,100,0,0,0,0
2016-10-01,0,2,11,0,0,0,0,25,0,0,0,0,0,0,0,0
2016-11-01,0,0,10,19,0,0,50,0,60,0,0,0,0,0,40,0
2016-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,40,0,9,0,100,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0
2017-04-01,0,0,8,0,0,0,40,0,0,0,0,0,60,0,0,0
2017-05-01,38,0,8,0,0,0,0,0,0,0,0,75,0,0,0,0
2017-06-01,0,2,9,8,99,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,0,0,9,0,0,0,46,0,0,0,0,84,0,0,27,0
2017-11-01,0,2,9,0,0,100,0,0,0,0,0,0,63,10,50,0
2017-12-01,0,0,8,0,0,0,0,0,0,0,0,0,62,9,0,0
2018-01-01,0,0,0,7,0,0,0,0,0,0,0,0,0,8,22,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,0,0,8,0,0,0,0,0,47,0,0,0,0,9,0,0
2018-04-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,25,0
2018-05-01,0,0,9,0,0,0,0,20,48,66,3,0,0,10,0,0
2018-06-01,0,0,8,0,0,0,0,20,0,0,0,0,0,9,48,0
2018-07-01,0,0,8,0,0,0,40,0,0,0,0,0,0,14,24,0
2018-08-01,0,2,12,8,0,0,0,0,0,0,2,0,0,0,24,0
2018-09-01,76,2,0,0,0,0,0,0,0,0,0,0,0,9,24,0
2018-10-01,0,0,8,0,0,0,0,0,0,0,0,0,0,9,23,0
2018-11-01,37,0,8,0,92,0,0,19,0,0,0,0,0,0,23,0
2018-12-01,0,0,0,0,0,0,36,0,0,0,0,0,0,8,0,0
