date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Corn,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Guava,Lettuce,Onion,Peaches,Peas,Pineapple,Potatoes,Pumpkin,Spinach,Squash,Tomato,Watermelon,Yams
2008-03-01,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2009-08-01,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0
2010-02-01,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
2010-07-01,41,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2010-08-01,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0
2011-01-01,0,0,5,0,0,0,100,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0
2011-03-01,14,0,5,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,26,0,28,0,0
2011-04-01,15,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,12,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,28,0,24,0,0,29,0
2011-07-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,26,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,12,0,0,0,0,0,0
2011-09-01,0,0,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,22,0,0,0,0
2011-10-01,12,25,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,23,37,0
2011-11-01,11,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,0,0,23,0,0,0,0,0,0
2011-12-01,0,0,0,9,0,0,0,0,57,0,13,26,0,0,0,0,0,66,0,0,0,0,0,21,0,0
2012-01-01,20,0,3,8,57,0,0,0,0,0,0,0,0,0,0,0,0,62,0,10,0,0,0,0,0,0
2012-02-01,11,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,64,0,0,21,19,0,0,0,0
2012-03-01,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,61,0,0,19,0,0,19,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,24,50,75,0,0,0,0,0,0,11,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
2012-06-01,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,49,10,0,0,0,0,0,0
2012-07-01,10,0,0,0,0,0,0,17,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,12,0,0,21,0,0,0,0,25,0,0,0,0,0,0,0
2012-09-01,11,23,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,22,19,58,0,0,0
2012-10-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0
2012-11-01,10,0,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,59,24,0,0,0,0,0,0,0
2012-12-01,19,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,20,0,0,0,22,0,17,52,0,0,24,0,0,0,0,0,0,0,0,19,0,0,18,21,0
2013-03-01,9,0,6,7,0,21,0,0,0,0,10,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0
2013-04-01,14,0,0,0,0,0,0,0,50,0,11,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0
2013-05-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,0
2013-06-01,14,0,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,12,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100,0,0,0
2013-08-01,9,0,3,8,0,0,0,0,50,0,0,0,0,19,0,0,0,0,0,0,19,0,0,0,20,0
2013-09-01,0,0,3,0,0,0,0,0,51,100,11,0,0,20,0,0,0,0,0,10,19,17,0,0,0,0
2013-10-01,0,0,3,7,0,0,54,15,0,0,0,0,0,0,0,0,0,0,0,0,18,0,48,17,0,0
2013-11-01,9,19,3,7,0,0,0,0,47,0,0,0,0,18,3,0,0,54,21,9,17,0,0,0,0,0
2013-12-01,9,18,6,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2014-01-01,8,0,5,6,0,0,0,0,42,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,17,0
2014-02-01,0,0,3,0,0,0,55,0,0,0,0,0,0,0,3,0,0,55,22,0,0,0,0,0,0,0
2014-03-01,10,0,5,0,0,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17,0
2014-04-01,0,0,4,0,0,0,0,14,0,0,0,20,0,0,0,0,0,50,0,0,0,0,0,0,0,0
2014-05-01,0,0,0,7,0,0,0,0,44,0,0,20,0,17,3,0,0,50,0,8,0,0,0,16,26,0
2014-06-01,8,0,3,7,0,0,0,0,0,0,10,0,0,0,3,0,0,51,20,0,16,15,0,16,18,0
2014-07-01,8,0,3,0,44,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,7,0,2,6,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,8,15,13,0,0,16,0
2014-09-01,0,0,5,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,41,0,16,0
2014-10-01,7,24,4,6,0,18,0,0,40,0,0,0,54,15,0,0,0,0,0,15,15,13,0,0,24,0
2014-11-01,25,21,3,6,0,17,0,13,0,0,0,18,0,15,0,0,0,0,0,7,29,0,0,0,0,0
2014-12-01,8,0,3,7,0,0,0,0,43,0,10,0,0,0,0,0,0,100,20,8,16,14,0,0,17,0
2015-01-01,7,0,4,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,8,14,0,39,0,0,0
2015-02-01,16,0,3,0,45,0,49,0,0,0,0,19,0,0,2,0,0,0,20,0,0,14,0,15,0,0
2015-03-01,11,0,2,0,0,35,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,39,14,0,0
2015-04-01,10,0,2,6,0,0,0,0,39,0,9,18,0,15,0,0,0,0,18,0,0,0,0,14,0,0
2015-05-01,7,0,2,6,0,0,44,0,39,0,0,0,0,0,0,0,0,0,18,7,0,13,0,14,0,78
2015-06-01,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,15,0,0,0,0,0
2015-07-01,7,0,2,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0
2015-08-01,7,14,2,0,0,0,0,0,0,0,8,16,0,28,2,0,0,41,0,7,0,0,36,13,14,0
2015-09-01,7,14,5,0,0,0,0,0,36,0,0,0,0,0,0,0,0,41,0,0,0,12,0,0,14,0
2015-10-01,10,0,2,0,0,0,40,0,0,0,8,0,0,13,0,0,0,0,16,7,0,0,36,0,0,0
2015-11-01,7,0,2,0,0,0,40,0,0,0,0,16,0,0,0,0,0,41,0,7,13,18,36,0,28,0
2015-12-01,0,0,2,6,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0
2016-01-01,6,0,0,5,0,28,0,10,32,0,0,21,0,12,2,0,0,0,0,8,0,0,0,11,13,0
2016-02-01,6,0,4,0,0,0,0,11,33,0,7,0,45,25,0,0,0,0,0,0,0,11,0,12,13,0
2016-03-01,12,0,2,5,0,0,35,10,0,0,7,0,0,0,0,69,0,35,0,6,23,10,31,0,12,0
2016-04-01,6,0,3,5,0,0,0,0,0,0,0,0,0,19,0,0,100,37,15,6,0,11,0,12,13,0
2016-05-01,10,13,2,10,0,0,0,0,32,0,0,0,0,0,0,70,0,54,15,9,0,16,0,0,13,0
2016-06-01,0,0,2,0,36,0,38,0,34,0,11,0,0,13,0,0,0,0,15,0,12,11,0,12,13,0
2016-07-01,12,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,0,17,0
2016-08-01,0,0,3,0,0,0,0,0,45,0,10,20,0,0,3,0,0,0,0,0,0,0,0,0,18,0
2016-09-01,9,0,9,7,0,0,52,0,0,0,10,0,0,0,0,0,0,0,21,0,0,15,0,17,0,0
2016-10-01,9,0,3,8,54,0,57,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,0,18,0,0
2016-11-01,18,0,3,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,16,0,18,0,0
2016-12-01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0
2017-01-01,0,0,0,7,48,20,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,17,0,0
2017-02-01,12,19,0,7,0,0,56,16,0,0,0,0,0,0,3,0,0,0,0,9,18,0,0,18,0,0
2017-03-01,8,0,4,0,0,0,49,28,0,0,10,0,0,17,0,0,0,0,0,8,16,0,0,0,17,0
2017-04-01,18,0,3,0,0,0,55,0,48,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
2017-05-01,19,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,57,23,10,0,17,0,19,0,0
2017-06-01,10,0,0,0,0,0,62,0,55,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0
2017-07-01,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
2017-08-01,10,42,3,0,0,23,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,53,19,0,0
2017-09-01,0,0,3,8,0,0,0,0,52,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
2017-10-01,14,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,19,0,0
2017-11-01,0,0,5,0,0,0,0,0,100,0,11,0,0,19,0,0,0,0,23,0,19,0,0,0,20,0
2017-12-01,0,22,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0
2018-01-01,9,19,3,7,100,0,0,15,47,0,10,0,0,0,0,0,0,0,22,9,17,0,0,17,0,95
2018-02-01,10,0,8,8,0,0,0,0,0,0,0,0,71,0,0,0,0,0,23,10,0,17,0,0,0,0
2018-03-01,17,0,4,0,0,0,0,15,0,88,10,0,0,18,0,100,0,52,21,9,17,15,0,0,0,0
2018-04-01,9,0,3,0,0,0,0,0,0,0,10,0,0,0,3,0,0,53,21,9,17,15,0,0,18,0
2018-05-01,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,17,0,0,17,18,0
2018-06-01,9,19,0,0,0,0,0,0,0,0,11,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0
2018-07-01,9,38,3,7,0,0,0,0,94,0,0,0,0,18,0,0,0,53,22,0,0,0,0,17,0,0
2018-08-01,0,18,0,0,0,0,0,0,0,0,10,21,0,0,3,0,0,0,0,9,17,15,0,0,0,0
2018-09-01,0,19,3,0,0,0,0,0,0,0,11,21,66,0,0,0,0,54,0,14,0,0,0,18,0,0
2018-10-01,9,19,3,8,0,22,0,0,49,0,0,0,0,0,0,0,0,0,23,9,0,0,49,0,0,100
2018-11-01,10,0,3,0,0,0,59,0,0,0,11,0,0,60,3,0,0,0,24,0,0,0,0,0,0,0
2018-12-01,0,22,3,9,0,25,0,0,55,0,0,25,0,0,3,0,0,0,0,22,0,18,0,0,0,0
