date,Apple,Avocado,Banana,Beans,Broccoli,Cabbage,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Guava,Kale,Lettuce,Lychee,Okra,Onion,Peaches,Peas,Peppers,Pineapple,Potatoes,Pumpkin,Romaine Lettuce,Spinach,Tangelo,Tomato,Watermelon,Yams,Cassava
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,100,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,74,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,100,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,29,0,24,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,21,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2011-06-01,51,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,78,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,18,0,0,0,0,0
2011-10-01,0,0,19,15,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0
2011-11-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
2011-12-01,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,68,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
2012-02-01,20,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
2012-04-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,100,16,0,0,0,0,0,0,14,0,0,0,0,59,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
2012-10-01,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0
2012-11-01,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,100,52,0,0
2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,14,0,12,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,15,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45,0,0
2013-04-01,0,0,11,0,12,0,0,100,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,100,0,0,0,42,0,0,0
2013-05-01,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,41,0,0
2013-06-01,0,0,11,9,0,0,0,0,0,0,0,0,100,0,70,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,8,0,0,0,0,0,39,0,0
2013-08-01,0,0,0,0,11,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,100,0,0,0,0,8,0,0,37,0,0
2013-09-01,0,0,0,0,11,0,0,0,100,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,38,0,0
2013-10-01,0,0,0,0,0,0,92,85,0,0,0,43,87,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
2013-12-01,0,0,9,7,0,0,0,0,0,0,0,0,0,37,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2014-01-01,19,0,8,0,9,0,0,0,0,0,0,38,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,0,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2014-03-01,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,0,100
2014-04-01,8,0,0,11,0,0,0,0,71,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
2014-05-01,8,44,0,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2014-06-01,8,0,7,0,0,0,70,0,0,100,0,0,0,0,46,0,0,0,0,0,0,0,74,0,0,0,0,6,0,0,0,0,0
2014-07-01,8,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5,0,0,0,0,24,25,0,0
2014-08-01,0,41,12,0,0,0,0,0,0,88,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,24,0,0
2014-09-01,0,41,12,5,0,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,5,57,0,0,0,24,0,0,0
2014-10-01,0,0,6,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,0,0
2014-11-01,7,0,6,0,0,0,0,0,0,0,0,28,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,0,0,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,46,0,0,0
2015-01-01,13,0,0,0,0,0,0,0,0,0,0,26,0,23,0,0,34,6,0,0,0,0,0,2,10,0,0,0,0,0,22,0,73
2015-02-01,14,0,0,0,7,0,0,0,0,0,0,0,0,25,39,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,35,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0
2015-04-01,13,0,0,0,6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,48,0,0,0,20,0,0,0
2015-05-01,6,66,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,52,0,0,6,0,0,0,0,19,20,0,0
2015-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,68
2015-07-01,6,65,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,89,0,0,0,19,0,0
2015-08-01,6,32,0,0,0,0,0,0,0,69,0,0,0,0,0,0,31,0,0,0,0,0,50,0,4,0,0,0,0,18,19,0,0
2015-09-01,0,0,10,0,6,23,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,19,20,0,0
2015-10-01,9,33,5,8,0,0,100,0,0,0,0,23,47,0,33,0,0,0,0,0,100,0,0,0,4,0,0,0,0,0,20,0,0
2015-11-01,0,0,0,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,26,0,0,0,0,0,5,49,0,0,0,20,21,0,0
2015-12-01,6,35,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,56,57,2,0,0,0,0,0,0,0,0,0
2016-01-01,6,33,10,0,0,0,0,0,0,0,0,23,0,0,32,46,0,5,24,0,0,0,0,2,4,0,0,0,0,0,20,0,0
2016-02-01,12,0,5,0,6,0,0,0,0,0,0,23,47,0,0,0,32,0,0,0,0,0,52,0,4,46,0,0,0,0,0,0,0
2016-03-01,0,0,0,0,5,0,0,0,0,0,0,22,0,20,31,0,0,5,0,0,96,0,49,0,0,44,0,0,82,18,0,0,0
2016-04-01,9,0,0,4,5,23,0,0,0,0,0,0,47,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,20,0,0
2016-05-01,6,0,5,0,5,0,0,0,0,0,0,43,45,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0
2016-06-01,6,0,5,0,5,0,0,0,0,69,0,0,45,0,32,0,0,0,0,0,0,50,0,0,4,0,0,0,0,18,0,0,0
2016-07-01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,49,0,0,0,2,4,0,0,0,83,0,19,0,0
2016-08-01,6,0,5,0,0,0,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,0,0
2016-09-01,6,0,11,4,0,0,0,0,0,0,0,25,0,22,0,0,0,0,0,0,0,55,0,2,0,0,0,0,0,0,42,0,0
2016-10-01,0,0,5,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,0,54,0,2,4,0,0,0,0,0,21,0,0
2016-11-01,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,49,0,5,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
2016-12-01,6,0,5,4,6,0,0,0,0,0,0,0,48,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,20,100,0
2017-01-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,0,0
2017-02-01,0,0,8,4,6,24,0,0,53,0,0,24,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,0
2017-03-01,0,0,9,4,5,22,0,0,0,0,0,22,0,19,0,0,29,5,0,47,0,48,0,2,0,0,0,4,0,27,37,0,0
2017-04-01,6,0,0,4,5,0,47,0,0,0,0,0,44,0,0,0,30,5,0,0,0,49,0,2,4,43,88,0,0,0,37,0,0
2017-05-01,6,32,0,0,5,0,0,0,0,0,0,0,47,0,32,0,0,5,0,100,0,0,51,4,0,0,0,4,87,0,19,0,0
2017-06-01,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,5,0,0,0,100,22,0,0,76
2017-07-01,7,0,11,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,22,0,0
2017-08-01,13,35,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,20,0,0,0
2017-09-01,7,38,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,22,23,0,0
2017-10-01,0,0,0,4,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
2017-11-01,6,0,5,0,0,0,0,0,0,0,0,24,0,0,34,0,33,0,0,0,0,0,0,2,5,48,0,0,0,0,21,0,0
2017-12-01,0,0,10,8,6,0,0,0,0,0,0,24,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0
2018-01-01,0,0,5,0,0,0,0,0,0,70,0,0,46,0,0,0,0,5,0,0,0,0,0,2,8,0,0,4,0,0,0,0,0
2018-02-01,0,0,5,0,0,0,0,0,0,0,0,25,50,0,0,0,34,11,0,0,0,0,0,0,9,48,0,0,0,20,0,0,0
2018-03-01,0,32,5,4,5,22,0,0,0,0,0,22,0,0,0,45,0,0,0,49,0,0,50,2,0,0,0,0,0,0,0,0,0
2018-04-01,0,33,10,8,0,0,0,46,0,0,0,69,0,0,0,0,31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2018-05-01,6,32,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,4,0,0,0,0,0,19,0,0
2018-06-01,6,66,7,4,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,2,4,0,0,0,0,0,20,0,0
2018-07-01,6,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,46,93,0,0,19,20,0,0
2018-08-01,6,0,10,0,0,24,0,0,0,0,0,24,0,0,67,0,0,5,0,0,0,0,0,2,4,0,0,4,0,0,20,0,0
2018-09-01,10,0,8,4,0,25,0,0,0,0,0,25,0,0,36,0,35,0,0,0,0,0,0,0,5,0,0,5,0,21,43,0,0
2018-10-01,0,0,11,4,6,0,54,0,0,77,0,0,50,0,0,0,34,0,0,55,0,0,57,2,9,0,100,0,0,0,21,0,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,34,5,0,0,0,56,0,2,0,0,0,0,0,0,21,0,0
2018-12-01,6,0,11,4,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,100,5,0,0,0,0,0
